memory_point,kind,likes,reason,author,created_at,text,url
星河宇宙与引力文案,post,4621,粉丝点评/关系记忆表达明确,有怪踩月而来--,01月06日 09:08,云熠星河超话 其实一直不太理解，为啥咱家在正主如此给力，可以说是前无古人后无来者的情况下，还会诞生出如此多的《咯噔文学》《贷款焦虑文学》《剧本文学》《心疼文学》《被逼文学》《不拆只是暂时的温柔文学》《影响未来发展文学》《教育文学》《世人皆醉我独醒文学》等等等。。。。。难道都是回避型人格依恋？感受到爱的瞬间想到的不是珍惜和感动，而是反正以后都会消失的，所以不如从一开始就不要当回事？别人家都是把假糖死磕硬嗑也要变成真的，咱家是把真糖咬文嚼字变着法的变成酸的，谁能理解啊，我真是不懂了咱家粉圈生态其实很好，也真的很喜欢这,https://m.weibo.cn/detail/5252016263922514
不拆承诺与1.4定海神针,post,4213,粉丝点评/关系记忆表达明确,好嘟云,01月05日 22:45,云熠星河超话“01.04 上皮樊游 “拆不拆”“所以呢””~,https://m.weibo.cn/detail/5251859472188874
不拆承诺与1.4定海神针,post,4000,粉丝点评/关系记忆表达明确,寻栀落雪Zsxt,01月21日 22:56,这还有啥好说的啊！！直接云熠99！！！啊啊啊啊,https://m.weibo.cn/detail/5257660372356591
直播互动与口头名场面,post,3883,粉丝点评/关系记忆表达明确,海看山爬,01月29日 15:35,云熠星河超话 🌌#云旗郝熠然# 260128｜卡姿兰直播下班灯光亮起 人潮聚拢 你们在台上一次一次的鞠躬 一遍又一遍的说着 我爱你们 路程所有的苦都化成了充满爱意的尖叫 那一刻 我明白我们之间从来不是单向追逐 我们互相沉沦 彼此照耀 但是我们更想说 谢谢你们的出现 谢谢你们照耀我们的这一段人生 我们的相遇是彼此的幸运@郝熠然 @云旗Yunqi #云熠星河# @卡姿兰Carslan LGalaxy丨云熠游霄的微博视频,https://m.weibo.cn/detail/5260448649708864
不拆承诺与1.4定海神针,post,3868,粉丝点评/关系记忆表达明确,椿鸢信,04月20日 09:12,#云熠引力场# 🌌#云熠星河维权# 回忆起当初1.4的时候。是剧播的最后一天，两个人穿着角色的服装。那个时候gs就想让他们以角色的身份向我们告别吧。那个时候gs就已经想拆了。本应该是被发卖的日子，却因为他们的抗争变成了我们“不拆”的“定海神针”。他们在我们还不够强大的时候，对抗gs保护我们。现在轮到我们站在他们身前了。我们哪怕掉眼泪也不要后退。,https://m.weibo.cn/detail/5289705516042065
不拆承诺与1.4定海神针,post,3652,粉丝点评/关系记忆表达明确,十小世,01月09日 22:43,红能养人，真的。虽然他俩还没红到大咖的程度，但是在这个圈里绝对算红了！回看了几次双人直播，两人真是帅的越来越帅，美的越来越美！从刚开始单人播时普普翘起来的卷毛（太可爱了，他说话时我一直盯着那撮毛看），到跨年夜时二人颜值来到巅峰，再到双人机场如秀场走秀……如同一场脱胎换骨的洗礼！这场洗礼不仅是颜值上的，也是心灵上的。连带对外展现，就是性张力十足！所以你们两个到底经历了啥？就说我虽然写的是同人，但不是我写了你们就会做，也不是我不写你们就不会做#云熠星河#云熠星河超话#云熠99#,https://m.weibo.cn/detail/5253308466072780
角色作品入坑与真诚努力,post,3629,粉丝点评/关系记忆表达明确,我家家产超帅,02月02日 17:48,云熠星河超话 🌌#云旗郝熠然# 云旗to郝熠然（小星河必读版）我眼里的你记得遇见你的那天，是在我做了一次勇敢决定的几天后，那时候对你的第一印象是温柔和煦又有礼貌，还有一点点容易害羞。随着我们一起上课学习渐渐熟悉后，我发现你和游书朗这个角色非常相符，你和他一样，是一个底色温暖善良且坚韧的人。你会耐心地帮我分析人物角色，教我怎么表达情感，陪我一遍遍排练，在我拿不准如何表演的时候帮助我代入角色，在一起上课、拍戏的日子里给予了我很多帮助，在平时的生活里也很照顾我的感受。我们一起经历的所有点点滴滴都让我觉得很开心可以认识你,https://m.weibo.cn/detail/5261931561617760
旗熠青海与应援色,post,3436,粉丝点评/关系记忆表达明确,云熠he,02月03日 20:33,云熠星河超话 #云熠星河# #郝熠然# #云旗# 旗熠青真是美好的颜色，每一次敲击“青”字都仿佛摩挲了一遍你们的名字。@云旗Yunqi@郝熠然,https://m.weibo.cn/detail/5262335540986070
旗熠青海与应援色,post,3330,粉丝点评/关系记忆表达明确,我家家产超帅,04月25日 19:29,云熠星河超话 全部都是旗熠青 全部！ 站台栏杆星河姐全部抢到了 ​,https://m.weibo.cn/detail/5291672795615959
不拆承诺与1.4定海神针,post,3241,粉丝点评/关系记忆表达明确,-葡萄冰美式-,01月22日 15:30,真好啊！终于让我遇到一对真心换真心的了。营业不是为了提纯，也没有割席，不割韭菜不暗戳戳出来催氪。协调一切能协调的时间来跟我们见面，见面了也只分享最近的生活感受，就如同老朋友一样。云熠真的把小星河放在心上，真的非常珍惜小星河。真心换真心，以后都要长长久久#云熠星河# ​,https://m.weibo.cn/detail/5257910582250036
不拆承诺与1.4定海神针,post,3216,粉丝点评/关系记忆表达明确,ZJ-琑OK云熠,01月14日 10:00,云熠星河超话🌌 #云熠星河# 花絮视角越品越有味，越品越香，高大勇耸肩了他耸肩了，而且他…还顶了一下，真的就是感觉上来了就控制不住什么劲小大的了……对了，加上昨天有姐妹说的高度总结这段：亲脸+找嘴OMG这实在是都在俺的xp点上（昨早发的这个也被抬了，我今个就不信了，我势必要让各位姐妹们吃到如此香的饭）@云旗Yunqi @郝熠然 专栏 · 🌌 云熠99 🌌,https://m.weibo.cn/detail/5254928294480364
同框默契与并肩感,post,3188,粉丝点评/关系记忆表达明确,小新没烦恼52,01月13日 22:05,云熠星河超话 🌌 #云旗郝熠然# 因52初识云熠，一开始是被剧情人物设定所吸引，后来剧播时追着直播蹲每一个同框，那些不经意的对视、下意识的关照，还有藏在玩笑里的妥帖，都成了反复回看的甜。剪这支视频时，又再一次看了这几场直播，发现早已跳开剧情的影响，喜欢他们的真诚，喜欢他们的事事有回应 ，喜欢云熠和小星河之间的双向奔赴。把那些一闪而过的笑意、自然的肢体互动，还有下意识为彼此解围的瞬间一一拾起。原来有些甜从不是刻意营业，是镜头下藏不住的松弛与默契，是旁人插不进的同频，是看向对方时眼里独有的光。从剧里的羁绊延伸到剧外的,https://m.weibo.cn/detail/5254748437745971
星河宇宙与引力文案,post,3139,粉丝点评/关系记忆表达明确,请叫我A老师_,05月01日 07:45,#云旗郝熠然# 🌌#云熠星河# 那就再来一波回忆吧～我们无比期待着番外的Coming Soon……. ​,https://m.weibo.cn/detail/5293670015435831
不拆承诺与1.4定海神针,post,3123,粉丝点评/关系记忆表达明确,熠旗郝云熠旗上上签,02月04日 22:55,#云旗郝熠然# 云熠99,https://m.weibo.cn/detail/5262733479257025
角色作品入坑与真诚努力,post,3110,粉丝点评/关系记忆表达明确,衬澍也叫陈述,2025年12月27日 23:58,#云旗郝熠然#请多多关注我们云旗和郝熠然老师 真诚又努力的两位老师谁还没来入坑啊 帅气暴击 又宠粉又真诚云旗老师饰演无岸里的樊霄超级带劲郝熠然老师饰演无岸里的游书朗非常文学请多多关注两位老师的后期作品吧 ​,https://m.weibo.cn/detail/5248616337771937
直播互动与口头名场面,post,3070,粉丝点评/关系记忆表达明确,杰么娜0528,2025年12月02日 22:29,云熠星河超话 第五集名场面re分析（已失智） L杰么娜0528的微博视频 ​,https://m.weibo.cn/detail/5239534221788890
演唱会奔赴与巡演回忆,post,3021,粉丝点评/关系记忆表达明确,w是小橘-,02月06日 22:50,看完云熠小世界就想说，“如果你说你在下午四点来，从三点钟开始我就开始感觉很快乐”，知道后天要见面，从现在开始就已经在笑了。情绪落在一个地方很难转移，所以今天这个情绪找到出口了，就变得很开心。第一个感觉是想念。普普周三刚见面，嘉辉见面也没几天，但有种恍若隔世的感觉。普普说话的时候眼睛一直眨啊眨的，好萌。嘉辉跟他讲话温柔地要滴水了，好苏。嘉辉问普普在干嘛，他抬头很认真地回答，不是边画边答，而是停下来看着他的眼睛。给你永远优先的专注，就很心动。联想到划火柴的花絮，嘉辉很喜欢逗普普，什么野生人类，什么不让你划。普普问那我可,https://m.weibo.cn/detail/5263457038369455
角色作品入坑与真诚努力,post,2947,粉丝点评/关系记忆表达明确,南宫柒北,01月23日 22:25,云熠星河超话#云熠星河# 刚看完这场风波的全程，浅浅总结一下，虽然有些宝子会觉得大家反应很激烈至于吗，但在某种程度上，也不能怪姐妹们太敏感首先，作为CPF，坚决拥护正主的一切，包括交友自由，所以以下并不是针对两位演员老师其次，家产在宣发期这么久的时间里，也并没有做过反复提及同事老师的行为，我觉得这也是对好朋友的尊重第三，老师们聊私下生活本来没什么，但是家产目前是cp绑定的上升状态，为粉丝破糖对家产毫无好处第四，官方都已经几乎明确的表示禁拆禁逆禁乱炖，所以某些言论实在不是很恰当最后，我们尽量还是只关注两位正主，不喜,https://m.weibo.cn/detail/5258377304211497
星河宇宙与引力文案,post,2943,粉丝点评/关系记忆表达明确,苏木Summu,04月28日 19:26 转赞人数超过2600,4月19日 小星河们开始维权那我们的成果有哪些呢？关于双人物料的诉求：①4月20日 曼谷彩排照提前放出 相较于澳门只有2张 此次6张全为双人②4月21日 曼谷彩排花絮再次提前放出③4月23日 曼谷彩排花絮④4月24日 3张双人预告图相较于澳门这次曼谷数量更多双人占比更是从不到一半增加到几乎全是双人⑤4月25日 云熠小世界预告图虽然比例还是1：1：1 但是之前三张单人都是放在一起 现在却是放了三组情侣照 ⑥因为大家想要双人后又追加了三张双人手绘图 满满都是他们的祝福关于双人周边的诉求：4月25日 幸棉官宣周边全部为旗,https://m.weibo.cn/detail/5292272368746525
双向奔赴与爱意传递,post,2882,粉丝点评/关系记忆表达明确,Galaxy丨云熠游霄,01月23日 13:14,云熠星河超话 🌌#云旗郝熠然# 260122｜广州🛬安检门隔开两个世界 小星河络绎不绝的呼唤 回头那秒确信你们听到了 此刻你们轻轻地打破界限 允许我们短暂的走进你的世界 那些未说出的晦涩爱意 你们竟早已读懂@郝熠然 @云旗Yunqi ​,https://m.weibo.cn/detail/5258238622957823
小星河与引力场守护,post,2857,粉丝点评/关系记忆表达明确,唯有牡丹真国色_不拆不拆,02月05日 07:54,云熠星河超话 🌌#云熠星河# 260204｜美康粉黛直播下班我们曾以为 爱你们是单向奔赴的勇气最近才明白 那场海啸不只是在我们心上反复刮起 而是所有人都在经历海啸那些不公平的瞬间 被误解的时刻 像一根根极细的针 扎入我们的心房别人看不见伤口 我们却能清晰听见自己心脏破碎的声音我们攥着脱粉的念头 好似攥着一把双刃刀 鲜血淋淋的一边是我们 一边是你们 想一刀斩断这一切 可是 真的举刀挥下的时候 才发现对你们的喜欢 早已让我们割舍不下原来最痛的放不下 不是不甘心 而是清醒的沉沦 一次一次的降低底线 我们不知道哪里是尽头,https://m.weibo.cn/detail/5262869340095706
不拆承诺与1.4定海神针,post,2786,粉丝点评/关系记忆表达明确,公子您这是喜脉吖,01月27日 22:36,云熠99,https://m.weibo.cn/detail/5259829779628587
角色作品入坑与真诚努力,post,2649,粉丝点评/关系记忆表达明确,塔罗师夏末一,01月26日 17:19,刚刚看完云旗和郝熠然一起 reaction吾岸前两集，感受颇深，忍不住了先来发一条。演员本人下场 re 剧，其实是一件风险很大的事。观众在追剧以及播完后不久的阶段，本能上是不希望出戏的，会下意识要求演员的造型、气质、说话方式等都能延续剧里的状态。造型还好还原，性格不可能一模一样，一个分寸没拿好，就很容易被说 ooc、破坏代入感。但他们还是做了。不是几个片段浅浅带过，是坐下来，完整地、认真地、一帧不落地陪着观众一起看。我以前从没见过演员本人这样全程 re 剧，所以会感觉很新鲜很有冲击力。有一段让我印象特别深的，是剧里,https://m.weibo.cn/detail/5259387595393750
不拆承诺与1.4定海神针,post,2597,粉丝点评/关系记忆表达明确,风景旧曾谙丶丶,01月15日 11:16,爱了，云熠99星河璀璨小星河永伴云熠，长长久久,https://m.weibo.cn/detail/5255309996066027
不拆承诺与1.4定海神针,post,2577,粉丝点评/关系记忆表达明确,爱上一颗王星星,01月08日 22:19,云熠星河超话劳斯好骂，咯噔怪吃太好了是吧，就是喂太饱了咸吃萝卜淡操心，管好你自己得了，用你们教，多挣钱支持他俩就完事了，他俩好着呢，不拆不拆就是不拆，某些人劝你们不要想太多，他俩好好的不翻脸对我来说就是好饭，就算现在他俩分开发展进内鱼，以他俩的咖位还有现在的正测，他俩能掀起什么浪？尤其普普下一部剧还是这样的，好好支持他们，有剧支持剧，有sw支持sw，没事多产出点红膏，不会产出会肯定吧，不要到处拉踩咯噔了，烦死了,https://m.weibo.cn/detail/5252940131475842
不拆承诺与1.4定海神针,post,2571,粉丝点评/关系记忆表达明确,Silas-77,01月03日 22:55,云熠99 查看图片,https://m.weibo.cn/detail/5251137248693696
角色作品入坑与真诚努力,post,2537,粉丝点评/关系记忆表达明确,衬澍也叫陈述,2025年12月27日 22:42,#云熠星河#就这个云旗和郝熠然真的很真诚 又真诚又努力 谁还没粉呢 请来这里磕一磕 不要被一些乱七八糟泼脏水的人干扰正主亲自挑选CP应援色粉丝名的只有这一家 请认准云熠星河请来多多关注云旗和郝熠然好吗 ​,https://m.weibo.cn/detail/5248597312667874
不拆承诺与1.4定海神针,post,2536,粉丝点评/关系记忆表达明确,风几里路路路路,01月09日 12:50,云熠星河超话#云旗郝熠然# #小星河# 事已至此，云熠99@云旗Yunqi @郝熠然,https://m.weibo.cn/detail/5253159162742240
角色作品入坑与真诚努力,post,2532,粉丝点评/关系记忆表达明确,顾烟凝,01月03日 22:35,吾岸第十五集，看完结局，觉得算是我看过的环大陆综合条件最好的一部。首先这个故事起承转合很完整，游书朗樊霄两个人设很有张力，其次导演会拍，演员会演。整个剧我最嗑的一幕就是红砖铺路，太纯情太痴情了。一个对全世界没有什么感情的人，把心里仅剩的那点热乎气对着一个人全掏出来，这不就是我见众生如草木，唯独见你是青山。樊霄口口声声叫的菩萨，在这一刻具象化。从开始追妻，樊霄对游书朗展现的是一直仰视的捧着的状态，他对自己的定位是赎罪也是要不计回报的爱余生。所以他说要每个年都陪着游书朗，哪怕不能在他身边，也要默默注视着他。为啥说这个剧,https://m.weibo.cn/detail/5251132131640965
角色作品入坑与真诚努力,post,2532,粉丝点评/关系记忆表达明确,星河永熠,01月10日 22:50,云熠星河超话🌌 #云熠星河# 云旗用努力和真诚圈粉无数～ 执云旗，赴熠光，愿他星途坦荡 ，云旗所向熠光万丈。 @云旗Yunqi @郝熠然,https://m.weibo.cn/detail/5253672718046478
小星河与引力场守护,post,2503,粉丝点评/关系记忆表达明确,发疯小日常-,01月05日 07:19,谁懂两眼一睁就是磕的幸福感//@紫薯红豆咭小咪:这一刻我勇敢的牵你的手，一起坚定的往下走！最勇敢的男人，高嘉辉！ 你们俩星途璀璨，前程似锦 小星河誓死追随@云旗Yunqi @郝熠然 @云熠引力场,https://m.weibo.cn/detail/5251626487253569
小星河与引力场守护,post,2503,粉丝点评/关系记忆表达明确,紫薯红豆咭小咪,01月05日 07:09,这一刻我勇敢的牵你的手，一起坚定的往下走！最勇敢的男人，高嘉辉！ 你们俩星途璀璨，前程似锦 小星河誓死追随@云旗Yunqi @郝熠然 @云熠引力场,https://m.weibo.cn/detail/5251623873938020
小星河与引力场守护,post,2362,粉丝点评/关系记忆表达明确,治不开心药oo,01月08日 14:51,云熠星河超话 从直播第一次一直陪伴到现在，真心希望他们越来越好，彼此可以一路相伴久一点小星河一起同行，希望年年有今日，岁岁有今朝🥹,https://m.weibo.cn/detail/5252827241779544
小星河与引力场守护,post,2335,粉丝点评/关系记忆表达明确,嘻言有云,02月06日 18:10,真正的喜欢，从不是催促疾行，而是愿在你们疲惫时轻声说一句：别急，我们等你们。近来纷扰不断，杂音时起，但其实我们终究只愿听见心中所信的那一部分。你们只管专注作品，安心前行，我们自会静候。不必焦虑，小星河愿意等你们，等你们沉淀，等你们绽放。若有不愿等的人，也无需强留，缘聚缘散，本就各归其途。心之所向，终会相逢,https://m.weibo.cn/detail/5263386775654649
不拆承诺与1.4定海神针,post,2332,粉丝点评/关系记忆表达明确,Xing河yy,01月23日 13:03,云熠星河超话#云熠星河# #卡姿兰云熠星河久久不拆# 太会了！！！看我们小星河必买爆🌌🌌🌌,https://m.weibo.cn/detail/5258235847904637
角色作品入坑与真诚努力,post,2317,粉丝点评/关系记忆表达明确,迷路旅行日记,01月31日 22:57,被粉丝喊出的这句“我们很乖的”打动了，云熠和粉丝的双向奔赴。接待方没意识到云熠是连体CP，白白多派了一辆车。云旗：就是要和哥哥同车！就是不能吃辣，也要和哥哥去吃自贡菜！就是……游书朗：你以后会乖吗？樊霄：会！我会乖，会听话，绝对不再说一句谎话。星河：乖，我们很乖的。樊霄，让个位置吧？樊霄：休想！O熠然：拽领带，我惯的，有意见？O云熠的情侣夜宵，在杭州O云熠：普吉岛的恋恋笔记 O云熠：他俩在机场悄悄牵手O直播时，云旗悄悄说“想当你一个人的小狗”O云熠：关于我家有两只狗狗这件事O未@的告白，未说尽的情话O谁偷了谁的星星,https://m.weibo.cn/detail/5261284573708797
不拆承诺与1.4定海神针,post,2302,粉丝点评/关系记忆表达明确,熠然喜欢,01月12日 22:56,云熠星河超话 最近事情很多，想说点自己的心里话。这几次云熠直播，在线人数都超过了20万人，云熠真的火了。火了之后，接踵而至的就是各种各样的脏水，手段多种多样，但目的只有一个：让喜欢云熠的人脱粉。目前集中火力的是云布布。昨天被鉴嫂，今天又因为sw预热的问题被质疑。但是大家别忘了，云布布sw宣发期间，普普也有sw预热。预热和宣发本身就不冲突，他们两个人不需要分出个高下，因为他们两个人是一体的。云熠目前太火了，虽然两人不在内娱，但内娱蛋糕就这么多，不可否认是动了某些人的蛋糕，挡了某些人的道。所以就开始有预谋地对云熠进行,https://m.weibo.cn/detail/5254398942907561
不拆承诺与1.4定海神针,post,2281,粉丝点评/关系记忆表达明确,小胖花花啾,01月24日 11:35,云熠星河超话 其实，我围观了一圈，我发现正主真的有在把我们cp粉养的很好。养的太好了。在这之前，好像大家从来都没上桌过，内娱把我们养的太不好了，以至于我们一直都是小心翼翼的，不敢奢求太多。以前我磕过别的剧的cp，那时候是耽改，剧里就是兄弟情，所以我那时候无所谓是兄弟情还是爱情，只要是专一，对你好，对你偏爱，就行了，我不在乎是友情还是爱情。不在乎真假。不是流行过那一句话吗？什么情都可以，他们什么关系都可以，只要不是没有关系就行。但磕云熠不一样，我们磕的就是爱情，就是真人rps，这种感觉真的不一样，第一次上桌了，我感,https://m.weibo.cn/detail/5258576131000620
直播互动与口头名场面,post,2241,粉丝点评/关系记忆表达明确,我家家产超帅,04月28日 20:52,#云熠星河# 🌌#云旗直播# 我们家永远不存在单人直播玩游戏的时候球是旗熠青，道具颜色也是努力还原旗熠青，衣服上的勋章是老婆买的裤子送的，（买图3的裤子会送图5的勋章）可偏要带在自己身上！说祝福语肖肖说的是祝你们一起！云旗说对 ​,https://m.weibo.cn/detail/5292780775805582
小星河与引力场守护,post,2236,粉丝点评/关系记忆表达明确,Galaxy丨云熠游霄,02月06日 21:08,云熠星河超话 🌌#云熠星河# 事情发生第一时间 就去了解了事件始末得知你们又遭受到了 那些无端的伤害了解你们 才懂得你们是怎么样的人在以往的工作中 你们不管是对工作人员 还是远道而来的粉丝 都是抱有百分百的真诚采访时的面面俱到 直播时的侃侃而谈 一次又一次的传播着正能量 一个人的言行举止 是不会说谎的 因为我们比流言蜚语 更先认识你们今天比起你们遭受的不公 更让我们泪目的是你们第一时间 传递而来的温柔小星河 小普洱 小冰旗凌 共同进退排除隔阂 一致对外 这一刻 我们清楚明白我们有一个需要共同保护的家人 我们的爱没,https://m.weibo.cn/detail/5263431402792972
小星河与引力场守护,post,2172,粉丝点评/关系记忆表达明确,没有义务早睡,02月04日 22:58,#郝熠然直播# 他说，雨伞是保护伞，雨伞下面是“dddd”的小星河。他说，他怕黑天，但是下了一天的戏，半夜拿着手电就往丛林里冲。他说，现在世道那么艰难，咱们胆子要是不大怎么护住这身后的千军万马。他说，你看过我们直播吗？他说，我想要哆啦A梦的任意门，可以瞬间去到想去的地方。他说，它想告诉我们，即使被扎满了刀，也绽放的漂亮。我永远为这样坚韧，勇敢，温柔，言之有物的郝熠然而感动。让我们听他说，陪他走一个又一个的五年计划。 - L椿鸢信的微博视频 专栏 · 云熠星河‖剪辑,https://m.weibo.cn/detail/5262734243136151
双向奔赴与爱意传递,post,2155,粉丝点评/关系记忆表达明确,吃吃喝喝睡睡123,01月29日 22:59,关于今晚我有太多话想说 从籍籍无名走到今天实在是太辛苦 看见他们两个同时上线我手都在抖 我从未如此无力过 我这一个月过得太恍惚 我一直觉得井水不犯河水能让我们安稳现状 直到这一刻我明白 原来恶意无处不在 是没错硬要你错 是恶言恶语扑面而来 今天我也见证了很多人的崩溃 但是此刻事情的发生已成定局 我不愿每一个人在去自我消耗 因为带着汹涌爱意的眼泪实在太珍贵 今天的个人博 广场 甚至是超话都有人肆无忌惮的侵犯 我们是幸运的 因为一直是是云旗郝熠然挡在了我们面前承受了这么多的恶意 如果你为这一切感到愤怒不甘 那么我告诉你,https://m.weibo.cn/detail/5260560310736026
不拆承诺与1.4定海神针,post,2152,粉丝点评/关系记忆表达明确,流浪小七仔,01月04日 22:55,云熠星河超话 🌌#云熠星河##云旗郝熠然52收官# 内🐟还有谁？？？我就问还有谁？？？说拆cp我爹立马挂脸，他生气了，我妈立马哄后来我妈也哭了（反射弧一直比较长）我哭死“我们是不会拆的”“不会分道扬镳” - 在直播间说这些跟官宣有啥区别？整个娱乐⭕独一份！！！云熠99“分道扬镳”→可以形容情侣，自由心证@云旗Yunqi @郝熠然,https://m.weibo.cn/detail/5251499638915600
不拆承诺与1.4定海神针,post,2067,粉丝点评/关系记忆表达明确,我家家产超帅,02月04日 22:55,云熠星河超话 🌌#云旗郝熠然#上一次爹单人直播ppf都磕上头了一直Q云熠之间的话题，爹还暗搓搓的用山东话表白这一场主持也Q了爹的dddd！妈咪更是肆无忌惮，直接说我们，带家属直播的是吧这样谁还走的出去啊！云熠99就好！其他都不重要@云旗Yunqi@郝熠然 L我家家产超帅的微博视频,https://m.weibo.cn/detail/5262733688702000
不拆承诺与1.4定海神针,post,2066,粉丝点评/关系记忆表达明确,明星夫妻那些事,01月28日 12:37,老师透露：他们俩再度合作已成定局！💕💕💕 小星河们幸福值拉满～ #云熠99# #郝熠燃# #云熠# L明星夫妻那些事的微博视频 ​,https://m.weibo.cn/detail/5260041268494549
直播互动与口头名场面,post,2046,粉丝点评/关系记忆表达明确,-葡萄冰美式-,01月15日 18:08,我真觉得有些人别太恨别太阴谋论了我们小星河吃的好是因为云熠两个人关系好，感情好。直播也不是卖是真情流露，毕竟普普当初单人直播的时候，云布布就又是遛狗又是投喂薯片了。还有说俩人下播后打架的，我请问战场是在床上吗说普普给云布布剥虾被云布布还回来嫌弃的，你要不看看视频里先后顺序呢？云布布明明爱死了好嘛！有时候真的快跟不上小黑子的脑回路了知道是羡慕我们云熠又互相啃嘴子了！二编：@V若如初V：我还看到有黑子说普普在机场帮云布布整理头发其实是想把他假发薅下来，笑死我，真是纯为了黑而黑，吃不到葡萄说葡萄酸我能不能在这条博下面征集,https://m.weibo.cn/detail/5255413663541337
