rank,cluster_id,representative_pic_id,pic_ids,pic_count,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,core_total_likes,core_post_likes,core_comment_likes,core_source_count,volume_source_count,source_note_count,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,representative_local_path,image_name
24,vc0024,656c5467gy1fdegznsk4vj21kw16o7c3,656c5467gy1fdegznsk4vj21kw16o7c3,1,378,378,0,2,0,378,378,0,2,0,2,2048,1536,https://wx2.sinaimg.cn/mw2000/656c5467gy1fdegznsk4vj21kw16o7c3.jpg,https://wx2.sinaimg.cn/orj360/656c5467gy1fdegznsk4vj21kw16o7c3.jpg,https://m.weibo.cn/detail/4082737629848657,#SNH48黄婷婷# #黄婷婷逆袭之星途璀璨# 来自今早澳洲小伙伴的接机返图，辛苦了！@SNH48-黄婷婷 看了看，有特写，也有街景；有看到镜头的，也有对车窗外比心；还把晓玉的狗给拍活了；就是图9不知道什么情况，车厢里非常欢腾。。。,黄婷婷 返图,[post_ref_p9 378 strong_image_keyword] #SNH48黄婷婷# #黄婷婷逆袭之星途璀璨# 来自今早澳洲小伙伴的接机返图，辛苦了！@SNH48-黄婷婷 看了看，有特写，也有街景；有看到镜头的，也有对车窗外比心；还把晓玉的狗给拍活了；就是图9不知道什么情况，车厢里非常欢腾。。。 https://m.weibo.cn/detail/4082737629848657 || [post_ref_p9 0 strong_image_keyword] 哈哈哈真的是活了 这张比心好酷啊！！！ #SNH48黄婷婷# #黄婷婷逆袭之星途璀璨# 来自今早澳洲小伙伴的接机返图，辛苦了！@SNH48-黄婷婷 看了看，有特写，也有街景；有看到镜头的，也有对车窗外比心；还把晓玉的狗给拍活了；就是图9不知道什么情况，车厢里非常欢腾。。。 https://m.weibo.cn/detail/4082738061198414,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/656c5467gy1fdegznsk4vj21kw16o7c3.jpg,top11_vc0024_656c5467gy1fdegznsk4vj21kw16o7c3.jpg
25,vc0025,006fXe6Ogy1fo2hml4l6aj30rs15o4qp,006fXe6Ogy1fo2hml4l6aj30rs15o4qp,1,366,366,0,1,0,366,366,0,1,0,1,1000,1500,https://wx4.sinaimg.cn/mw2000/006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,https://wx4.sinaimg.cn/orj360/006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,https://m.weibo.cn/detail/4203110060471940,#黄婷婷# 180202 五周年纪念演唱会 返图7P@SNH48-黄婷婷,黄婷婷 返图,[post_ref_p7 366 strong_image_keyword] #黄婷婷# 180202 五周年纪念演唱会 返图7P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203110060471940,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/005_006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,top12_vc0025_006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg
27,vc0027,00654gxwgy1fk6okqe5e7j30ku1127k1,00654gxwgy1fk6okqe5e7j30ku1127k1,1,363,363,0,2,0,363,363,0,2,0,2,750,1334,https://wx2.sinaimg.cn/mw2000/00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,https://wx2.sinaimg.cn/orj360/00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,https://m.weibo.cn/detail/4159289075820047,#黄婷婷##黄婷婷超级网剧大鼻子情圣# 171004 虹桥机场接机 在这个团圆的日子里，主页是和我的哥哥一起度过的。开心！满足！激动！！兴奋到模糊 【图4为视频截图】 @SNH48-黄婷婷 #黑夜女神-SNH48-黄婷婷[音乐]#,黄婷婷 机场,[post_ref_p4 363 explicit_image_visual_or_memory] #黄婷婷##黄婷婷超级网剧大鼻子情圣# 171004 虹桥机场接机 在这个团圆的日子里，主页是和我的哥哥一起度过的。开心！满足！激动！！兴奋到模糊 【图4为视频截图】 @SNH48-黄婷婷 #黑夜女神-SNH48-黄婷婷[音乐]# https://m.weibo.cn/detail/4159289075820047 || [post_ref_p4 0 explicit_image_visual_or_memory] 疯狂打电话//@海狮拍手PaPaPa://@不对自己投降:哇哦 #黄婷婷##黄婷婷超级网剧大鼻子情圣# 171004 虹桥机场接机 在这个团圆的日子里，主页是和我的哥哥一起度过的。开心！满足！激动！！兴奋到模糊 【图4为视频截图】 @SNH48-黄婷婷 #黑夜女神-SNH48-黄婷婷[音乐]# https://m.weibo.cn/detail/4159406130044064,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/006_00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,top13_vc0027_00654gxwgy1fk6okqe5e7j30ku1127k1.jpg
869,vc0869,7ab75438gy1fi0wzw76mej20qn141101,7ab75438gy1fi0wzw76mej20qn141101,1,357,357,0,4,0,2,2,0,2,2,4,959,1441,https://wx3.sinaimg.cn/mw2000/7ab75438gy1fi0wzw76mej20qn141101.jpg,https://wx3.sinaimg.cn/orj360/7ab75438gy1fi0wzw76mej20qn141101.jpg,https://m.weibo.cn/detail/4134910299567034,#黄婷婷# 这个黑夜女神有点帅@SNH48-黄婷婷,黄婷婷 饭拍 | 黄婷婷 黑夜女神,[single_image_post 354 single_image_context_volume] #黄婷婷# 这个黑夜女神有点帅@SNH48-黄婷婷 https://m.weibo.cn/detail/4134910299567034 || [single_image_post 2 strong_image_keyword] #SNH48年度总决选##摘星折桂黄婷婷# 【总选返图】有一种帅叫做婷婷帅 #黄婷婷# 这个黑夜女神有点帅@SNH48-黄婷婷 https://m.weibo.cn/detail/4134910996064885 || [single_image_post 1 single_image_context_volume] 哇靠//@告白气球_旋转跳跃的小叉:你很帅了！！！ #黄婷婷# 这个黑夜女神有点帅@SNH48-黄婷婷 https://m.weibo.cn/detail/4134917492957500 || [single_image_post 0 strong_image_keyword] #摘星折桂黄婷婷# #OnlyYou黄婷婷# 170729 总选 黑夜女神 饭拍高清1p@SNH48-黄婷婷 #黄婷婷# 这个黑夜女神有点帅@SNH48-黄婷婷 https://m.weibo.cn/detail/4134910576758206,data/weibo_huangtingting_image_assets/analysis/top_images/files/036_7ab75438gy1fi0wzw76mej20qn141101.jpg,top14_vc0869_7ab75438gy1fi0wzw76mej20qn141101.jpg
30,vc0030,006fXe6Oly1fnyh9o65zxj30rs15onpd,006fXe6Oly1fnyh9o65zxj30rs15onpd,1,335,335,0,1,0,335,335,0,1,0,1,1000,1500,https://wx1.sinaimg.cn/mw2000/006fXe6Oly1fnyh9o65zxj30rs15onpd.jpg,https://wx1.sinaimg.cn/orj360/006fXe6Oly1fnyh9o65zxj30rs15onpd.jpg,https://m.weibo.cn/detail/4201853321903624,#黄婷婷# #黄婷婷安徽春晚# 180126 安徽卫视春晚 返图9P@SNH48-黄婷婷 网页链接,黄婷婷 返图,[post_ref_p9 335 strong_image_keyword] #黄婷婷# #黄婷婷安徽春晚# 180126 安徽卫视春晚 返图9P@SNH48-黄婷婷 网页链接 https://m.weibo.cn/detail/4201853321903624,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/006fXe6Oly1fnyh9o65zxj30rs15onpd.jpg,top15_vc0030_006fXe6Oly1fnyh9o65zxj30rs15onpd.jpg
36,vc0036,006fXe6Ogy1fmiyyl4jewj315o0rs1kx,006fXe6Ogy1fmiyyl4jewj315o0rs1kx,1,294,294,0,2,0,294,294,0,2,0,2,1500,1000,https://wx4.sinaimg.cn/mw2000/006fXe6Ogy1fmiyyl4jewj315o0rs1kx.jpg,https://wx4.sinaimg.cn/orj360/006fXe6Ogy1fmiyyl4jewj315o0rs1kx.jpg,https://m.weibo.cn/detail/4185707797348839,#黄婷婷# #素手遮天黄婷婷# 171216 第十一届咪咕汇音乐盛典 返图5P@SNH48-黄婷婷,黄婷婷 返图,[post_ref_p5 294 strong_image_keyword] #黄婷婷# #素手遮天黄婷婷# 171216 第十一届咪咕汇音乐盛典 返图5P@SNH48-黄婷婷 https://m.weibo.cn/detail/4185707797348839 || [post_ref_p5 0 strong_image_keyword] 爆炸好看 #黄婷婷# #素手遮天黄婷婷# 171216 第十一届咪咕汇音乐盛典 返图5P@SNH48-黄婷婷 https://m.weibo.cn/detail/4185724599749460,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/006fXe6Ogy1fmiyyl4jewj315o0rs1kx.jpg,top16_vc0036_006fXe6Ogy1fmiyyl4jewj315o0rs1kx.jpg
37,vc0037,659ded68ly1fuudowp4qsj23gg2ayb2f,659ded68ly1fuudowp4qsj23gg2ayb2f,1,275,275,0,1,0,275,275,0,1,0,1,2048,1365,https://wx1.sinaimg.cn/mw2000/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://wx1.sinaimg.cn/orj360/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://m.weibo.cn/detail/4279560780164145,黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷,,[post_ref_p9 275 strong_image_keyword] 黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷 https://m.weibo.cn/detail/4279560780164145,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/007_659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,top17_vc0037_659ded68ly1fuudowp4qsj23gg2ayb2f.jpg
38,vc0038,656c5467gy1fvaff26jcoj213z1o0u0x,656c5467gy1fvaff26jcoj213z1o0u0x,1,257,257,0,1,0,257,257,0,1,0,1,1439,2160,https://wx4.sinaimg.cn/mw2000/656c5467gy1fvaff26jcoj213z1o0u0x.jpg,https://wx4.sinaimg.cn/orj360/656c5467gy1fvaff26jcoj213z1o0u0x.jpg,https://m.weibo.cn/detail/4284589620399394,黄婷婷180915 哈啤 x PONY 快闪店外务返图 @SNH48-黄婷婷,黄婷婷 返图,[single_image_post 257 strong_image_keyword] 黄婷婷180915 哈啤 x PONY 快闪店外务返图 @SNH48-黄婷婷 https://m.weibo.cn/detail/4284589620399394,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/656c5467gy1fvaff26jcoj213z1o0u0x.jpg,top18_vc0038_656c5467gy1fvaff26jcoj213z1o0u0x.jpg
40,vc0040,656c5467gw1f8uhknm4zfj21kw11x45b,656c5467gw1f8uhknm4zfj21kw11x45b,1,255,255,0,1,0,255,255,0,1,0,1,2048,1365,https://ww1.sinaimg.cn/mw2000/656c5467gw1f8uhknm4zfj21kw11x45b.jpg,https://ww1.sinaimg.cn/orj360/656c5467gw1f8uhknm4zfj21kw11x45b.jpg,https://m.weibo.cn/detail/4031335481723000,#SNH48黄婷婷# 161015 生日会返图 1P,黄婷婷 返图,[single_image_post 255 strong_image_keyword] #SNH48黄婷婷# 161015 生日会返图 1P https://m.weibo.cn/detail/4031335481723000,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/656c5467gw1f8uhknm4zfj21kw11x45b.jpg,top19_vc0040_656c5467gw1f8uhknm4zfj21kw11x45b.jpg
41,vc0041,659ded68gy1fqzmtgr4agj22a43f6qv5,659ded68gy1fqzmtgr4agj22a43f6qv5,1,246,246,0,1,0,246,246,0,1,0,1,2048,3072,https://wx4.sinaimg.cn/mw2000/659ded68gy1fqzmtgr4agj22a43f6qv5.jpg,https://wx4.sinaimg.cn/orj360/659ded68gy1fqzmtgr4agj22a43f6qv5.jpg,https://m.weibo.cn/detail/4236068293049157,#黄婷婷五四青年晚会##黄婷婷能量月# 【180430 央视五四晚会】返图7P 你是良人、心上人、意中人。 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p7 246 strong_image_keyword] #黄婷婷五四青年晚会##黄婷婷能量月# 【180430 央视五四晚会】返图7P 你是良人、心上人、意中人。 @SNH48-黄婷婷 https://m.weibo.cn/detail/4236068293049157,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/659ded68gy1fqzmtgr4agj22a43f6qv5.jpg,top20_vc0041_659ded68gy1fqzmtgr4agj22a43f6qv5.jpg
43,vc0043,008IB0kxgy1ibvu4k4n36j31jk2b61c7,008IB0kxgy1ibvu4k4n36j31jk2b61c7,1,232,232,0,1,0,232,232,0,1,0,1,2000,2994,https://wx1.sinaimg.cn/mw2000/008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,https://wx1.sinaimg.cn/orj360/008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,https://m.weibo.cn/detail/5284330852058055,919/ 【黄糖】今天看超越班那个综艺的介绍部分，阿黄的ppt里，有一张饭拍图背后看起来是大脸猫。找到了原图和视频（第二届金曲n队面包与奶油），确实是黄糖！虽然可能只是巧合，但是总之，我们双生花甜甜甜！,黄婷婷 饭拍,[post_ref_p1 232 strong_image_keyword] 919/ 【黄糖】今天看超越班那个综艺的介绍部分，阿黄的ppt里，有一张饭拍图背后看起来是大脸猫。找到了原图和视频（第二届金曲n队面包与奶油），确实是黄糖！虽然可能只是巧合，但是总之，我们双生花甜甜甜！ https://m.weibo.cn/detail/5284330852058055,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/008_008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,top21_vc0043_008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg
44,vc0044,659ded68ly1ftr3cy4qp0j21l2243b2c,659ded68ly1ftr3cy4qp0j21l2243b2c,1,232,232,0,1,0,232,232,0,1,0,1,2048,2730,https://wx2.sinaimg.cn/mw2000/659ded68ly1ftr3cy4qp0j21l2243b2c.jpg,https://wx2.sinaimg.cn/orj360/659ded68ly1ftr3cy4qp0j21l2243b2c.jpg,https://m.weibo.cn/detail/4267244428679975,黄婷婷#初心不改黄婷婷# 【180728 第五届总决选】返图9P 想为你永远地深陷在人间 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p9 232 strong_image_keyword] 黄婷婷#初心不改黄婷婷# 【180728 第五届总决选】返图9P 想为你永远地深陷在人间 @SNH48-黄婷婷 https://m.weibo.cn/detail/4267244428679975,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/659ded68ly1ftr3cy4qp0j21l2243b2c.jpg,top22_vc0044_659ded68ly1ftr3cy4qp0j21l2243b2c.jpg
