rank,cluster_id,representative_pic_id,pic_ids,pic_count,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,core_total_likes,core_post_likes,core_comment_likes,core_source_count,volume_source_count,source_note_count,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,representative_local_path,image_name
11,vc0011,006fXe6Ogy1fo2hml4l6aj30rs15o4qp,006fXe6Ogy1fo2hml4l6aj30rs15o4qp,1,366,366,0,1,0,366,366,0,1,0,1,1000,1500,https://wx4.sinaimg.cn/mw2000/006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,https://wx4.sinaimg.cn/orj360/006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,https://m.weibo.cn/detail/4203110060471940,#黄婷婷# 180202 五周年纪念演唱会 返图7P@SNH48-黄婷婷,黄婷婷 返图,[post_ref_p7 366 strong_image_keyword] #黄婷婷# 180202 五周年纪念演唱会 返图7P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203110060471940,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/005_006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg,top11_vc0011_006fXe6Ogy1fo2hml4l6aj30rs15o4qp.jpg
12,vc0012,00654gxwgy1fk6okqe5e7j30ku1127k1,00654gxwgy1fk6okqe5e7j30ku1127k1,1,363,363,0,1,0,363,363,0,1,0,1,750,1334,https://wx2.sinaimg.cn/mw2000/00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,https://wx2.sinaimg.cn/orj360/00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,https://m.weibo.cn/detail/4159289075820047,#黄婷婷##黄婷婷超级网剧大鼻子情圣# 171004 虹桥机场接机 在这个团圆的日子里，主页是和我的哥哥一起度过的。开心！满足！激动！！兴奋到模糊 【图4为视频截图】 @SNH48-黄婷婷 #黑夜女神-SNH48-黄婷婷[音乐]#,黄婷婷 机场,[post_ref_p4 363 explicit_image_visual_or_memory] #黄婷婷##黄婷婷超级网剧大鼻子情圣# 171004 虹桥机场接机 在这个团圆的日子里，主页是和我的哥哥一起度过的。开心！满足！激动！！兴奋到模糊 【图4为视频截图】 @SNH48-黄婷婷 #黑夜女神-SNH48-黄婷婷[音乐]# https://m.weibo.cn/detail/4159289075820047,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/006_00654gxwgy1fk6okqe5e7j30ku1127k1.jpg,top12_vc0012_00654gxwgy1fk6okqe5e7j30ku1127k1.jpg
13,vc0013,6816b8e1ly1fjg2nsah99j20i20fxta1,6816b8e1ly1fjg2nsah99j20i20fxta1,1,353,353,0,1,0,353,353,0,1,0,1,650,573,https://wx2.sinaimg.cn/mw2000/6816b8e1ly1fjg2nsah99j20i20fxta1.jpg,https://wx2.sinaimg.cn/orj360/6816b8e1ly1fjg2nsah99j20i20fxta1.jpg,https://m.weibo.cn/detail/4150945888025217,#黄婷婷#[音乐]#黑夜女神黄婷婷# [每日一画]黄婷婷煮粉丝.还没睡的先来下锅吧.,黄婷婷 黑夜女神,[single_image_post 353 strong_image_keyword] #黄婷婷#[音乐]#黑夜女神黄婷婷# [每日一画]黄婷婷煮粉丝.还没睡的先来下锅吧. https://m.weibo.cn/detail/4150945888025217,data/weibo_huangtingting_image_assets/analysis/top_images/files/037_6816b8e1ly1fjg2nsah99j20i20fxta1.jpg,top13_vc0013_6816b8e1ly1fjg2nsah99j20i20fxta1.jpg
15,vc0015,659ded68ly1fuudowp4qsj23gg2ayb2f,659ded68ly1fuudowp4qsj23gg2ayb2f,1,275,275,0,1,0,275,275,0,1,0,1,2048,1365,https://wx1.sinaimg.cn/mw2000/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://wx1.sinaimg.cn/orj360/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://m.weibo.cn/detail/4279560780164145,黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷,,[post_ref_p9 275 strong_image_keyword] 黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷 https://m.weibo.cn/detail/4279560780164145,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/007_659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,top14_vc0015_659ded68ly1fuudowp4qsj23gg2ayb2f.jpg
16,vc0016,008IB0kxgy1ibvu4k4n36j31jk2b61c7,008IB0kxgy1ibvu4k4n36j31jk2b61c7,1,232,232,0,1,0,232,232,0,1,0,1,2000,2994,https://wx1.sinaimg.cn/mw2000/008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,https://wx1.sinaimg.cn/orj360/008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,https://m.weibo.cn/detail/5284330852058055,919/ 【黄糖】今天看超越班那个综艺的介绍部分，阿黄的ppt里，有一张饭拍图背后看起来是大脸猫。找到了原图和视频（第二届金曲n队面包与奶油），确实是黄糖！虽然可能只是巧合，但是总之，我们双生花甜甜甜！,黄婷婷 饭拍,[post_ref_p1 232 strong_image_keyword] 919/ 【黄糖】今天看超越班那个综艺的介绍部分，阿黄的ppt里，有一张饭拍图背后看起来是大脸猫。找到了原图和视频（第二届金曲n队面包与奶油），确实是黄糖！虽然可能只是巧合，但是总之，我们双生花甜甜甜！ https://m.weibo.cn/detail/5284330852058055,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/008_008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg,top15_vc0016_008IB0kxgy1ibvu4k4n36j31jk2b61c7.jpg
17,vc0017,0086r8n6gy1ialgnagexbj33h03h0npe,0086r8n6gy1ialgnagexbj33h03h0npe,1,228,228,0,2,0,228,228,0,2,0,2,2048,2048,https://wx3.sinaimg.cn/mw2000/0086r8n6gy1ialgnagexbj33h03h0npe.jpg,https://wx3.sinaimg.cn/orj360/0086r8n6gy1ialgnagexbj33h03h0npe.jpg,https://m.weibo.cn/detail/5269794464728158,黄婷婷 💛#黄婷婷被隐匿的真相# 每日一萌婷（捡到一张证件照՞〃'ᜊ'〃՞,,[post_ref_p1 227 strong_image_keyword] 黄婷婷 💛#黄婷婷被隐匿的真相# 每日一萌婷（捡到一张证件照՞〃'ᜊ'〃՞ https://m.weibo.cn/detail/5269794464728158 || [post_ref_p1 1 strong_image_keyword] 这张黄婷婷好可爱呀哈哈哈哈 黄婷婷 💛#黄婷婷被隐匿的真相# 每日一萌婷（捡到一张证件照՞〃'ᜊ'〃՞ https://m.weibo.cn/detail/5269815851745303,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/009_0086r8n6gy1ialgnagexbj33h03h0npe.jpg,top16_vc0017_0086r8n6gy1ialgnagexbj33h03h0npe.jpg
18,vc0018,006fXe6Ogw1f6fqlqqhkfj30rs15otld,006fXe6Ogw1f6fqlqqhkfj30rs15otld,1,223,223,0,1,0,223,223,0,1,0,1,1000,1500,https://ww2.sinaimg.cn/mw2000/006fXe6Ogw1f6fqlqqhkfj30rs15otld.jpg,https://ww2.sinaimg.cn/orj360/006fXe6Ogw1f6fqlqqhkfj30rs15otld.jpg,https://m.weibo.cn/detail/4004143225918745,#SNH48黄婷婷# 160730 SNH48 第三届总选演唱会 返图9P @SNH48-黄婷婷,黄婷婷 总选 返图,[post_ref_p9 223 strong_image_keyword] #SNH48黄婷婷# 160730 SNH48 第三届总选演唱会 返图9P @SNH48-黄婷婷 https://m.weibo.cn/detail/4004143225918745,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_10k/cluster_source_images/006fXe6Ogw1f6fqlqqhkfj30rs15otld.jpg,top17_vc0018_006fXe6Ogw1f6fqlqqhkfj30rs15otld.jpg
19,vc0019,006fXe6Ogw1f6i21j5a89j30rs15o7cy,006fXe6Ogw1f6i21j5a89j30rs15o7cy,1,203,203,0,2,0,203,203,0,2,0,2,1000,1500,https://ww3.sinaimg.cn/mw2000/006fXe6Ogw1f6i21j5a89j30rs15o7cy.jpg,https://ww3.sinaimg.cn/orj360/006fXe6Ogw1f6i21j5a89j30rs15o7cy.jpg,https://m.weibo.cn/detail/4004880584753511,#SNH48黄婷婷# #笑颜一番黄婷婷# 这次总选的返图都太美啦~手机内存要受不了了…… #黄婷婷# #SNH48黄婷婷# 160730 SNH48 第三届总选演唱会 返图9P @SNH48-黄婷婷,黄婷婷 总选 返图,[post_ref_p9 203 strong_image_keyword] #黄婷婷# #SNH48黄婷婷# 160730 SNH48 第三届总选演唱会 返图9P @SNH48-黄婷婷 https://m.weibo.cn/detail/4004869750950222 || [post_ref_p9 0 strong_image_keyword] #SNH48黄婷婷# #笑颜一番黄婷婷# 这次总选的返图都太美啦~手机内存要受不了了…… #黄婷婷# #SNH48黄婷婷# 160730 SNH48 第三届总选演唱会 返图9P @SNH48-黄婷婷 https://m.weibo.cn/detail/4004880584753511,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_10k/cluster_source_images/006fXe6Ogw1f6i21j5a89j30rs15o7cy.jpg,top18_vc0019_006fXe6Ogw1f6i21j5a89j30rs15o7cy.jpg
20,vc0020,91e4dd50gy1fjv0f4oreij20e50jvtan,91e4dd50gy1fjv0f4oreij20e50jvtan,1,192,192,0,1,0,192,192,0,1,0,1,509,715,https://wx3.sinaimg.cn/mw2000/91e4dd50gy1fjv0f4oreij20e50jvtan.jpg,https://wx3.sinaimg.cn/orj360/91e4dd50gy1fjv0f4oreij20e50jvtan.jpg,https://m.weibo.cn/detail/4155629377536128,"借着上一条微博东风来瞎吹吹黄婷婷的腿吧，前天和朋友讨论黄婷婷的腿。说htt的腿不是一麻溜瘦下来然后大腿小腿分不清的竹竿那种。 她腿瘦，但是不是干瘦,是会觉得好看、纤细，但不会觉得不健康。 “htt的小腿纤细但往上到大腿又圆润有弧度” 然后为了看她到底是不是小腿比大腿长。。。我做了后三张图 ...全文",,"[post_ref_p3 192 explicit_image_visual_or_memory] 借着上一条微博东风来瞎吹吹黄婷婷的腿吧，前天和朋友讨论黄婷婷的腿。说htt的腿不是一麻溜瘦下来然后大腿小腿分不清的竹竿那种。 她腿瘦，但是不是干瘦,是会觉得好看、纤细，但不会觉得不健康。 “htt的小腿纤细但往上到大腿又圆润有弧度” 然后为了看她到底是不是小腿比大腿长。。。我做了后三张图 ...全文 https://m.weibo.cn/detail/4155629377536128",data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/012_91e4dd50gy1fjv0f4oreij20e50jvtan.jpg,top19_vc0020_91e4dd50gy1fjv0f4oreij20e50jvtan.jpg
21,vc0021,006fXe6Ogy1fbuuavrxujj30rs15owox,006fXe6Ogy1fbuuavrxujj30rs15owox,1,191,191,0,1,0,191,191,0,1,0,1,1000,1500,https://wx3.sinaimg.cn/mw2000/006fXe6Ogy1fbuuavrxujj30rs15owox.jpg,https://wx3.sinaimg.cn/orj360/006fXe6Ogy1fbuuavrxujj30rs15owox.jpg,https://m.weibo.cn/detail/4065299453810503,#SNH48黄婷婷# #黄婷婷逆袭之星途璀璨# 170116 微博之夜 红毯 返图9P @SNH48-黄婷婷 站内网页链接,黄婷婷 红毯,[post_ref_p9 191 strong_image_keyword] #SNH48黄婷婷# #黄婷婷逆袭之星途璀璨# 170116 微博之夜 红毯 返图9P @SNH48-黄婷婷 站内网页链接 https://m.weibo.cn/detail/4065299453810503,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/013_006fXe6Ogy1fbuuavrxujj30rs15owox.jpg,top20_vc0021_006fXe6Ogy1fbuuavrxujj30rs15owox.jpg
22,vc0022,f1264ed6gy1i9ri74s03wj21jk22xkjl,f1264ed6gy1i9ri74s03wj21jk22xkjl,1,191,191,0,1,0,191,191,0,1,0,1,2000,2697,https://wx1.sinaimg.cn/mw2000/f1264ed6gy1i9ri74s03wj21jk22xkjl.jpg,https://wx1.sinaimg.cn/orj360/f1264ed6gy1i9ri74s03wj21jk22xkjl.jpg,https://m.weibo.cn/detail/5260404868780033,黄婷婷 用新杂志试着摸一张安利图 帅帅帅 #黄婷婷被隐匿的真相#,,[single_image_post 191 strong_image_keyword] 黄婷婷 用新杂志试着摸一张安利图 帅帅帅 #黄婷婷被隐匿的真相# https://m.weibo.cn/detail/5260404868780033,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/014_f1264ed6gy1i9ri74s03wj21jk22xkjl.jpg,top21_vc0022_f1264ed6gy1i9ri74s03wj21jk22xkjl.jpg
23,vc0023,7dc395c8ly1fbwgqbtmfuj20rs15o7g8,7dc395c8ly1fbwgqbtmfuj20rs15o7g8,1,191,191,0,2,0,191,191,0,2,0,2,1000,1500,https://wx2.sinaimg.cn/mw2000/7dc395c8ly1fbwgqbtmfuj20rs15o7g8.jpg,https://wx2.sinaimg.cn/orj360/7dc395c8ly1fbwgqbtmfuj20rs15o7g8.jpg,https://m.weibo.cn/detail/4065909000296482,#黄婷婷# 这组机场图好看到哭泣 #黄婷婷逆袭之星途璀璨##黄婷婷十三亿分之你##SNH48黄婷婷# 貌似是最后的库存。 还想再说一次 感谢相遇。 【170111 北京首都机场 送机返图2p】,黄婷婷 机场 返图 | 黄婷婷 机场图,[post_ref_p2 191 strong_image_keyword] #黄婷婷逆袭之星途璀璨##黄婷婷十三亿分之你##SNH48黄婷婷# 貌似是最后的库存。 还想再说一次 感谢相遇。 【170111 北京首都机场 送机返图2p】 https://m.weibo.cn/detail/4065808202532531 || [post_ref_p2 0 strong_image_keyword] #黄婷婷# 这组机场图好看到哭泣 #黄婷婷逆袭之星途璀璨##黄婷婷十三亿分之你##SNH48黄婷婷# 貌似是最后的库存。 还想再说一次 感谢相遇。 【170111 北京首都机场 送机返图2p】 https://m.weibo.cn/detail/4065909000296482,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_10k/cluster_source_images/7dc395c8ly1fbwgqbtmfuj20rs15o7g8.jpg,top22_vc0023_7dc395c8ly1fbwgqbtmfuj20rs15o7g8.jpg
24,vc0024,006Q5y4Vly1ftvn0iaz6xj30l0121don,006Q5y4Vly1ftvn0iaz6xj30l0121don,1,188,188,0,1,0,188,188,0,1,0,1,756,1369,https://wx1.sinaimg.cn/mw2000/006Q5y4Vly1ftvn0iaz6xj30l0121don.jpg,https://wx1.sinaimg.cn/orj360/006Q5y4Vly1ftvn0iaz6xj30l0121don.jpg,https://m.weibo.cn/detail/4268670399707748,"黄婷婷#五载涅槃,浴火为黄# 修图9P 手机壁纸/头像/微博背景 是可爱的黄婷婷！@SNH48-黄婷婷 图—禁止二改/转发注明 （原图:@HTTimes-黄婷婷个站 ）",黄婷婷 壁纸,"[post_ref_p9 188 strong_image_keyword] 黄婷婷#五载涅槃,浴火为黄# 修图9P 手机壁纸/头像/微博背景 是可爱的黄婷婷！@SNH48-黄婷婷 图—禁止二改/转发注明 （原图:@HTTimes-黄婷婷个站 ） https://m.weibo.cn/detail/4268670399707748",data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/015_006Q5y4Vly1ftvn0iaz6xj30l0121don.jpg,top23_vc0024_006Q5y4Vly1ftvn0iaz6xj30l0121don.jpg
25,vc0025,006rAUqmgy1fmd4c1g3dmj31400qo10y,006rAUqmgy1fmd4c1g3dmj31400qo10y,1,184,184,0,2,0,184,184,0,2,0,2,1440,960,https://wx1.sinaimg.cn/mw2000/006rAUqmgy1fmd4c1g3dmj31400qo10y.jpg,https://wx1.sinaimg.cn/orj360/006rAUqmgy1fmd4c1g3dmj31400qo10y.jpg,https://m.weibo.cn/detail/4254035076255353,#黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！,黄婷婷 总选 返图,[single_image_post 184 strong_image_keyword] #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ https://m.weibo.cn/detail/4183873426753410 || [single_image_post 0 strong_image_keyword] #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ https://m.weibo.cn/detail/4254035076255353,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_10k/cluster_source_images/006rAUqmgy1fmd4c1g3dmj31400qo10y.jpg,top24_vc0025_006rAUqmgy1fmd4c1g3dmj31400qo10y.jpg
