memory_point,kind,likes,reason,author,text,url
爱丽丝与热巴的双向奔赴,comment,33236,粉丝点评/记忆表达明确,狐狐碎碎念,宝贝 想跟你说一些话 热巴 你做到了 你做到让我们很有底气的喜欢你 我们都有看到你的努力 也希望你可以有多一点的休息时间 给自己放个假 不要太累了 你一直都是我们爱丽丝的骄傲 你要一直做闪闪发光的大明星迪丽热巴 你的努力配得上那些鲜花和掌声,https://m.weibo.cn/detail/4673469763816437
机场饭拍与日常陪伴片刻,post,30966,粉丝点评/记忆表达明确,刘任捷photographer,迪丽热巴超话 一个晴朗的午后 我在上班路上偶遇了一位正在拍物料的美女@Dear-迪丽热巴 ​,https://m.weibo.cn/detail/5294146376172010
白日提灯贺思慕/女鬼鬼王记忆,post,29540,粉丝点评/记忆表达明确,给我热一扎奶茶,第一遍只顾着欣赏迪丽热巴陈飞宇俩人唯美雪地华尔兹一看结尾怎么陈飞宇你小子还害羞了呀！ 跳完舞害羞的背对镜头，还要迪丽热巴给他扒拉过来跟镜头打招呼～谁来懂一下这段迪丽热巴年上姐感爆棚！ 迪丽热巴：陈飞宇你给我大大方方的！ #慕胥辞贺思慕段胥雪中舞#,https://m.weibo.cn/detail/5114730169765522
乔晶晶与《你是我的荣耀》入坑记忆,comment,27523,粉丝点评/记忆表达明确,Dear迪丽热巴后援会,这个盛夏有乔晶晶的陪伴真的很温暖又幸福，我们不说再见，永远期待演员迪丽热巴的下一个角色！,https://m.weibo.cn/detail/4673469763816437
乔晶晶与《你是我的荣耀》入坑记忆,comment,26589,粉丝点评/记忆表达明确,麻豆还在热巴怀里吐奶嘛,你的努力配得上那些鲜花和掌声~感恩这个夏天的风吹来了可爱的乔晶晶，希望我们都能做颗星星⭐，有棱有角，闪闪发光，熠熠生辉~迪丽热巴未来的日子我们继续并肩同行吧！,https://m.weibo.cn/detail/4673469763816437
爱丽丝与热巴的双向奔赴,post,20936,粉丝点评/记忆表达明确,林收腹-雷朋99版,#甜玉米为田栩宁梓渝五一应援# 五一假期，田栩宁与梓渝的CP粉“甜玉米”奔赴兖州、连云港、无锡等地打卡应援。街头随处可见粉丝队伍与各种应援，她们支持本土商户，用爱拉动经济。文旅与商户也热情回应，兖州商户纷纷打出了“感谢甜玉米”，“欢迎甜玉米回家”等口号这是以爱为名的双向奔赴@微博智搜 ​,https://m.weibo.cn/detail/5294852044492986
枭起青壤/聂九罗表演突破,post,19737,粉丝点评/记忆表达明确,噼里啪啦吐弹幕,#迪丽热巴 绝美ending# 被迪丽热巴笑不活了，聂九罗“最后就是这样，绝美ending”，摆好pose，大喘气，然后转过头，微笑着点头wink，哈哈哈哈，太懂了吧，太好笑了；迪丽热巴倒在地上，吐槽：“叫不醒一个装睡的人”，果然是剧组欢乐多啊 #枭起青壤# 花絮 ...全文,https://m.weibo.cn/detail/5234326759015158
爱丽丝与热巴的双向奔赴,post,19372,粉丝点评/记忆表达明确,张新宇1018,今晚最期待的迪丽热巴，爱丽丝现场打call,https://m.weibo.cn/detail/4989829924266796
白日提灯贺思慕/女鬼鬼王记忆,post,19136,粉丝点评/记忆表达明确,Sunflower迎着光,迪丽热巴超话好美呀，演技真好！绿色那套装扮让我梦回丽姬#贺思慕的五感体验卡#,https://m.weibo.cn/detail/5283753024819737
新疆舞与舞台表现名场面,post,17534,粉丝点评/记忆表达明确,刘宇Yu_,#青年路上话青春#青春路热烈滚烫，我们一起书写。5月4日20:00，@央视文艺 《未来我来—2026五四青年节特别节目》舞台见。#央视五四晚会# ​,https://m.weibo.cn/detail/5294853370155255
乔晶晶与《你是我的荣耀》入坑记忆,comment,17327,粉丝点评/记忆表达明确,昵攸猫饼,7.26，宝贝带着可爱的晶晶来了，晶晶就像一个小太阳一直在温暖着别人。在工作上也很棒，要努力做到最好。自信独立，是个很棒的大明星。 感谢巴宝让我在这个夏天遇见了乔晶晶，虽然这个夏天很热，但有你们一切都好 一定要开开心心，幸幸福福 平安喜乐,https://m.weibo.cn/detail/4673469763816437
新疆舞与舞台表现名场面,post,16991,粉丝点评/记忆表达明确,央视文艺,【#五四晚会阵容#发布，你期待谁的舞台？】青春不设限，心有所向便勇敢奔赴。今天20点档，与@敖定雯 @白宇帆 @包上恩 @暴走馒头 @舞者常宏基 @陈佳妮Emma @陈俐卓 @种地吧陈少熙 @演员陈添祥 @陈鑫海Ocean @陈宇轩Cyxxxxxx @陈卓璇 @陈紫妍Diana 程迪 @池早是我 @楚瑷旭-小宇咂 @我是戴荃 @邓凯-Kai ​,https://m.weibo.cn/detail/5294843811073372
嘻嘻迪/表情包/可爱梗,post,16162,粉丝点评/记忆表达明确,神经大条的小媛子,哈哈哈哈哈笑死了 88,https://m.weibo.cn/detail/4389017464462574
嘻嘻迪/表情包/可爱梗,post,16162,粉丝点评/记忆表达明确,爱七号的说yu,笑死 哈哈哈,https://m.weibo.cn/detail/4389016172953092
生日生贺与小小迪陪伴记忆,post,16038,粉丝点评/记忆表达明确,爱喝果汁的百香果,迪丽热巴未播花絮合集 迪丽热巴理想型真诚、自由的灵魂、喜欢学习新的事物迪丽热巴：以前挖坑会跳，现在不会了。现在人是放松的，话是紧的，有的话是不能开玩笑的。小的时候我爸喜欢看体育频道，花样滑冰是我唯一喜欢的，现在的爱好就是旅行还有吃着外卖吹着空调；早前爸妈会心疼我，自从克拉播出后对我有信心，今年过生日爸妈来了带他们去买衣服，他们一直都不敢买太贵了...迪丽热巴超话 星闻揭秘超话 L星闻揭秘的微博视频,https://m.weibo.cn/detail/4422355411359430
嘻嘻迪/表情包/可爱梗,post,15493,粉丝点评/记忆表达明确,Dear-至爱陳奕迅,哈哈哈哈哈哈太可爱了@Dear-迪丽热巴,https://m.weibo.cn/detail/4389016332056544
行走的油画/神女美貌出圈,post,14699,粉丝点评/记忆表达明确,MissHighland,黑丝浴袍梦回第一次米兰时装周时代美貌 #迪丽热巴贺思慕#,https://m.weibo.cn/detail/5287087584837726
乔晶晶与《你是我的荣耀》入坑记忆,comment,13250,粉丝点评/记忆表达明确,叶汉茜,胖迪@Dear-迪丽热巴 谢谢你精彩完美细腻的演绎，让我心中的乔晶晶从书里走出来了！也谢谢你让我们遇到这么一个充满阳光灵动俏皮人间清醒的乔晶晶！时间总是过的很快，又要跟你的一个角色道别了，愿我们的乔晶晶在她所生活的世界里平安健康幸福常乐。夏日限定到此为止啦，我们一起相约秋/冬日不见不散。,https://m.weibo.cn/detail/4673469763816437
胖迪昵称与吃货反差,post,13019,粉丝点评/记忆表达明确,凤凰网FASHION,#你问偶答# 在@路易威登 2021春夏男装秀现场，我们和迪丽热巴超话 聊了一会~热巴昨日的造型真的是很酷呢！想知道她在看秀前做了哪些准备吗？以及作为小吃货的她最近又get到了什么宝藏美食呢？快点进来视频看看吧 #迪丽热巴安利牛油果吐司# L凤凰网FASHION的酷燃视频 ​,https://m.weibo.cn/detail/4535308382640311
爱丽丝与热巴的双向奔赴,post,12727,粉丝点评/记忆表达明确,光影橙,#迪丽热巴为粉丝学舞出EP# 是@Dear-迪丽热巴 的生日也是爱丽丝的好日子！2019年的热巴在自己的生日会上跳了用心学习了很久的女团舞，2024年的迪丽热巴用一年的时间准备了EP，这是热巴和粉丝的双向奔赴，“热爱”cp就是最甜的！,https://m.weibo.cn/detail/5040131740271386
枭起青壤/聂九罗表演突破,post,12544,粉丝点评/记忆表达明确,爱吃黑松露的猹,#迪丽热巴第一次听这点粉丝啊#迪丽热巴第一次听这点粉丝啊🤣聂九罗被炎拓骗进车里这段真的太有梗了，她一开始装出柔弱模样，轻声说着“我是公众人物，放了我绝不追究”，试图以温和姿态脱身，可对面的人握着她的手机，眼神里满是不容置喙的审视。还嘲讽她：就这点粉丝啊。迪丽热巴：第一次听这个😅好家伙，车门再次打开的瞬间，聂九罗眼中柔弱消失，利落一拳将人放倒，完成了30秒从“小白花”到“疯刀女王”的反转。看不谁呢，看你还敢说我就这点粉丝？！（不是）#枭起,https://m.weibo.cn/detail/5236122622099775
演员成长与角色群像评价,post,12527,粉丝点评/记忆表达明确,玉树临风可爱鸡,每年都这么牛，17年到现在，9年老粉圈，跟我们同期的都没有这么大流量了，永远年轻永远热血，热血番还能再战十年伟大！ ​,https://m.weibo.cn/detail/5258042209733040
新疆舞与舞台表现名场面,post,11240,粉丝点评/记忆表达明确,那年追过的剧,#2023央视春晚你最期待谁#2023年央视春晚助阵的16位特别嘉宾来看看：赵露思、白敬亭、杨紫、王心凌、虞书欣、郑恺、杨颖、白鹿、赵今麦、容祖儿、周深、沙溢、肖战、沈腾、杨幂迪丽热巴、赵丽颖你们最期待谁呢？#荣耀二创大赏# L那年追过的剧的微博视频 ​,https://m.weibo.cn/detail/4850662979933572
迪拜报平安/守护型记忆,post,10542,粉丝点评/记忆表达明确,Mercury_1204,迪丽热巴 #迪丽热巴# 亲爱的小迪： 得知你因意外来不了巴黎时，我内心的担忧大于一切，那几天没有一天是睡好了的，拿起手机的第一反应就是确认你是否安全。后来看见你的博文后，心才稍微平静下来。 你很少对外界诉说你的烦恼你的难过，每次心疼你都会有时差。谢谢你准备的小礼物，谢谢你惦 ...全文,https://m.weibo.cn/detail/5286921159049306
李长歌与《长歌行》角色记忆,post,9868,粉丝点评/记忆表达明确,剪到底,#长歌阿隼对视拥抱##长歌行# 哇偶，今天又是为“歌隼”爱情欢呼的一天。哈哈哈，真的被迪丽热巴和吴磊的幕后花絮笑到啦，没想到我们英勇无畏的阿隼竟然也会害羞啊，看着吴磊弟弟和热巴拥抱害羞的表情，真的莫名被甜到了。 正所谓双向奔赴，默默守护，这样的男女主感情戏真可谓是羡煞旁人了！屏幕前的你 ...全文,https://m.weibo.cn/detail/4627398991547003
演员成长与角色群像评价,post,9621,粉丝点评/记忆表达明确,活人笔记,白日提灯，给我的感觉真的跟平常看的古偶不一样，首先原声台词质感很好，景和特效没得说，以及剧情特别紧凑，秦榛挺会放钩子的，热巴目前已经有了很多名场面，演技很赞，站内热度一小时破23000，作为观众角度来看，我会一直追的。 ​,https://m.weibo.cn/detail/5281455854584165
演员成长与角色群像评价,post,9569,粉丝点评/记忆表达明确,耶我就是命好,#入坑迪丽热巴太容易了# 谁懂啊！在直播间巴粉认亲了！@声鸣远扬张行健 问@声鸣远扬迈利撒 自己觉得像不像热巴，迈利撒直言自己是热巴多年老粉，从她出道就一眼爱上！果然喜欢热巴的人审美都是共通的，入坑根本毫无难度～#声鸣远扬# ​,https://m.weibo.cn/detail/5229566459381461
乔晶晶与《你是我的荣耀》入坑记忆,comment,9551,粉丝点评/记忆表达明确,彗星儿今天撞地球了,这个夏天，有乔晶晶的陪伴真好。故事未完待续，期待演员@Dear-迪丽热巴 为我们带来的新篇章。,https://m.weibo.cn/detail/4673469763816437
爱丽丝与热巴的双向奔赴,post,9410,粉丝点评/记忆表达明确,菠萝吹火火,#迪丽热巴新经纪人郝阿三上岗了# 恭喜这个美巴巴 刷到粉丝齐喊“迪丽热巴，平安喜乐” 热巴听到后开窗饭撒的视频 有粉丝发现热巴开窗时已经泪眼婆娑了 原来面对粉丝汹涌的爱意 迪丽热巴也忍不住要流泪了 一直都是双向奔赴,https://m.weibo.cn/detail/5278510421642530
爱丽丝与热巴的双向奔赴,post,9138,粉丝点评/记忆表达明确,_Derra77,迪丽热巴超话 从英国飞回来，买的🎫管的太严没能进去里面近距离，有点遗憾。接下来希望能把我的公司做大做强，以后能以Vic的身份见8（爱8真的有让我变得越来越好越强）见到了同担们很开心，大家人均爱8七年以上，8粉真普遍长得特别美人特别好特别可爱特别有素质，很多人为爱发电准备了很多物料，走的时候爱丽丝们默默把垃圾带走。每次线下见8很开心，见到同担们一起聊天分享真的很开心今天Dior的组织真的很烂，只出现前场，后场和内场都没去，很多人排队扑空,https://m.weibo.cn/detail/5294155003069847
行走的油画/神女美貌出圈,post,8858,粉丝点评/记忆表达明确,桑榆暮北-,强大的临场反应和工作中的专业 美貌是热巴最不值得一提的优点 #迪丽热巴 ##迪丽热巴 神女下凡# 娱鑫鑫的微博视频,https://m.weibo.cn/detail/5218489008654277
乔晶晶与《你是我的荣耀》入坑记忆,comment,8608,粉丝点评/记忆表达明确,糖一勺盐一口_,这个暑假因为有你是我的荣耀 有乔晶晶而变得更加有趣且欢乐！姐姐 很喜欢你演的女明星乔晶晶 可爱、直率且善解人意！也很喜欢你原声演绎如此美好的乔晶晶哇！ 小奶音娇娇乔晶晶本晶 小表情更是傲娇且自信大明星本人 戏中戏那一段好精彩好精彩 也希望乔晶晶能够永远幸福快乐,https://m.weibo.cn/detail/4673469763816437
白日提灯贺思慕/女鬼鬼王记忆,post,8390,粉丝点评/记忆表达明确,老特拉福德的糖猫儿,经过这几天，我发现太多人想瓜分巴粉了，黑稿铺天盖地，明明《白日提灯》那么多人看，而且很多梗都火爆出圈，就是给你压热度和不给你几个正面宣传的热搜。究其原因，其实有个很重要的一点就是，国民顶流几乎从迪丽热巴这里断层了，很多人把迪丽热巴叫做最后一个民选女顶流，论国民度迪丽热巴几乎是断层的存在。巴粉又太死忠了，几乎很多铁血巴粉都粉了迪丽热巴七八年甚至十年不变，所以只能靠打压迪丽热巴的剧集热度，唱衰她，让一些慕强批离开，去粉资本推出来的人造流量。,https://m.weibo.cn/detail/5284077432473001
白日提灯贺思慕/女鬼鬼王记忆,post,8389,粉丝点评/记忆表达明确,银鹿森林,经过这几天，我发现太多人想瓜分巴粉了，黑稿铺天盖地，明明《白日提灯》那么多人看，而且很多梗都火爆出圈，就是给你压热度和不给你几个正面宣传的热搜。究其原因，其实有个很重要的一点就是，国民顶流几乎从迪丽热巴这里断层了，很多人把迪丽热巴叫做最后一个民选女顶流，论国民度迪丽热巴几乎是断层的存在。巴粉又太死忠了，几乎很多铁血巴粉都粉了迪丽热巴七八年甚至十年不变，所以只能靠打压迪丽热巴的剧集热度，唱衰她，让一些慕强批离开，去粉资本推出来的人造流量。,https://m.weibo.cn/detail/5284417305313829
爱丽丝与热巴的双向奔赴,post,8120,粉丝点评/记忆表达明确,哎一股清流,迪丽热巴昨日抵达机场后，收了粉丝送的签名应援大旗，还给粉丝送了板栗，谁看了不羡慕呀,https://m.weibo.cn/detail/5012893533733040
枭起青壤/聂九罗表演突破,post,8066,粉丝点评/记忆表达明确,皑伯伯,#迪丽热巴聂九罗# 权威！#迪丽热巴枭起青壤# （纯生图直出，只经过裁剪，本人不会修图，欢迎各位修图老师来帮忙，最喜欢p1！！！）,https://m.weibo.cn/detail/5236988179383077
演员成长与角色群像评价,comment,8019,粉丝点评/记忆表达明确,都莎包,一人双身，双面人生！@Dear-迪丽热巴 全新挑战奇幻设定，化身卫蓝开启“我与我”的博弈冒险。从惺惺相惜到反目对决，演技高光拉满，带你走进一场充满悬念与共鸣的女性成长之旅。期待早日和卫蓝见面！期待演员迪丽热巴的精彩演绎！#迪丽热巴卫蓝#,https://m.weibo.cn/detail/5289725082733212
嘻嘻迪/表情包/可爱梗,post,7902,粉丝点评/记忆表达明确,茶水间在逃懒羊羊,#邓超 魔童饿了# 邓超把饭撒说成撒饭，我真笑不活了，魔童饿了吗？哈哈哈哈魔童是真没招儿了！！ 表面上的邓超：梗王，保持18G网速冲浪！紧跟年轻人步伐！ 实际上的邓超：魔童饿了！撒饭撒饭！ 爱丽丝追迪丽热巴的时候顺便给邓超带带网速，顺手的事儿～下次带上我（bushi） #全网红人出没#,https://m.weibo.cn/detail/5202378431139196
嘻嘻迪/表情包/可爱梗,post,7831,粉丝点评/记忆表达明确,一只小胖几啊,#迪丽热巴连表情包都那么美#不是，这合理吗？怎么连表情包都这么美！迪丽热巴的脸还是太权威了。 ​,https://m.weibo.cn/detail/5201740090576582
嘻嘻迪/表情包/可爱梗,post,7727,粉丝点评/记忆表达明确,毛毛嘴真碎,邪恶沙糖桔 迪丽热巴白日提灯又来一个出圈梗 ​,https://m.weibo.cn/detail/5280357059396912
新疆舞与舞台表现名场面,post,7672,粉丝点评/记忆表达明确,新疆发布,#春晚看迪丽热巴看入迷了#【迪丽热巴春晚镜头纯享版[马上有福]】从2024春晚的“石榴花开”到2026春晚的“江豚精灵”，@Dear-迪丽热巴 美了一次又一次！戳视频↓↓一起看热巴春晚的舞蹈名场面#新疆的年味越来越浓##春晚# L新疆发布的微博视频 ​,https://m.weibo.cn/detail/5267315534859635
枭起青壤/聂九罗表演突破,post,7599,粉丝点评/记忆表达明确,好运陈瓜瓜,#迪丽热巴 看我枭枭乐# 迪丽热巴新剧聂九罗的砍怪场面看得我枭枭乐！疯刀一人战二枭，直接把爽感焊死，刀光随身影翻飞，劈开射灯的同时精准挑飞对手匕首，动作行云流水不带一丝拖泥带水，南宋石刻般的刚劲招式，打出了冷兵器对决的硬核质感，终于有不把观众当傻子的打戏了！,https://m.weibo.cn/detail/5237533836577582
嘻嘻迪/表情包/可爱梗,post,7591,粉丝点评/记忆表达明确,旎的慈父,刘冲评论区我真的要被巴粉的表情包笑晕了 都是梗王吧 怎么这么好笑啊 ​,https://m.weibo.cn/detail/5277954630223519
《我很好，能做任何事》韧性发言,post,7438,粉丝点评/记忆表达明确,心愿少女李追星,迪丽热巴：“我很好，我能做任何事” 看花儿与少年对迪丽热巴增加了好感,https://m.weibo.cn/detail/4969430352661177
乔晶晶与《你是我的荣耀》入坑记忆,post,7329,粉丝点评/记忆表达明确,Dear-顾芯梦,求热巴给我种蛊//@Dear迪丽热巴网宣组:迪丽热巴超话 #迪丽热巴乔晶晶# 把民族服饰穿出灵魂一举一动妩媚动人@Dear-迪丽热巴 #迪丽热巴李长歌#,https://m.weibo.cn/detail/4588330416607635
生日生贺与小小迪陪伴记忆,post,7304,粉丝点评/记忆表达明确,西洪柿首富111,迪丽热巴2026生贺｜Angel🪽每个背影我收藏每次跌倒我怜惜每滴眼泪我都看见每份苦涩我都懂得每鞠躬一次，我好像离你远了一些可你偏偏，总能注意到我挥舞的双手几近触碰到我狂跳的心脏隔着万千流言蜚语，捧住我无比热烈的爱意你为我开的车窗，是我们灵魂交汇的渡口你亲手接过的信，是我们频率共振的时刻跌跌撞撞，一圈又一圈兜兜转转，一年又一年我常常想你共情你的曾经我时常期待寄寓你的未来我会带着回忆继续陪你不停下脚步不停止热爱Cause you will,https://m.weibo.cn/detail/5294456722949583
白日提灯贺思慕/女鬼鬼王记忆,post,7299,粉丝点评/记忆表达明确,焗瓜王茶茶,老粉狂喜！热巴新角色太绝了✨ 《白日提灯》贺思慕直接惊艳我！400 岁归墟鬼王，清冷孤傲又藏着孤寂温柔，红衣白发造型美到犯规，手工华服 + 琉璃珠配饰，氛围感直接拉满！一人演三角毫无压力，怯懦孤女与霸气鬼王切换自如，眼神里全是戏，这才是古偶鬼王该有的样子！ 追剧神器华为视频必须安利，爱优腾芒四大平台内容全覆盖，一键追更超省心，坐等热巴演绎跨越四百年的宿命爱恋～#白日提灯# #华为视频# #迪丽热巴贺思慕#,https://m.weibo.cn/detail/5281188841264492
演员成长与角色群像评价,post,7296,粉丝点评/记忆表达明确,看昨日青空,迪丽热巴再也不是那个受了委屈一声不吭的小女孩儿了，老粉谁懂…… ​,https://m.weibo.cn/detail/5283027712481064
生日生贺与小小迪陪伴记忆,post,7286,粉丝点评/记忆表达明确,迪我不分家,迪丽热巴2026生贺｜Angel🪽每个背影我收藏每次跌倒我怜惜每滴眼泪我都看见每份苦涩我都懂得每鞠躬一次，我好像离你远了一些可你偏偏，总能注意到我挥舞的双手几近触碰到我狂跳的心脏隔着万千流言蜚语，捧住我无比热烈的爱意你为我开的车窗，是我们灵魂交汇的渡口你亲手接过的信，是我们频率共振的时刻跌跌撞撞，一圈又一圈兜兜转转，一年又一年我常常想你共情你的曾经我时常期待寄寓你的未来我会带着回忆继续陪你不停下脚步不停止热爱Cause you will,https://m.weibo.cn/detail/5294428413493425
任安乐/帝梓元角色记忆,comment,7261,粉丝点评/记忆表达明确,仙女味的迪崽崽,电视剧安乐传 看尽天下风华 仍是当年月下。一夜半白头，不过二十韶华。且看任安乐@Dear-迪丽热巴 如何一展芳华,https://m.weibo.cn/detail/4771132949135863
嘻嘻迪/表情包/可爱梗,post,7209,粉丝点评/记忆表达明确,烟儿Vivi,一段朋友拍的视频 小巴巴笑眼眯眯地塞零食，但是小巴粉们好像太激动了，有点没注意到哈哈哈 好可爱好温柔的巴巴酱呜呜呜🥺🥺 #迪丽热巴请粉丝吃巧克力# #迪丽热巴和烟烟甜美爱情故事# 烟儿Vivi的微博视频,https://m.weibo.cn/detail/5012711920894540
生日生贺与小小迪陪伴记忆,post,7182,粉丝点评/记忆表达明确,Dear迪丽热巴守护星,💎💎迪迪@Dear-迪丽热巴 生日倒计时3天🕤爱丽丝们快来和宣妹一起回顾一下迪迪往年的生日博吧。 #迪丽热巴0603生日快乐# dlrb#迪丽热巴生日发新歌#,https://m.weibo.cn/detail/5040217073388241
生日生贺与小小迪陪伴记忆,post,7139,粉丝点评/记忆表达明确,冬日士多啤梨,迪丽热巴2026生贺｜Angel🪽每个背影我收藏每次跌倒我怜惜每滴眼泪我都看见每份苦涩我都懂得每鞠躬一次，我好像离你远了一些可你偏偏，总能注意到我挥舞的双手几近触碰到我狂跳的心脏隔着万千流言蜚语，捧住我无比热烈的爱意你为我开的车窗，是我们灵魂交汇的渡口你亲手接过的信，是我们频率共振的时刻跌跌撞撞，一圈又一圈兜兜转转，一年又一年我常常想你共情你的曾经我时常期待寄寓你的未来我会带着回忆继续陪你不停下脚步不停止热爱Cause you will,https://m.weibo.cn/detail/5294187773952501
生日生贺与小小迪陪伴记忆,post,7139,粉丝点评/记忆表达明确,萌兔糯叽酱,迪丽热巴2026生贺｜Angel🪽每个背影我收藏每次跌倒我怜惜每滴眼泪我都看见每份苦涩我都懂得每鞠躬一次，我好像离你远了一些可你偏偏，总能注意到我挥舞的双手几近触碰到我狂跳的心脏隔着万千流言蜚语，捧住我无比热烈的爱意你为我开的车窗，是我们灵魂交汇的渡口你亲手接过的信，是我们频率共振的时刻跌跌撞撞，一圈又一圈兜兜转转，一年又一年我常常想你共情你的曾经我时常期待寄寓你的未来我会带着回忆继续陪你不停下脚步不停止热爱Cause you will,https://m.weibo.cn/detail/5294209018103619
生日生贺与小小迪陪伴记忆,post,7113,粉丝点评/记忆表达明确,·做我的月亮·,小热巴，就这样双向奔赴，一起“私奔向星河”🌟 #迪丽热巴后援会# ｜#迪丽热巴0603生日快乐# ·做我的月亮·的微博视频,https://m.weibo.cn/detail/5173214116315927
爱丽丝与热巴的双向奔赴,post,7110,粉丝点评/记忆表达明确,一只黏人的小猫咪_,#迪丽热巴请粉丝吃巧克力# 迪丽热巴收了巴粉签名的大旗 还分给粉丝巧克力吃 这波属于双向奔赴啦～,https://m.weibo.cn/detail/5012703497948714
枭起青壤/聂九罗表演突破,post,7102,粉丝点评/记忆表达明确,追星网瘾少年,#迪丽热巴 让我上去演好不# 今天出席枭起青壤剧宣活动，@Dear-迪丽热巴 和@陈星旭--CHEN先生 还原九罗炎拓经典台词，妈呀，我超爱这段的，两个毒舌王者。 好想上去演阿随便给陈星旭擦擦汗，给老师紧张的 #枭起青壤微博追剧团#,https://m.weibo.cn/detail/5236887809950826
