rank,image_id,attributed_likes,note_like_likes,comment_like_likes,evidence_count,representative_url,top_source_kind,top_source_note_type,top_source_likes,top_source_note_id,top_source_title,top_source_link,top_source_comment_id,top_source_comment_user,top_source_text
11,1040g4b831vbm4mks2ia05p6fnunjkv5fjikr470,365,0,365,1,http://sns-webpic-qc.xhscdn.com/202604302336/df7f82a142e432157ac2a9b97c4b99b9/comment/1040g4b831vbm4mks2ia05p6fnunjkv5fjikr470!nd_whlt34_webp_wm_1,comment_single_image,normal,365,69ecbf4a000000003701ed6f,这组美图我不允许有人没看到,https://www.xiaohongshu.com/explore/69ecbf4a000000003701ed6f?xsec_token=ABy4-OWrPGTpZ2QWVwT40R8vpbouoyDh9TgXf-y4uXKUs=&xsec_source=pc_search,69ecd2d700000000290360bb,荷花什么时候开,时间到底给她带来了什么[哭惹R]
12,1040g2h031q2pppfbng005nbv0rq08c4vnds0dmg,350,0,350,1,http://sns-webpic-qc.xhscdn.com/202604301513/91333bb0ad5f92823ecb54106efb840d/comment/1040g2h031q2pppfbng005nbv0rq08c4vnds0dmg!nd_whlt34_webp_wm_1,comment_single_image,normal,350,693e8b43000000000d03bd30,雪天氛围照就这么拍,https://www.xiaohongshu.com/explore/693e8b43000000000d03bd30?xsec_token=ABH-ZT2EvT7gZez6OYf_5cXUX8ozOf6Yn9Df-bxUT1OwA=&xsec_source=pc_search,693e93f40000000016025832,出逃一个礼拜,多多和这个摄影师玩 拍的太漂亮了
13,1040g3k831pr4rll84mdg5nkd4qn08roevm24rco,268,268,0,1,http://sns-webpic-qc.xhscdn.com/202604302322/4d632565a6bfe61b56e0faf7ff19147d/notes_pre_post/1040g3k831pr4rll84mdg5nkd4qn08roevm24rco!nd_dft_wgth_webp_3,note_single_image,normal,268,6936bd66000000001e02f4e7,,https://www.xiaohongshu.com/explore/6936bd66000000001e02f4e7?xsec_token=ABOyKkfJjn1iG0S_s3O8e-7rOpsMk_v7P93tkttFvbJeQ=&xsec_source=pc_search,,,孩子刚入坑，求老粉指路，补补课#笑颜一番黄婷婷[话题]# #黄婷婷[话题]#
14,1040g4b831ve3706niad05nlj0ql087j55furtho,264,0,264,1,http://sns-webpic-qc.xhscdn.com/202604301455/9c5cdc66a047bc90b98031aaa445c1e1/comment/1040g4b831ve3706niad05nlj0ql087j55furtho!nd_whgt34_webp_wm_1,comment_single_image,normal,264,69edf8c9000000003601b623,去感受每一个瞬间～,https://www.xiaohongshu.com/explore/69edf8c9000000003601b623?xsec_token=ABY_EXAoNVR7WGZmKFgLHqVq21VCQKJGJRNwREO1ZuSQ8=&xsec_source=pc_search,69edfbb000000000290106c1,momo,明晚8点欧诗漫直播间，大家都来支持呀
15,1040g3k831uou2k9kia7g4b8o6a7u0a1emad5568,260,260,0,1,http://sns-webpic-qc.xhscdn.com/202604302320/8aa4c45f302df45dc423fd6f8aebf22e/notes_pre_post/1040g3k831uou2k9kia7g4b8o6a7u0a1emad5568!nd_dft_wlteh_webp_3,note_single_image,normal,260,69d850bf000000001a02d3c1,,https://www.xiaohongshu.com/explore/69d850bf000000001a02d3c1?xsec_token=AB9EzNzsaJk-Oa879Z4p8JtwGMJB4yk540N3CPjDIPlvI=&xsec_source=pc_search,,,"#黄婷婷无限超越班[话题]## 黄婷婷从《沙尘暴》到《被隐匿的真相》，每一个角色都用心诠释，每一次演绎都全力以赴。愿演员黄婷婷@黄婷婷 在节目中绽放光芒，前程似锦，未来可期！
#成都聚氧文化[话题]# #中庭环屏[话题]# #环屏打卡[话题]#"
16,1040g4b831ujuvpk62od05nkl3ea0825q7sr07m8,227,0,227,1,http://sns-webpic-qc.xhscdn.com/202604302243/0421f82d8f4e0301f51ec1f4e5147e07/comment/1040g4b831ujuvpk62od05nkl3ea0825q7sr07m8!nd_whlt34_webp_wm_1,comment_single_image,normal,227,69d251dc000000001f003dd4,建设婷婷家族🤓,https://www.xiaohongshu.com/explore/69d251dc000000001f003dd4?xsec_token=ABfebywJ7FVobHwd4cJOl5B1cAcHBwsWFK8_Xc64R1BX8=&xsec_source=pc_search,69d339c2000000000d012f92,前前前前面的小龙人,婷婷亲弟黄奉贤[doge]
17,1040g2h0319k64gr3nc604a0jkrhmnm1gvp32j70,213,0,213,1,http://sns-webpic-qc.xhscdn.com/202604302339/d301298a3fb013cafffaad3dc0c76986/comment/1040g2h0319k64gr3nc604a0jkrhmnm1gvp32j70!nd_whgt34_webp_wm_1,comment_single_image,normal,213,672312c20000000019017937,令人心动的offer,https://www.xiaohongshu.com/explore/672312c20000000019017937?xsec_token=ABbkASDBYhJ58f_Mt6z_eztmRonU8CjZ2QMQOoxf5Wnak=&xsec_source=pc_search,6723541d000000001b021798,用户已注销,在这个吗
18,1040g4b831vcp8pi52abg5np8qfs09fcrce1mivg,209,0,209,1,http://sns-webpic-qc.xhscdn.com/202604302336/254dd2b368d054dadff3cda8f60a4f86/comment/1040g4b831vcp8pi52abg5np8qfs09fcrce1mivg!nd_whgt34_webp_wm_1,comment_single_image,normal,209,69ecbf4a000000003701ed6f,这组美图我不允许有人没看到,https://www.xiaohongshu.com/explore/69ecbf4a000000003701ed6f?xsec_token=ABy4-OWrPGTpZ2QWVwT40R8vpbouoyDh9TgXf-y4uXKUs=&xsec_source=pc_search,69ecc34b000000002a025389,aoiaue_,我们天坛女神也太神了[色色R]
19,1040g2h031saim0f8ls6g5pvg16ii2js90nhr4f0,190,0,190,1,http://sns-webpic-qc.xhscdn.com/202604302302/b13bbede5ebb7d92db09c2c3b253970f/comment/1040g2h031saim0f8ls6g5pvg16ii2js90nhr4f0!nd_whlt34_webp_wm_1,comment_single_image,normal,190,69871555000000000a02a12e,黄婷婷至今没有称帝,https://www.xiaohongshu.com/explore/69871555000000000a02a12e?xsec_token=ABsI8RTvQ7xjBhTboOg37xPCKDooL-cdR4XcElHmY1zmU=&xsec_source=pc_search,69881402000000000f02cb48,Altolia,婷鞠一直都很好磕啊
20,1040g3k831t8mp4ug56dg5opgfif8vbt65jup92o,182,182,0,1,http://sns-webpic-qc.xhscdn.com/202604302305/0528e68990f10db0a752ac3163f3053e/notes_pre_post/1040g3k831t8mp4ug56dg5opgfif8vbt65jup92o!nd_dft_wlteh_webp_3,note_single_image,normal,182,69a6ef2800000000220311a4,黄婷婷这种人不得不防,https://www.xiaohongshu.com/explore/69a6ef2800000000220311a4?xsec_token=ABaaaP3t3BHICZcJJV7Uxfx3yWxiMsHCDlgst6GESyxwM=&xsec_source=pc_search,,,"自从这个黄婷婷上周突袭直播开始，已对此人狠狠设防。
比如今天都这个点了还是觉得她会闪现以至于干什么都心不在焉啊啊啊[完啦R]
黄婷婷果然不是一个好懂的女人[叹气R]
#黄婷婷[话题]#"
21,1040g4b831uqrc99piqdg4a7nfsv28crtrdts928,159,0,159,1,http://sns-webpic-qc.xhscdn.com/202604301510/8039b77e142b4684a19be9b5f8a72e4f/comment/1040g4b831uqrc99piqdg4a7nfsv28crtrdts928!nd_whgt34_webp_wm_1,comment_single_image,video,159,69da3fcf00000000220013c3,TT's好物分享,https://www.xiaohongshu.com/explore/69da3fcf00000000220013c3?xsec_token=AB0HHaWMmTNJmRFVs-iy8DVMOca7QFtjnPFmZDt68wGPI=&xsec_source=pc_search,69da46c40000000014009f9d,犹不已,[扯脸H]咋这么可爱捏！！！
22,1040g2h031st8e6395k6044ssd187lkv30ad1avg,146,0,146,1,http://sns-webpic-qc.xhscdn.com/202604301455/652bb8e9b53ea28acf1ec6a6be719355/comment/1040g2h031st8e6395k6044ssd187lkv30ad1avg!nd_whlt34_webp_wm_1,comment_single_image,normal,146,699a6e1e000000001a021940,网友真是什么都能考古出来…,https://www.xiaohongshu.com/explore/699a6e1e000000001a021940?xsec_token=ABcU9jHa3jJuEEog1uAI7uw2VXcSfo1u4TabXEUgrcbmQ=&xsec_source=pc_search,699b34d2000000000f02e45a,k2316,她俩只要还在这个圈里，就不可能彻底避开对方（比如浪姐里的小婉也认识婷婷[doge]）
23,1040g2h031laspooiks005pbnvjp6dqsulv0a770,144,0,144,1,http://sns-webpic-qc.xhscdn.com/202604301504/299f2c55a13b22b72318ab8515b7c952/comment/1040g2h031laspooiks005pbnvjp6dqsulv0a770!nd_whgt34_webp_wm_1,comment_single_image,normal,144,68a2bdbc000000001d0199f5,我和夏天一样热烈🌞,https://www.xiaohongshu.com/explore/68a2bdbc000000001d0199f5?xsec_token=AB-Zvk-yCNKvL19Farzy7_czzJ_KdGfhhcDJ-nB3ys41s=&xsec_source=pc_search,68a306a30000000030007862,猫奴8号碎碎念,你和夏天一样阳光明媚！出道十二周年快乐🎉我和小狗一样只会追着你汪汪叫  祝姐姐天天开心呀～
24,1040g2h031uhvmoab2a005npiid3092nsq7vtmro,144,0,144,1,http://sns-webpic-qc.xhscdn.com/202604302332/cc1ddca8b59759e21ca1981f3a632414/comment/1040g2h031uhvmoab2a005npiid3092nsq7vtmro!nd_whgt34_webp_wm_1,comment_single_image,video,144,69d12ea2000000001d01ac44,不许笑我,https://www.xiaohongshu.com/explore/69d12ea2000000001d01ac44?xsec_token=ABsKdwxplzI3MgkvaLsOPD7GE6PT75Ak09ms8G3hBe9U4=&xsec_source=pc_search,69d132eb0000000014009c7e,y.,好像🤔
25,1040g2h031givtu2u38605ng7ae4g885rr0dkml0,142,0,142,1,http://sns-webpic-qc.xhscdn.com/202604301459/4abce8c4cceb075a301351f6fe09666c/comment/1040g2h031givtu2u38605ng7ae4g885rr0dkml0!nd_whlt34_webp_wm_1,comment_single_image,normal,142,680732c8000000000f038b07,黄婷婷,https://www.xiaohongshu.com/explore/680732c8000000000f038b07?xsec_token=ABg3GPFDiVK9lRP9waK0zJ-JvE5Mtv4SV_198MdTQO3-c=&xsec_source=pc_search,68077a64000000001f0039a0,潇由,另外婷婷的笑颜真的是一番。国美时期的失恋阵线联盟我也就看了无数遍。真的很好看[哭惹R]，早期甜妹真的很甜，现在也很姐1[萌萌哒R]
26,1040g4b831ui1bn7r2i8g5oj056fk0ishn7shef8,135,0,135,1,http://sns-webpic-qc.xhscdn.com/202604302254/cea107c7652ab369c3e0befcfbbfd044/comment/1040g4b831ui1bn7r2i8g5oj056fk0ishn7shef8!nd_whlt34_webp_wm_1,comment_single_image,normal,135,69d135be000000002301c4fb,无限四第1期最棒的两个人,https://www.xiaohongshu.com/explore/69d135be000000002301c4fb?xsec_token=ABsKdwxplzI3MgkvaLsOPD7D0HoWjNyJqIUT8DYmBjOh8=&xsec_source=pc_search,69d14739000000001803ad27,哈踢踢呀,黄婷婷全肯定[棒R]
27,1040g2h031oqj0cr0hq6g5p5egl42qp7ilfplnsg,123,0,123,1,http://sns-webpic-qc.xhscdn.com/202604301454/ce5b7edfdf6fd579c5b063c8b929c92f/comment/1040g2h031oqj0cr0hq6g5p5egl42qp7ilfplnsg!nd_whlt34_webp_wm_1,comment_single_image,normal,123,69146586000000000400597d,,https://www.xiaohongshu.com/explore/69146586000000000400597d?xsec_token=ABPtUueJzlNrMMCs9Mu-4mYZjWD0w8GKsVVcst1aKLx_4=&xsec_source=pc_search,6915668a000000003802f194,coisini,美啊，美的人神共愤啊
28,1040g4b831u6dgkcr1scg5p1l14oqafotvvv4ig8,123,0,123,1,http://sns-webpic-qc.xhscdn.com/202604302334/48a161e73d50324688fb609c9517107c/comment/1040g4b831u6dgkcr1scg5p1l14oqafotvvv4ig8!nd_whgt34_webp_wm_1,comment_single_image,video,123,69c50a04000000001a02a233,复仇摇,https://www.xiaohongshu.com/explore/69c50a04000000001a02a233?xsec_token=ABBskLpQ7hmjYizAdSBnKgcNkgLofibJz6mw0Phvnvktk=&xsec_source=pc_search,69c55a50000000000103d395,不近人,笑晕了哈哈哈哈哈哈哈哈
29,1040g2h031tq0pam2ne5g5okie3clavjri5u8f30,91,0,91,1,http://sns-webpic-qc.xhscdn.com/202604302254/2f1c987c47b52e27408d2d1c0892960c/comment/1040g2h031tq0pam2ne5g5okie3clavjri5u8f30!nd_whgt34_webp_wm_1,comment_single_image,normal,91,69b857be0000000023014ab4,很努力的踢踢呀,https://www.xiaohongshu.com/explore/69b857be0000000023014ab4?xsec_token=ABcsTf2PHXiKaTI_G92k_FeAk9uzkmpA0U6-AKhQXhHyk=&xsec_source=pc_search,69b8a850000000001803a478,momo,孩子在学校表现好，我们做父母的就放心了
30,1040g2h031l2mur0cj6005pjotto1og9j6rc1ks0,79,0,79,1,http://sns-webpic-qc.xhscdn.com/202604301457/702c6cd00ac0ecd1513a5a80a67a0cf1/comment/1040g2h031l2mur0cj6005pjotto1og9j6rc1ks0!nd_whgt34_webp_wm_1,comment_single_image,normal,79,68999edb000000002203b891,,https://www.xiaohongshu.com/explore/68999edb000000002203b891?xsec_token=ABgK8dxy_XUaUfr5a30WykCLqAU9TqgGVsgJ0XxozP07o=&xsec_source=pc_search,689aa5a1000000002a004848,自由行zZ,tts～
31,1040g2h031q2oqm087g605nmtgtb08i25gfifadg,77,0,77,1,http://sns-webpic-qc.xhscdn.com/202604301513/a8d30346a34087e4f8fcfa179d178926/comment/1040g2h031q2oqm087g605nmtgtb08i25gfifadg!nd_whgt34_webp_wm_1,comment_single_image,normal,77,693e8b43000000000d03bd30,雪天氛围照就这么拍,https://www.xiaohongshu.com/explore/693e8b43000000000d03bd30?xsec_token=ABH-ZT2EvT7gZez6OYf_5cXUX8ozOf6Yn9Df-bxUT1OwA=&xsec_source=pc_search,693e8bfd000000003800b056,郑郑郑某人,踢踢这是我给你p的圣诞帽[害羞R]，在网上也要注意保暖哦
32,1040g2h031j9dun0uj4604a6u75ts8vqiaev8or8,72,0,72,1,http://sns-webpic-qc.xhscdn.com/202604302249/0da8b27e01be0b9d7da436a688363ab5/comment/1040g2h031j9dun0uj4604a6u75ts8vqiaev8or8!nd_whgt34_webp_wm_1,comment_single_image,normal,72,685ffa2300000000170314f8,,https://www.xiaohongshu.com/explore/685ffa2300000000170314f8?xsec_token=ABC4qwdF6O2fdPO5L5DdGa4Yf60LaSwsWLdTAb9kg72_A=&xsec_source=pc_search,685ffda90000000020010ba7,牛奶🥛不加糖,真青春无敌的女大！！
33,1040g2h031q9gqk2inu005o2kgh10bnh3adcrf20,69,0,69,1,http://sns-webpic-qc.xhscdn.com/202604301507/27f55283ed15602e0ffabb9425fd624d/comment/1040g2h031q9gqk2inu005o2kgh10bnh3adcrf20!nd_whgt34_webp_wm_1,comment_single_image,normal,69,6945711f000000001e02f379,迷上黄婷婷了~,https://www.xiaohongshu.com/explore/6945711f000000001e02f379?xsec_token=ABVefp1SpD1l9pl1F8Ps2V24-6dcZ-6Q_zP6YFGBJ5AyE=&xsec_source=pc_search,69457572000000003802d229,致鸢尾花,最喜欢的一张 完全甜豆
34,1040g2h031174ng01me505nivoteg8f1leh2fem0,69,0,69,1,http://sns-webpic-qc.xhscdn.com/202604302343/b1ddf3716d48531a17f51bdbd3a81a06/comment/1040g2h031174ng01me505nivoteg8f1leh2fem0!nd_whgt34_webp_wm_1,comment_single_image,normal,69,660e5ac00000000004019f7d,20万人看过的胶片调色教程,https://www.xiaohongshu.com/explore/660e5ac00000000004019f7d?xsec_token=ABaPrzdwWzmvL3QgWrXbahzSa-dA_udSrVL3GqoFj2DTY=&xsec_source=pc_search,660fd2da000000001503bb63,拍大王约拍小助理,前几天拍了类似的！[仙女R][仙女R]
35,1040g2h031lqm7r3e5e005ne61690965buv09o6g,65,0,65,1,http://sns-webpic-qc.xhscdn.com/202604302252/30406e112b99bd18d72733ce7297096f/comment/1040g2h031lqm7r3e5e005ne61690965buv09o6g!nd_whgt34_webp_wm_1,comment_single_image,normal,65,68b31d48000000001c00be95,,https://www.xiaohongshu.com/explore/68b31d48000000001c00be95?xsec_token=ABWRJKHfTH9rlepyrO76ShbMeTnsrZCF5izAFXUuV2b4Q=&xsec_source=pc_search,68b33333000000000101361d,妹妹的钟,小四拍的这组特别有接姐姐下班的感觉[doge]
36,1040g2h031l5dqibfioe048u7q5b464eofia2opg,63,0,63,1,http://sns-webpic-qc.xhscdn.com/202604301457/bd05b50abd14c129fa62bfe93b2a1043/comment/1040g2h031l5dqibfioe048u7q5b464eofia2opg!nd_whlt34_webp_wm_1,comment_single_image,normal,63,68999edb000000002203b891,,https://www.xiaohongshu.com/explore/68999edb000000002203b891?xsec_token=ABgK8dxy_XUaUfr5a30WykCLqAU9TqgGVsgJ0XxozP07o=&xsec_source=pc_search,689d6d3d000000002700c2c3,今天吃什么？,comment
37,1040g2h031e0fc9odgs605p459te7ot6q6a6i5gg,57,0,57,1,http://sns-webpic-qc.xhscdn.com/202604302317/2fa6259d75bb1bc5f3c2593113645d75/comment/1040g2h031e0fc9odgs605p459te7ot6q6a6i5gg!nd_whgt34_webp_wm_1,comment_single_image,normal,57,67b1e5d6000000002901341f,谁在2025嗑帝后,https://www.xiaohongshu.com/explore/67b1e5d6000000002901341f?xsec_token=ABmrxlea-yFxzE7EHNLLa5K9Jd-nG6gYyBNKHNj5fYQ5M=&xsec_source=pc_search,67b2faff000000001601c476,无灵拼图,comment
38,1040g4b831uukfmhvia6g5psecfa3jpe285rcrm0,52,0,52,1,http://sns-webpic-qc.xhscdn.com/202604302345/8f97c8ab52a01cebf33c171dab6ebce4/comment/1040g4b831uukfmhvia6g5psecfa3jpe285rcrm0!nd_whgt34_webp_wm_1,comment_single_image,normal,52,69de0b4300000000230058d3,☀️,https://www.xiaohongshu.com/explore/69de0b4300000000230058d3?xsec_token=ABmCDCyxBCMEvGxPj9dOgibWmH4Q8zMbB-0Zze3PHskuI=&xsec_source=pc_search,69de26df0000000035025004,Daisy,173大美女好美丽！
39,1040g2h031uevi6mn2i6g5odbi1t41o4t9rr418g,51,0,51,1,http://sns-webpic-qc.xhscdn.com/202604302251/0fd7ede2ccc72cf76ebf68ce5fa3f61a/comment/1040g2h031uevi6mn2i6g5odbi1t41o4t9rr418g!nd_whgt34_webp_wm_1,comment_single_image,normal,51,69ccdb23000000002003944c,,https://www.xiaohongshu.com/explore/69ccdb23000000002003944c?xsec_token=ABuQrTrnyThRDNYI24_H1cJAKCThlNtwKOCTthBqKM-dw=&xsec_source=pc_search,69ce1f52000000001500a00c,眼见他起朱楼,她和公司解约后即使在打官司还在和公司battle依旧能靠自己的人脉上央视的节目，23年上半年解约后就一直在进组了。25年演了《深情眼》，电视剧爆了后凭借这波流量事业也是稳步上升中，最近去了《无限超越班4》，4月4日晚上20：20点在优酷首播。她本身很有能力，只是解约仓促，加上直接撞疫情了运气不好，现在也是好起来了。po一张图，你可以去看看她最近几部作品，演技都很nice
40,1040g4b831re62v6bga5g5q5f5rjmkiv809uj9vo,44,0,44,1,http://sns-webpic-qc.xhscdn.com/202604302333/ec667b730599e34990bc527384fceca3/comment/1040g4b831re62v6bga5g5q5f5rjmkiv809uj9vo!nd_whgt34_webp_wm_1,comment_single_image,normal,44,696afda2000000000e00cbf9,过完这个生日我就送你出县城,https://www.xiaohongshu.com/explore/696afda2000000000e00cbf9?xsec_token=ABQatQO07XI5qEMa6GVqwM3WkMlWALujC5JDVH8CVg23I=&xsec_source=pc_search,696b00cc000000000f02af07,用户已注销,夯爆了[赞R][赞R]
41,1040g2h031qq9hkujnu605pct21cogd60r6c906o,40,0,40,1,http://sns-webpic-qc.xhscdn.com/202604302300/ca82103a7f0166009b8a80bbc8e2db80/comment/1040g2h031qq9hkujnu605pct21cogd60r6c906o!nd_whgt34_webp_wm_1,comment_single_image,video,40,69561061000000001e011360,,https://www.xiaohongshu.com/explore/69561061000000001e011360?xsec_token=ABMaEzURt68SV4oqFTuJ4Zu4ec77sk5uIWnlWl4kLmt0I=&xsec_source=pc_search,6956a24100000000160235b9,驭风,大家看小鱼视频有没有像这样 字幕和“踢踢小鱼”重合的情况呀，🐟要不要考虑把显示区域往上移一点点[哇R]
42,1040g2h031pi55usrkm6g5o801kq0btctk8lepho,36,0,36,1,http://sns-webpic-qc.xhscdn.com/202604302249/eda3380ea57491817ec2fc2c19ba1343/comment/1040g2h031pi55usrkm6g5o801kq0btctk8lepho!nd_whgt34_webp_wm_1,comment_single_image,video,36,692d847e000000000d03d63e,,https://www.xiaohongshu.com/explore/692d847e000000000d03d63e?xsec_token=ABDcHPaPS3YXu-qx95rqJw-2Bic10FVXSmgonoFRyxeR8=&xsec_source=pc_search,692d88bb000000001602228f,希,这套妝造会有小卡吗（？
