collab_id,series_name,primary_brand,partner_names,partner_type,category,release_date,announcement_date,availability_region,brand_region,collection_size,price_min,price_max,currency,sales_channels,official_url,source_urls,primary_image_url,image_credit,confidence_level,notes,last_checked
Q12026-011,Aqua x Wuthering Heights Collection,Aqua,Wuthering Heights / Warner Bros. Discovery,film / entertainment IP,womenswear; sleepwear; jewelry,2026-01-15,2026-01-16,United States,United States,35,,,,Bloomingdale's 59th Street Carousel; Bloomingdale's stores; online,https://ww.fashionnetwork.com/news/Bloomingdale-s-launches-new-retail-experience-inspired-by-wuthering-heights-%2C1798311.html,https://ww.fashionnetwork.com/news/Bloomingdale-s-launches-new-retail-experience-inspired-by-wuthering-heights-%2C1798311.html,,Bloomingdale's / Aqua / Warner Bros. Discovery,high,Exclusive Aqua fashion edit anchored the Bloomingdale's x Warner Bros. Discovery retail activation.,2026-05-31
Q12026-012,Kith Loyalty Exclusive Collection with ASICS and New Era,Kith,ASICS; New Era,footwear brand; headwear brand,footwear; apparel; caps,2026-01-12,2026-01-11,Kith Loyalty members; online app,United States; Japan,,,,,Kith App made-to-order window,https://selectabisso.com/en/Kith-Loyalty-Exclusive-Collection%3A-An-exclusive-capsule-collection-with-Asics-and-New-Era/,https://selectabisso.com/en/Kith-Loyalty-Exclusive-Collection%3A-An-exclusive-capsule-collection-with-Asics-and-New-Era/,https://selectabisso.com/wp-content/uploads/2026/01/IMG_9980.jpeg,Kith / ASICS / New Era,medium,Made-to-order window ran 12-18 January 2026.,2026-05-31
Q12026-013,Solebox x BAPE STA Tokyo Lights,Solebox,A Bathing Ape (BAPE),streetwear brand,footwear; apparel,2026-01-23,2026-01-20,Paris exclusive,Germany; Japan,,,,,Solebox Paris,https://selectabisso.com/en/solebox-x-bape-sta-tokyo-lights-une-exclusivite-parisienne-entre-heritage-et-eclat-nocturne/,https://selectabisso.com/en/solebox-x-bape-sta-tokyo-lights-une-exclusivite-parisienne-entre-heritage-et-eclat-nocturne/,https://selectabisso.com/wp-content/uploads/2026/01/solebox-bape-bapesta-tokyo-lights-2.jpg,Solebox / BAPE,medium,Sneaker release supported by matching capsule apparel.,2026-05-31
Q12026-014,Anti Social Social Club x NFL Super Bowl Collection,Anti Social Social Club,National Football League (NFL),sports league,apparel; accessories; headwear,2026-01-28,2026-01-28,United States; online,United States,,,,,ASSC online; NFL/Super Bowl channels,https://www.sneakershouts.com/fashion/2026/1/28/now-available-anti-social-social-club-x-nfl-super-bowl-collection,https://www.sneakershouts.com/fashion/2026/1/28/now-available-anti-social-social-club-x-nfl-super-bowl-collection,http://static1.squarespace.com/static/532313ece4b08487acaec7a2/58659f84d1758e4aacc02021/697a37fe66448473a5195087/1769617496189/624223595_18554085826055864_4957461133251326599_n.jpg?format=1500w,Anti Social Social Club / NFL,medium,"Super Bowl capsule across graphic hoodies, tees, jackets and headwear.",2026-05-31
Q12026-015,Pandora x Bridgerton Collection,Pandora,Bridgerton / Netflix,entertainment IP,jewelry; accessories,2026-01-15,2026-01-15,global online,Denmark; United States/United Kingdom,,,,,Pandora.net,https://www.marieclaire.co.uk/fashion/fashion-industry-news,https://www.marieclaire.co.uk/fashion/fashion-industry-news,https://cdn.mos.cms.futurecdn.net/qnE3ZY75vPKbzMjMLBYT7-1200-80.png,Pandora / Bridgerton,medium,Marie Claire running industry-news page reports a 15 January shop date.,2026-05-31
Q12026-016,BAPE x adidas World Cup Pack,A Bathing Ape (BAPE),adidas,sportswear brand,footwear; apparel,2026-02-07,2026-02-01,global selected retail,Japan; Germany,,,,,adidas; BAPE; select retailers,https://sneakernews.com/2025/08/11/bape-adidas-world-cup-2026/,https://sneakernews.com/2025/08/11/bape-adidas-world-cup-2026/,,BAPE / adidas,medium,Footwear pack with football jersey apparel tied to World Cup 2026.,2026-05-31
Q12026-017,Just Don x BAPE Collection,A Bathing Ape (BAPE),Just Don / Don C,designer / streetwear label,footwear; apparel; headwear,2026-02-14,2026-02-09,United States,Japan; United States,,,,,BAPE Chicago; BAPE Los Angeles; us.bape.com,https://sneakernews.com/2026/02/05/just-don-bape-sta-2026/,https://sneakernews.com/2026/02/05/just-don-bape-sta-2026/,,BAPE / Just Don,medium,"Collection includes BAPE STA styles, hoodies, track suits and hats.",2026-05-31
Q12026-018,Fast & Furious x PUMA Basketball Collection,PUMA,Fast & Furious / Universal Pictures,film IP,footwear; apparel,2026-02-12,2026-02-02,United States; selected retail,Germany; United States,,,,,PUMA.com; PUMA flagship stores; Foot Locker; Shoe Palace; select retailers,https://www.licensingmagazine.com/2026/02/02/puma-basketball-launches-fast-furious-sneakers/,https://www.licensingmagazine.com/2026/02/02/puma-basketball-launches-fast-furious-sneakers/,https://www.licensingmagazine.com/wp-content/uploads/2026/02/PUMA-Basketball-x-Fast-and-Furious.png,PUMA / Universal Pictures,high,Basketball capsule tied to the franchise's 25th anniversary and NBA All-Star Weekend.,2026-05-31
Q12026-019,adidas x Entire Studios SS26,adidas,Entire Studios,fashion brand,sportswear; training apparel; lifestyle apparel,2026-02-05,2026-01-29,worldwide,Germany; United States/New Zealand,26,,,,adidas stores; online; selected retailers,https://news.adidas.com/partnerships/adidas-and-entire-studios-introduce-a-new-expression-of-modern-sport-style--built-for-movement/s/167c4b9b-c8b5-4f0d-a373-65bcfd0b495d,https://news.adidas.com/partnerships/adidas-and-entire-studios-introduce-a-new-expression-of-modern-sport-style--built-for-movement/s/167c4b9b-c8b5-4f0d-a373-65bcfd0b495d,,adidas / Entire Studios,high,"First collaboration, built around adidas Sportswear and Training lines.",2026-05-31
Q12026-020,sacai x Carhartt WIP Spring/Summer 2026,sacai,Carhartt WIP,workwear / streetwear brand,apparel; outerwear,2026-02-06,2026-02-06,global selected retail,Japan; United States/Europe,9,,,,sacai stores; Carhartt WIP online; select global retailers,https://www.carhartt-wip.com/en-gb/e/sacai-x-carhartt-wip-spring-summer-2026,https://www.carhartt-wip.com/en-gb/e/sacai-x-carhartt-wip-spring-summer-2026,https://cdn.sanity.io/images/hue6jiar/shared-assets_production/8e6ada9528a5db548da6f401a9f0315df1446e11-1360x1020.jpg?rect=0%2C0%2C1360%2C880&w=1200&h=630&fit=crop,sacai / Carhartt WIP,high,"Nine-piece men and unisex collection in black, blue and ivory.",2026-05-31
Q12026-021,UNIQLO : C Spring/Summer 2026,UNIQLO,Clare Waight Keller,designer,apparel; accessories,2026-02-06,2026-02-06,global online; stores,Japan; United Kingdom,,,,,UNIQLO stores; UNIQLO online,https://www.insidehook.com/style/uniqlo-c-spring-summer-2026-collection,https://www.insidehook.com/style/uniqlo-c-spring-summer-2026-collection,"https://www.insidehook.com/wp-content/uploads/2026/02/UniqloC-Hero.jpg?resize=1200,800",UNIQLO,medium,Ongoing designer line by Clare Waight Keller; included as designer collaboration rather than one-off capsule.,2026-05-31
Q12026-022,UNIQLO and JW ANDERSON Spring/Summer 2026,UNIQLO,JW ANDERSON,designer brand,apparel; accessories,2026-02-27,2026-02-16,global stores; online,Japan; United Kingdom,,,,,UNIQLO stores; UNIQLO online,https://alvinology.com/2026/02/16/uniqlo-and-jw-anderson-unveil-2026-spring-summer-collection-with-modern-preppy-twist/,https://alvinology.com/2026/02/16/uniqlo-and-jw-anderson-unveil-2026-spring-summer-collection-with-modern-preppy-twist/,,UNIQLO / JW ANDERSON,medium,Spring/Summer collaboration with modern preppy and British water-sport references.,2026-05-31
Q12026-023,adidas x Audi Revolut F1 Team Collection,adidas,Audi Revolut F1 Team,motorsport team,teamwear; fanwear; footwear; accessories,2026-02-19,2026-02-18,global,Germany; Switzerland,160+,,,,adidas; Audi F1 Team channels; stores,https://www.audi-mediacenter.com/en/press-releases/global-launch-of-adidas-x-audi-revolut-f1-team-collection-17014/download,https://www.audi-mediacenter.com/en/press-releases/global-launch-of-adidas-x-audi-revolut-f1-team-collection-17014/download,,adidas / Audi Revolut F1 Team,high,Official teamwear and fanwear collection available from 19 February.,2026-05-31
Q12026-024,J.Crew Rollneck Remix,J.Crew,Buci NYC; Collina Strada; Eckhaus Latta; Patrick Taylor; Tanner Fletcher,designer brands,knitwear,2026-02-12,2026-02-10,United States; online,United States,5,180,180,USD,J.Crew.com; 75 Spring Street pop-up; select stores,https://www.insidehook.com/style/j-crew-rollneck-remix-2026,https://www.insidehook.com/style/j-crew-rollneck-remix-2026 | https://www.townandcountrymag.com/g70247115/jcrew-rollneck-sweater-capsule-collection-2026/,"https://www.insidehook.com/wp-content/uploads/2026/02/J.Crew-Rollneck-Remix-Hero.png?resize=1200,800",J.Crew,high,Five-piece limited-edition sweater capsule for New York Fashion Week.,2026-05-31
Q12026-025,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo,noir kei ninomiya,designer brand,footwear; bags; harnesses,2026-02-13,2026-02-13,global selected boutiques and retailers,United Kingdom; Japan,8,1175,1950,USD,Jimmy Choo boutiques; Dover Street Market; select retailers; online,https://www.anothermag.com/fashion-beauty/16964/jimmy-choo-noir-kei-ninomiya,https://www.anothermag.com/fashion-beauty/16964/jimmy-choo-noir-kei-ninomiya | https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://images-prod.anothermag.com/676/0-348-676-450/azure/another-prod/460/9/469449.JPG,Jimmy Choo / noir kei ninomiya,high,"Four shoes, three harnesses and one bag; originally shown on noir kei ninomiya SS26 runway.",2026-05-31
Q12026-026,Harlem's Fashion Row x Gap,Gap,Harlem's Fashion Row,designer collective / fashion platform,apparel; denim; accessories,2026-02-17,2026-02-17,United States; online,United States,20,118,148,USD,Gap.com; select Gap stores,https://www.sneakershouts.com/fashion/2026/2/17/now-available-harlem-fashion-row-x-gap-collection,https://www.sneakershouts.com/fashion/2026/2/17/now-available-harlem-fashion-row-x-gap-collection | https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,http://static1.squarespace.com/static/532313ece4b08487acaec7a2/58659f84d1758e4aacc02021/6995389adbe118200801dc4f/1771387106461/cn61831776.png?format=1500w,Gap / Harlem's Fashion Row,medium,20-piece denim-led capsule with five designers of color through HFR.,2026-05-31
Q12026-027,Paul Smith Loves Barbour Spring/Summer 2026,Barbour,Paul Smith,designer brand,apparel; outerwear; footwear; accessories,2026-02-25,2026-02-24,global selected retail,United Kingdom,46,270,630,USD,PaulSmith.com; Barbour.com; selected retailers,https://www.apparelgroup.com/en/news/apparel-group-introduces-paul-smith-loves-barbour-spring-summer-2026-collection/,https://www.apparelgroup.com/en/news/apparel-group-introduces-paul-smith-loves-barbour-spring-summer-2026-collection/ | https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://www.apparelgroup.com/en/wp-content/uploads/2023/01/ag-stack-logo.jpeg,Barbour / Paul Smith,high,Second collaboration; source confirms launch starting 25 February.,2026-05-31
Q12026-028,Frame x Amelia Gray Collaboration Restock and Expansion,Frame,Amelia Gray,model / talent,denim; apparel,2026-02-25,2026-02-25,online; stores,United States,,198,228,USD,Frame-store.com; Frame stores,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,"https://hips.hearstapps.com/hmg-prod/images/ff802966-5df2-4379-8c77-1df9adf13f84.jpeg?crop=1xw:0.38xh;0xw,0.274xh&resize=1200:*",Frame / ELLE,medium,Restock plus new colorways and petite version of 2025 collaboration.,2026-05-31
Q12026-029,Ray-Ban by A$AP Rocky Metal Eyewear Collection,Ray-Ban,A$AP Rocky,creative director / artist,eyewear; accessories,2026-02-25,2026-02-25,online,Italy/United States,3,249,254,USD,Ray-Ban.com,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,"https://hips.hearstapps.com/hmg-prod/images/ff802966-5df2-4379-8c77-1df9adf13f84.jpeg?crop=1xw:0.38xh;0xw,0.274xh&resize=1200:*",Ray-Ban / ELLE,medium,"A$AP Rocky creative director drop, observed available by ELLE publication date.",2026-05-31
Q12026-030,La Ligne x Steve McQueen Estate Capsule,La Ligne,Steve McQueen Estate,estate / cultural IP,knitwear; apparel,2026-02-25,2026-02-25,United States; online,United States,6,250,550,USD,LaLigneNYC.com; New York City stores,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,"https://hips.hearstapps.com/hmg-prod/images/ff802966-5df2-4379-8c77-1df9adf13f84.jpeg?crop=1xw:0.38xh;0xw,0.274xh&resize=1200:*",La Ligne / Steve McQueen Estate,medium,Six-piece unisex knit capsule; portion benefits The Steve McQueen Foundation.,2026-05-31
Q12026-031,On x Sky High Farm Goods SS26,On,Sky High Farm Goods,mission-led fashion label,footwear; apparel; accessories,2026-02-08,2026-02-01,global selected retail,Switzerland; United States,,,,,On channels; selected retailers,https://www.t3.com/active/running/on-and-sky-high-farm-goods-are-back-with-a-wildflower-inspired-trainer-drop-for-ss26,https://www.t3.com/active/running/on-and-sky-high-farm-goods-are-back-with-a-wildflower-inspired-trainer-drop-for-ss26 | https://www.wonderlandmagazine.com/2026/02/06/meet-the-fashion-east-aw26-lineup/,https://cdn.mos.cms.futurecdn.net/AFiU7pkz8otbtgWS9tT8oK-2560-80.jpg,On / Sky High Farm Goods,medium,Source says collection lands the week after 1 February; release date estimated as first-week February availability.,2026-05-31
Q12026-032,Moschino x Snoop Dogg Winter Capsule,Moschino,Snoop Dogg,musician,apparel,2026-02-06,2026-02-06,Italy; event-linked limited release,Italy; United States,2,,,,Moschino channels; Milan event context,https://www.designscene.net/2026/02/moschino-x-snoop-dogg-collaboration.html,https://www.designscene.net/2026/02/moschino-x-snoop-dogg-collaboration.html,https://www.designscene.net/wp-content/uploads/2026/02/Moschino-x-Snoop-Dogg-f.webp,Moschino,medium,"Two-item capsule, T-shirt and sweatshirt, tied to artist visit to Milan.",2026-05-31
Q12026-033,AMERICANA for SALON 26SS,SALON adam et rope,AMERICANA,apparel brand,apparel,2026-02-27,2026-02-20,Japan,Japan,6,,,JPY,select SALON adam et rope stores; J'aDoRe JUN ONLINE,https://www.haveagood-holiday.com/en/articles/americana-salon-adam-et-rope-26ss-capsule-collection,https://www.haveagood-holiday.com/en/articles/americana-salon-adam-et-rope-26ss-capsule-collection,https://assets.hldycdn.com/505d1a7c-72c9-4260-a30c-8122ec5752f4.jpeg,SALON adam et rope / AMERICANA,medium,Six-item Japanese capsule for 26SS.,2026-05-31
Q12026-034,NEWYORKER WOMEN x Artisan & Artist Spring 2026,NEWYORKER WOMEN,Artisan & Artist,accessories/craft brand,pouches; accessories,2026-02-19,2026-02-19,Japan,Japan,3,,,JPY,NEWYORKER online store; NEWYORKER stores,https://www.haveagood-holiday.com/en/articles/newyorker-artisan-artist-2026-spring-collaboration-pouches,https://www.haveagood-holiday.com/en/articles/newyorker-artisan-artist-2026-spring-collaboration-pouches,https://assets.hldycdn.com/c9903c98-565a-4c8c-888b-2b9b1598c79f.jpeg,NEWYORKER WOMEN / Artisan & Artist,medium,Three premium pouch designs; accessories-only but within fashion accessories scope.,2026-05-31
Q12026-035,Cupshe x Jessie James Decker Casa del Sol,Cupshe,Jessie James Decker; Eric Decker,celebrity / athlete,swimwear; apparel; vacationwear,2026-02-26,2026-02-26,online,United States,28+,32,49,USD,Cupshe.com,https://www.streetinsider.com/Press%2BReleases/Cupshe%2BLaunches%2BCasa%2Bdel%2BSol%2C%2Ba%2BTwo-Part%2BCollection%2BCo-Designed%2Bwith%2BJessie%2BJames%2BDecker%2Band%2BEric%2BDecker/26067493.html,https://www.streetinsider.com/Press%2BReleases/Cupshe%2BLaunches%2BCasa%2Bdel%2BSol%2C%2Ba%2BTwo-Part%2BCollection%2BCo-Designed%2Bwith%2BJessie%2BJames%2BDecker%2Band%2BEric%2BDecker/26067493.html,,Cupshe,high,Drop 1 launched 26 February; second menswear drop followed 5 March.,2026-05-31
Q12026-036,Marchesa Mini x Gymboree,Gymboree,Marchesa Mini,designer childrenswear line,childrenswear; occasionwear,2026-02-19,2026-02-19,United States; online,United States,,,,USD,Gymboree; The Children's Place channels,https://www.stocktitan.net/news/PLCE/gymboree-and-marchesa-introduce-marchesa-mini-x-gymboree-a-9j4kcpqbwo0o.html,https://www.stocktitan.net/news/PLCE/gymboree-and-marchesa-introduce-marchesa-mini-x-gymboree-a-9j4kcpqbwo0o.html,https://static.stocktitan.net/company-logo/plce-lg.png?v=c7bc8ddbd5,Gymboree / Marchesa Mini,high,Girls' special-occasion apparel collaboration.,2026-05-31
Q12026-037,JOURNAL STANDARD x Technics SL-1200 Capsule,JOURNAL STANDARD,Technics,audio brand,apparel,2026-03-01,2026-02-27,Japan,Japan,,,,JPY,JOURNAL STANDARD channels; select retail,https://selectabisso.com/en/Technics-x-Journal-Standard%3A-a-fashion-capsule-collection-paying-homage-to-the-legendary-SL-1200/,https://selectabisso.com/en/Technics-x-Journal-Standard%3A-a-fashion-capsule-collection-paying-homage-to-the-legendary-SL-1200/,,JOURNAL STANDARD / Technics,medium,Early March release; release date set to first day of March because source does not specify exact day.,2026-05-31
Q12026-038,Aimé Leon Dore x New Balance SS26 Activewear Capsule,Aimé Leon Dore,New Balance,sportswear brand,footwear; apparel,2026-02-19,2026-02-19,online,United States,,,,USD,Aimé Leon Dore webstore,https://modernnotoriety.com/aime-leon-dore-spring-summer-2026-collection-release-date/,https://modernnotoriety.com/aime-leon-dore-spring-summer-2026-collection-release-date/ | https://www.finallyoffline.com/article/aime-leon-dore-ss26-drops-with-new-balance,https://modernnotoriety.com/wp-content/uploads/2026/02/aime-leon-dore-ss-26-release-date.jpg,Aimé Leon Dore / New Balance,medium,Seasonal collection includes New Balance activewear capsule.,2026-05-31
Q12026-039,RAEN SS26 Ambassador Collaborations,RAEN,Coco Ho; Mikey February,athletes / ambassadors,eyewear; accessories,2026-02-26,2026-02-26,global online; selected retail,United States,2+,,,USD,RAEN.com; curated retailers,https://shop-eat-surf-outdoor.com/press-releases/raen-introduces-its-spring-summer-2026-collection/616930/,https://shop-eat-surf-outdoor.com/press-releases/raen-introduces-its-spring-summer-2026-collection/616930/,,RAEN,medium,SS26 includes ambassador-designed frames The Iwa and The Zamani.,2026-05-31
Q12026-040,Converse x Oshi no Ko Collection,Converse,Oshi no Ko / ABC-Mart,anime IP; retailer,footwear,2026-02-13,2026-02-06,Japan,United States/Japan,4,,,JPY,ABC-Mart stores in Japan,https://respawn.outlookindia.com/pop-culture/pop-culture-news/converse-collabs-with-oshi-no-ko-for-an-anime-inspired-collection,https://respawn.outlookindia.com/pop-culture/pop-culture-news/converse-collabs-with-oshi-no-ko-for-an-anime-inspired-collection,https://media.assettype.com/outlook-respawn/2026-02-10/h1dats10/74055-730-55f32d26b2.imresizer.jpg,Converse / Oshi no Ko,medium,Japan-only sneaker collection through ABC-Mart.,2026-05-31
Q12026-041,The Whitaker Group x adidas Capsule,The Whitaker Group,adidas,sportswear brand,footwear; apparel,2026-02-20,2026-02-19,United States; online,United States; Germany,,,,USD,Social Status; A Ma Maniére; APB Store; Jaide channels,https://sneakernews.com/2026/02/19/the-whitaker-group-adidas-2026/,https://sneakernews.com/2026/02/19/the-whitaker-group-adidas-2026/,,The Whitaker Group / adidas,medium,Multi-retailer capsule across footwear and apparel.,2026-05-31
Q12026-042,Cactus Plant Flea Market x Nike ACG Spring 2026,Cactus Plant Flea Market,Nike ACG,outdoor sportswear line,apparel; accessories,2026-02-27,2026-02-26,online; wider Nike release,United States,,,,USD,CPFM website; Nike channels,https://sneakernews.com/2026/02/26/cactus-plant-flea-market-nike-acg/,https://sneakernews.com/2026/02/26/cactus-plant-flea-market-nike-acg/,,CPFM / Nike ACG,medium,CPFM release 27 February; wider Nike release expected 3 March.,2026-05-31
