up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
花少北,综合知识/泛科普,6514,2,1,1,1,0,1,花少北：阴阳怪气我就不解释了吧，他们进不了才是大新闻。 回形针paperclip：两面针是这份名单第一个震惊到我的人。虽说后面也跟新华社合作了，认错态度也挺好，但这样就能抹去他年初的骚操作吗？我猜B站是怕他凉的不快，故意搞这一出。回形针事件详见 https:// zhuanlan.zhihu.com/p/11 5842490,https://www.zhihu.com/question/438840235/answer/1672129735
丁香医生,生物/医学健康,6492,2,2,0,1,0,1,2. 丁香医生,https://www.zhihu.com/question/286163357/answer/1125195550
全能学习类,语言/英语,6448,2,2,0,1,0,1,一、全能学习类up主 二、语言学习类up主 三、摄影视频类up主 四、手工学习类up主 五、计算机技能类up主,https://www.zhihu.com/question/292372507/answer/874294702
美妆学习类,语言/英语,6448,2,2,0,1,0,1,六、美妆学习类up主 七、读书学习类up主 （收藏的同学记得先大方点个赞！） 专门做了思维导图方便搜索，黛西是不是很贴心！ 一、 全能学习类up主,https://www.zhihu.com/question/292372507/answer/874294702
读书学习类,语言/英语,6448,2,2,0,0,0,2,七、读书学习类up主 （收藏的同学记得先大方点个赞！） 专门做了思维导图方便搜索，黛西是不是很贴心！ 一、 全能学习类up主 以下可以说是“无所不能”型up主了，从一个up主身上你就能学到不同的东西，下面一定有你不知道的up主，千万不要跳读。,https://www.zhihu.com/question/292372507/answer/874294702
bilibili纪录片,综合知识/泛科普,6420,1,1,0,1,0,0,12、bilibili纪录片 一个分享优质纪录片的UP主。 如果你喜欢看纪录片的话，可以关注一下这个up主。什么类型的纪录片都有： 13、央视纪录 一个很硬核的纪录片推荐up主。,https://www.zhihu.com/question/57848134/answer/831171915
我的其他回答分享,综合知识/泛科普,6420,1,1,0,0,0,1,我的其他回答分享：,https://www.zhihu.com/question/57848134/answer/831171915
滇西小哥,综合知识/泛科普,6420,1,1,0,0,0,1,3、滇西小哥 也是一个美食UP。 和李子柒风格相似，都是一样的田园风格。但是会让你觉得自己也可以做出来，哈哈哈（不知道哪里来的勇气） 如果你想了解云南的风土人情，看看云南美食，可以去搜一下UP主。,https://www.zhihu.com/question/57848134/answer/831171915
韶灵素心,综合知识/泛科普,6420,1,1,0,1,0,0,2.韶灵素心 每一个视频都美到心碎的UP主。 发布的视频基本都是围绕中国传统文化：古代名剑、古代地名与现代地名、农历月份别称…… 最火的就是之前一直挂在B站热榜上的《中国传统颜色一览》，我在【 哔哩哔哩上有哪些值得反复观看的视频？ 】的回答里有提到过！,https://www.zhihu.com/question/57848134/answer/831171915
DevWeekly,生物/医学健康,6409,1,1,0,1,0,0,DevWeekly ：这是我个人的B站主页，会分享一些效率工具、开源项目、知识技巧，需要的同学可以看一下： 1. 英语 英语兔 ：英语基础音标方面讲的非常好，对于英语发音帮助很大。 同传Carrie ：分享非常多实用的英语学习方法。,https://www.zhihu.com/question/291506148/answer/2810334107
孤独的美食基,综合知识/泛科普,6353,2,1,1,0,1,1,孤独的美食基：说真的，今年因为他疫情恰饭那波操作，我直接取关了他。后面也没怎么看他，能再进百大我也是没想到的，这个位置给个争议小点的不好吗？ hanser：小天使值得这个百大！我最喜欢的音乐区up主。不过她之前签了斗鱼，我还以为B站不会给她百大了，看来我是多虑了。 韩小四April：唯一一个我不认识的...希望大家有了解的帮我科普下。,https://www.zhihu.com/question/438840235/answer/1672129735
影视飓风,综合知识/泛科普,6332,2,1,1,2,0,0,影视飓风：看他的视频，是视觉上的享受。百大实至名归 硬核的半佛仙人：说实话，半佛现在视频质量越来越不好了，恰饭多，而且有时候视频说了一通都不知所云，我觉得以后他可能会出事。单看这一年，半佛实至名归。 与山：去年与山涨了那么多粉丝，风格也稳定了下来。综合来看，百大实至名归。但明年可能就不一定了。,https://www.zhihu.com/question/438840235/answer/1672129735
绵羊料理,综合知识/泛科普,6332,2,1,1,0,1,1,绵羊料理：只要你吹大姨，我们就是异父异母的兄弟姐妹！大姨的视频质量可以说是美食区up主里数一数二得了，而且人也没架子，经常回复粉丝的评论和私信。百大当之无愧！ 某幻君：阴阳怪气不解释。 木鱼水心：影视区一哥，自然要给百大。今年的木鱼改变了风格，微剧场几乎不更了，取而代之的是更容易吸粉的新系列《一千零一部》，希望木鱼越办越好。 纳豆奶奶：第三个震惊到我的。B站你是等着被冲烂吗？纳豆奶奶这样一个虚伪小人，她的评论区都被爆了，你还给了她百大…,https://www.zhihu.com/question/438840235/answer/1672129735
4更新,综合知识/泛科普,6332,1,1,0,0,0,1,2.4更新 各大奖项出来了，最后更新一下吧。 1、最高人气奖：罗翔说刑法 罗老师实至名归，不到一年粉丝破一千万，前无古人后难有来者。毫无疑问，2020的B站是属于罗老师和知识区的B站。如果要有争议的话，就是罗老师的视频数据一般，比不上老番茄。但罗老师的二创和鬼畜可是占了B站的半壁江山，最高人气当之无愧。,https://www.zhihu.com/question/438840235/answer/1672129735
hanser,综合知识/泛科普,6332,1,1,0,1,0,0,hanser：小天使值得这个百大！我最喜欢的音乐区up主。不过她之前签了斗鱼，我还以为B站不会给她百大了，看来我是多虑了。 韩小四April：唯一一个我不认识的...希望大家有了解的帮我科普下。 盒子酸奶：酸奶也是今年横空出世的宝藏up主，能把恐怖游戏玩的如此喜感。百大实至名归。 鹤吱菌：同样也是今年崛起的黑马up，疫情期间靠着网课系列横扫B站。下半年虽然没有上半年惊艳，但他百大没有疑问。,https://www.zhihu.com/question/438840235/answer/1672129735
ic实验室,综合知识/泛科普,6332,1,1,0,1,0,0,ic实验室：本来以为他今年能进百大的，可惜知识区厉害的人太多，ic拿个新人奖也不错。 不是的的是nono（原谅我手机打不出日语）：邢将军实至名归，一个能把王者视频玩出花的up主，声音还好听，还会整活。就是游戏技术不咋地。 耿清清啊：不认识，咱不评价。 进击的金厂长：厂长没拿百大有点可惜，虽然视频质量不如阿幕降临，但这么能肝，没拿到百大不该。不过新人奖实至名归。（厂长竟然是女的！）,https://www.zhihu.com/question/438840235/answer/1672129735
kbshinya,综合知识/泛科普,6332,1,1,0,1,0,0,kbshinya：同三无，音乐区衰落了。 stn工作室：同其他几位游戏区up主，流量不够，话题不够。 潮汕好男人：潮男落选真不应该，明明那么勤奋，视频质量还不低。就因为今年没做出个镇站之宝来就丢了百大吗？太可惜了。 Kevin英语情报局：跟他的好基友杰里德一个情况 ，个人感觉他视频质量还比杰里德高点。,https://www.zhihu.com/question/438840235/answer/1672129735
kei和marin,综合知识/泛科普,6332,1,1,0,1,0,0,kei和marin：他们与很多位生活区up主一样，没有入选不是你不好，而是你给B站吸的流量不够。 ilem：教主今年一共更了那么点视频，再进不太好了。但他没进百大，也就代表着B站放弃了自己起家的音乐文化，有点唏嘘。 oeloop：小道消息称oe拒绝了百大，所以没有入选。 黑椒墨鱼：同逗川。,https://www.zhihu.com/question/438840235/answer/1672129735
lexburner,综合知识/泛科普,6332,1,1,0,1,0,0,lexburner：阴阳怪气就不解释了。 蜡笔和小勋：感谢蜡笔小勋，让我从一个落榜生成功考进大学。他们的视频提供了很多有效的学习方法，能帮到大家很多。百大实至名归 老番茄：一哥不解释。 老师好我叫何同学：平时不更新，一更新就称霸热门的强势up主，百大毫无悬念。,https://www.zhihu.com/question/438840235/answer/1672129735
oeloop,综合知识/泛科普,6332,1,1,0,1,0,0,oeloop：小道消息称oe拒绝了百大，所以没有入选。 黑椒墨鱼：同逗川。 波桑吃遍世界：又是一个视频风格走到头的up主。转型也很不成功，上了好几次掉粉榜，落选正常。 尕天堂：动画区人才越来越少了，天堂又没什么流量。不过今年瓶子能替代他进百大也还可以。,https://www.zhihu.com/question/438840235/answer/1672129735
stn工作室,综合知识/泛科普,6332,1,1,0,1,0,0,stn工作室：同其他几位游戏区up主，流量不够，话题不够。 潮汕好男人：潮男落选真不应该，明明那么勤奋，视频质量还不低。就因为今年没做出个镇站之宝来就丢了百大吗？太可惜了。 Kevin英语情报局：跟他的好基友杰里德一个情况 ，个人感觉他视频质量还比杰里德高点。,https://www.zhihu.com/question/438840235/answer/1672129735
zettaranc,综合知识/泛科普,6332,1,1,0,1,0,0,zettaranc：z哥作为球鞋区粉丝最多的up主，百大没问题。 哲别：跟变形兄弟其他几个一个道理，B站捧，必进百大。不过他的视频质量也算是变形兄弟里的前三了。 智能路障：知识区的代表，我超喜欢他的鲁迅系列，能让人更全面系统的看待鲁迅。百大实至名归。,https://www.zhihu.com/question/438840235/answer/1672129735
一只小仙若,综合知识/泛科普,6332,1,1,0,0,1,0,一只小仙若：可以说是跳舞跳的最烂的舞蹈区up主，但她现在慢慢转型去其他区了，做生活区视频做的还不错。 伊丽莎白鼠：我记得白鼠自己说过拒绝了百大啊，B站为什么还是给了。。。 音乐制作人kurt：和帕梅拉一个情况，人家主站不是B站啊，B站给自家孩子不比给他们香吗？难道给几个油管大佬百大，就能标志着自己走向国际化了吗？当然kurt实力完全配得上百大。,https://www.zhihu.com/question/438840235/answer/1672129735
三无marblue,综合知识/泛科普,6332,1,1,0,1,0,0,三无marblue：音乐区衰落的大前提下，三无哥哥被挤出百大很正常，今年她也没怎么涨粉，还是把名额给新人最好。 我是怪异君：这怎么说呢，中规中矩。但今年B站新人群魔乱舞，怪异君没有碾压过他们大多数人的表现，只能落选。 吃货请闭眼：老白今年数据不佳，而且视频质量比起去年有所下滑。 马壮实：跟老白一个情况，不同的是马壮实视频质量一直挺高，但风格太过单一，看的人太少。B站还是要流量的啊！,https://www.zhihu.com/question/438840235/answer/1672129735
上海滩许van强,综合知识/泛科普,6332,1,1,0,1,0,0,上海滩许van强：鬼畜up转型的代表性人物，说真的，她的鬼套路比罗某人现在的好看多了。百大实至名归。 沈逸老师：怎么说呢，我觉得沈逸老师是和观察者网挂钩的，虽说实力上当得起百大，但把他评上百大感觉有点欺负人了。 渗透之c君：看来天国事件的重提对c君并没有产生太大影响。她的视频风格有点被时代抛弃的意思了，如果不寻求转变，今年将是她最后一次百大。,https://www.zhihu.com/question/438840235/answer/1672129735
不正经老丝,综合知识/泛科普,6332,1,1,0,1,0,0,不正经老丝：今年的B站新区------知识区的代表up主之一，辟谣系列质量很高，20年的涨粉数量也足够百大了。 才疏学浅的才浅：可以说是B站最具匠心的up主了，百大实至名归。 纯黑：虽然纯黑今年表现不如前几年，但总体上还是值得今年一个百大。 大祥哥来了：怎么说呢，我觉得他这个风格也差不多到瓶颈期了，但粉丝量在这里，又是B站自家人，百大没问题。,https://www.zhihu.com/question/438840235/answer/1672129735
与山,综合知识/泛科普,6332,1,1,0,1,0,0,与山：去年与山涨了那么多粉丝，风格也稳定了下来。综合来看，百大实至名归。但明年可能就不一定了。 雨哥到处跑：恭喜雨哥终于圆梦百大。靠着拼乐高和整蛊女友，雨哥今年积累了大量的人气。虽然算是借了宝剑嫂的热度，但雨哥自己本身的视频质量也还不错，比女胖胖之流强多了，配得上百大。 装机猿：硬核与幽默并存的数码区up主，几乎是B站装机担当了，大up们谁家电脑出了问题都找他装机。,https://www.zhihu.com/question/438840235/answer/1672129735
东尼ookki,综合知识/泛科普,6332,1,1,0,0,1,0,东尼ookki：看到他有今天我很高兴，从他还是一个几千粉丝的小up的时候关注的。然而我已经取关他了，视频质量下滑严重。祝他前程似锦吧。 逗比的雀巢：年度黑马之一，配音系列可以说是我的快乐源泉了。实至名归 老e：泪目了，老e终于百大了，不容易啊！ 阿斗归来了：阿斗能进我有点没想到，因为他今年涨粉不多。但像这样认真解说，认真做视频，不蹭热度，还不拔高或贬低某部作品，专注电影本身的良心up主，真的是不多了。他值得这个百大。,https://www.zhihu.com/question/438840235/answer/1672129735
中国boy,综合知识/泛科普,6332,1,1,0,1,0,0,中国boy：阴阳怪气不解释。 周六野：怎么说的，我觉得她的涨粉很不正常，粉丝多但是互动量出奇的低，希望不是买粉吧。百大还是值得的 主厨农国栋：在几位入选的美食up主中，农国栋是唯一一个专业教学类的。虽然我没想到他能入选百大，但他获得百大实至名归。,https://www.zhihu.com/question/438840235/answer/1672129735
丰兄来了,综合知识/泛科普,6332,1,1,0,1,0,0,丰兄来了：初看很惊艳，看长了也就那么回事，而且风格上不求突破，落选在意料之内。 守护茶茶：断更了那么久，百大肯定没他的事了。 kei和marin：他们与很多位生活区up主一样，没有入选不是你不好，而是你给B站吸的流量不够。 ilem：教主今年一共更了那么点视频，再进不太好了。但他没进百大，也就代表着B站放弃了自己起家的音乐文化，有点唏嘘。,https://www.zhihu.com/question/438840235/answer/1672129735
丸子叨叨叨,综合知识/泛科普,6332,1,1,0,1,0,0,丸子叨叨叨：劳模型up主，一个能把恐怖作品说得让人捧腹大笑的宝藏。值得一个百大。 文不叮：美妆区新起之秀，视频却不止包括美妆。总结起来，就是一个能让你变得更美的up主。 文西与阿漆：又是一个快乐源泉，不过我看的不多，说不出什么评价来。 我是郭杰瑞：怎么说呢，郭杰瑞真的很厉害，他懂得中国网友的心理，知道中国网友最想看最需要看什么。这样敏锐的嗅觉，可以让他做任何视频都立于不败之地。百大当之无愧。,https://www.zhihu.com/question/438840235/answer/1672129735
主厨农国栋,综合知识/泛科普,6332,1,1,0,1,0,0,主厨农国栋：在几位入选的美食up主中，农国栋是唯一一个专业教学类的。虽然我没想到他能入选百大，但他获得百大实至名归。 祖娅纳惜：蛀牙意外进入了百大。这位我关注了两年多的宝藏老唱见终于熬出头了，希望借此机会能让她被更多人看到吧。 综上：虽然百大中有很多人配得上这个奖，但不得不说，这个奖的权威性正在逐渐降低。从18年到现在，一年不如一年。今年有许多优秀的up主痛失百大，也有许多德不配位者继续占着百大的位置。总之，这个奖项以后就跟跨年晚会一…,https://www.zhihu.com/question/438840235/answer/1672129735
之前我写过一个预测的名单,综合知识/泛科普,6332,1,1,0,0,0,1,之前我写过一个预测的名单： https://www. zhihu.com/answer/163811 0670 最后结果发现很多都对不上。看来我还是不够了解B站啊。 废话不多说，开干。 注：以下内容纯粹是我的个人观点，完全主观！赞同的您点个赞，不赞同的图一乐呵就行。我并不是每个up都了解的透彻，说的不对的地方还望大家指正。（ps： 粗体字为有争议者，即在过去一年里黑料比较多的UP主，欢迎大家补充 ）,https://www.zhihu.com/question/438840235/answer/1672129735
二喵的饭,综合知识/泛科普,6332,1,1,0,1,0,0,二喵的饭：二喵可能不是美食区最会做菜的up主，但她绝对是她这种up里最勤奋的。声音可爱，态度认真，百大实至名归。 泛式：动画区为数不多的担当了，必须给。 芳丝塔芙：知识区元老级人物，知识区今年大火，他们自然不能缺席。 冯提莫：又一个大争议点，虽然看粉丝数和人气，入选毫无疑问，但冯提莫根本没把重心放在视频上好吧，视频播放量也不行。你阿b想捧她我理解，但你这样让认真做视频的人怎么想呢？,https://www.zhihu.com/question/438840235/answer/1672129735
倒悬的橘子,综合知识/泛科普,6332,1,1,0,0,1,0,倒悬的橘子：橘子今年更了那么多视频，播放量数据都够了吧，就是不怎么涨粉，但他进百大不比把推背兔强按进百大强吗？不懂啊。 水一大魔王：跟许多游戏区up一样，流量不行。但王者区今年没一个百大我是没想到的。 浅橙月：跟放假君一个情况，落选正常。 槐安遗梦：这个瓜就不用我介绍了吧。 猫店：同放假君和浅橙月，但猫店今年的表现比他们还差。,https://www.zhihu.com/question/438840235/answer/1672129735
克里米亚野生动物园,综合知识/泛科普,6332,1,1,0,1,0,0,克里米亚野生动物园：名单看到这里画风突然一转，不过我看到是他就放心了。虽然我没想到他能入选，但他还是配得上百大的。也祝愿动物园可以越办越好。 lexburner：阴阳怪气就不解释了。 蜡笔和小勋：感谢蜡笔小勋，让我从一个落榜生成功考进大学。他们的视频提供了很多有效的学习方法，能帮到大家很多。百大实至名归 老番茄：一哥不解释。,https://www.zhihu.com/question/438840235/answer/1672129735
六道轮回,综合知识/泛科普,6332,1,1,0,0,1,0,六道轮回：今年跟狮子视角姬合作的世纪大盗系列是真的有趣，六道作为代表领这个百大实至名归。（我估计是B站怕他拿不到百大继续放飞自我。。。） 猛男舞团：如果说黄龄是明星入驻B站的典范，那么猛男舞团就是网红入驻B站的典范。意外走红之后，他们不但没有玩烂梗，吃老本，反而结合自己的特点和B站的文化，创造出了更多优质的内容，百大实至名归。,https://www.zhihu.com/question/438840235/answer/1672129735
冯提莫,综合知识/泛科普,6332,1,1,0,0,1,0,冯提莫：又一个大争议点，虽然看粉丝数和人气，入选毫无疑问，但冯提莫根本没把重心放在视频上好吧，视频播放量也不行。你阿b想捧她我理解，但你这样让认真做视频的人怎么想呢？ 孤独的美食基：说真的，今年因为他疫情恰饭那波操作，我直接取关了他。后面也没怎么看他，能再进百大我也是没想到的，这个位置给个争议小点的不好吗？ hanser：小天使值得这个百大！我最喜欢的音乐区up主。不过她之前签了斗鱼，我还以为B站不会给她百大了，看来我是多虑了。,https://www.zhihu.com/question/438840235/answer/1672129735
凉风kaze,综合知识/泛科普,6332,1,1,0,0,1,0,凉风kaze：台柱子之一，不解释。 泠鸢yousa：B站起家的主播里目前混的最好的一个了，这个百大不给不行的。 刘老师说电影：刘老师的吐槽十分犀利，也让我在今年避免了许多烂片，感谢。作为影视区顶流，刘老师百大当之无愧。,https://www.zhihu.com/question/438840235/answer/1672129735
初号时光机,综合知识/泛科普,6332,1,1,0,0,0,1,首先给大家看一张图，这张图是B站up主@初号时光机 总结的，总结的相当全面和详细。,https://www.zhihu.com/question/438840235/answer/1672129735
力元君,综合知识/泛科普,6332,1,1,0,1,0,0,力元君：今年力元君视频质量下滑严重，被许多后起之秀超过。个人感觉加入变形兄弟后，力元君越来越差。B站再给他百大，看来是铁了心想捧变形兄弟啊。希望他以后能调整好吧。 历史调研室：超硬核的历史up主，能把很复杂的历史问题说的通俗易懂，再配上顶级的文案和视频剪辑，百大实至名归。 凉风kaze：台柱子之一，不解释。 泠鸢yousa：B站起家的主播里目前混的最好的一个了，这个百大不给不行的。,https://www.zhihu.com/question/438840235/answer/1672129735
努力的lorre,综合知识/泛科普,6332,1,1,0,1,0,0,努力的lorre：因为疫情原因，今年超级英雄电影遭到了巨大的打击，lorre也伤的不轻。但好在他调整了过来，通过解说超英漫画积攒了许多人气，百大当之无愧。 女胖胖：毫无个人特色，没有敬汉卿您能进百大吗？当然我觉得她现在的视频质量比敬汉卿还能高点。 哦呼w：非常有才华的鬼畜up主，今年一部《敢杀我的马》风靡B站。百大实至名归 帕梅拉：健身区最有干货的姐了，比周六野是强多了。不过她主站貌似是在油管吧，虽然她值得百大，但B站给她真的好吗？,https://www.zhihu.com/question/438840235/answer/1672129735
十音,综合知识/泛科普,6332,1,1,0,1,0,0,十音：因为汉服事件？反正十音今年数据也一般。反倒是她男朋友lks表现很好，但不知怎么还是落选了百大，唉。 吃货明：跟波桑一个情况。 小可儿：挂人、网暴、拉黑粉丝。他去年就不该进百大，没想到还是给了。 倒悬的橘子：橘子今年更了那么多视频，播放量数据都够了吧，就是不怎么涨粉，但他进百大不比把推背兔强按进百大强吗？不懂啊。,https://www.zhihu.com/question/438840235/answer/1672129735
卡特亚,综合知识/泛科普,6332,1,1,0,1,0,0,卡特亚：在B站力捧原神等游戏的今天，卡特亚作为二次元手游的代表人物，理应占得百大一席之地。虽然我觉得大部分玩家都挺讨厌他，很不满他入选百大。但他毕竟是影响力最大的。B站要恰饭的嘛 靠脸吃饭的徐大王：B站lol区第一人，非常适合想了解lol背景和玩lol的人关注。虽然去年没怎么涨粉，但厄加特还是名副其实的百大。 靠谱电竞：从不看lpl的我为了追一个看lpl的妹子关注了她，虽然妹子没追成，但我却喜欢上了看lpl。柴嘻嘻百大没毛病。,https://www.zhihu.com/question/438840235/answer/1672129735
卢正义的雕刻时光,综合知识/泛科普,6332,1,1,0,1,0,0,卢正义的雕刻时光：又是一个我觉得他人设要崩的up。我相信老爷子本身是有技术的，但视频被揪出了好几处错。如果后面不站出来回应的话，有些危险。不管怎么样，视频做的很好看，值得一个新人奖。 苏星河牛通：认识但没关注，不予置评。 所长林超：一开始挺喜欢的一个up主，但后来发现他的视频质量越来越低，没啥干货，基本上就是鸡汤。还有总是不眨眼看的怪怪的。 百蝎奇天：不认识，不予置评。,https://www.zhihu.com/question/438840235/answer/1672129735
吃货明,综合知识/泛科普,6332,1,1,0,0,0,1,吃货明：跟波桑一个情况。 小可儿：挂人、网暴、拉黑粉丝。他去年就不该进百大，没想到还是给了。 倒悬的橘子：橘子今年更了那么多视频，播放量数据都够了吧，就是不怎么涨粉，但他进百大不比把推背兔强按进百大强吗？不懂啊。,https://www.zhihu.com/question/438840235/answer/1672129735
吃货请闭眼,综合知识/泛科普,6332,1,1,0,0,1,0,吃货请闭眼：老白今年数据不佳，而且视频质量比起去年有所下滑。 马壮实：跟老白一个情况，不同的是马壮实视频质量一直挺高，但风格太过单一，看的人太少。B站还是要流量的啊！ 放假君：曾经的鬼畜之王去年划水了一年，视频有三分之一都是恰饭的。这种表现确实难进百大。,https://www.zhihu.com/question/438840235/answer/1672129735
周六野,综合知识/泛科普,6332,1,1,0,1,0,0,周六野：怎么说的，我觉得她的涨粉很不正常，粉丝多但是互动量出奇的低，希望不是买粉吧。百大还是值得的 主厨农国栋：在几位入选的美食up主中，农国栋是唯一一个专业教学类的。虽然我没想到他能入选百大，但他获得百大实至名归。 祖娅纳惜：蛀牙意外进入了百大。这位我关注了两年多的宝藏老唱见终于熬出头了，希望借此机会能让她被更多人看到吧。,https://www.zhihu.com/question/438840235/answer/1672129735
哦呼w,综合知识/泛科普,6332,1,1,0,1,0,0,哦呼w：非常有才华的鬼畜up主，今年一部《敢杀我的马》风靡B站。百大实至名归 帕梅拉：健身区最有干货的姐了，比周六野是强多了。不过她主站貌似是在油管吧，虽然她值得百大，但B站给她真的好吗？ 瓶子君：就凭今年瓶子开的那两波团，他就值得一个百大。动画区真的没几个人了，唉。,https://www.zhihu.com/question/438840235/answer/1672129735
哲别,综合知识/泛科普,6332,1,1,0,1,0,0,哲别：跟变形兄弟其他几个一个道理，B站捧，必进百大。不过他的视频质量也算是变形兄弟里的前三了。 智能路障：知识区的代表，我超喜欢他的鲁迅系列，能让人更全面系统的看待鲁迅。百大实至名归。 中国boy：阴阳怪气不解释。 周六野：怎么说的，我觉得她的涨粉很不正常，粉丝多但是互动量出奇的低，希望不是买粉吧。百大还是值得的,https://www.zhihu.com/question/438840235/answer/1672129735
嘟督不噶油,综合知识/泛科普,6332,1,1,0,1,0,0,嘟督不噶油：今年数据欠佳，但纯黑少爷数据也不太好，粉丝也不比嘟督多多少，还是进了百大。嘟督也有点可惜 山下智博：鸡脖去年就不该进了，B站看在他是元老的份上给了他百大。他如果在视频风格上再不寻求改变的话，早晚被更多后浪拍死在沙滩上。 痒局长：局长今年不温不火，落选不意外了。只是没想到四欠只有白鼠留了下来，唉。,https://www.zhihu.com/question/438840235/answer/1672129735
墨韵,综合知识/泛科普,6332,1,1,0,1,0,0,墨韵：作为B站文化代表人物之一的墨韵教主，最终还是被商业化的B站抛弃了，唉。 拉宏桑：今年视频没什么进步，掉粉榜上了好几次，也没整出什么新活，百大没进也不意外。 杰里德：江郎才尽了，视频来来回回都是那几个套路，不进不意外。 三无marblue：音乐区衰落的大前提下，三无哥哥被挤出百大很正常，今年她也没怎么涨粉，还是把名额给新人最好。,https://www.zhihu.com/question/438840235/answer/1672129735
大祥哥来了,综合知识/泛科普,6332,1,1,0,1,0,0,大祥哥来了：怎么说呢，我觉得他这个风格也差不多到瓶颈期了，但粉丝量在这里，又是B站自家人，百大没问题。 盗月社食遇记：我超级喜欢的一对美食区up主，视频很有趣味，今年的一年里涨粉够多，百大实至名归。 电影最top：我姑且称老张和木鱼为影视区的硬核担当，看他们的解说，要比你看原片学到的东西更多（当然还是看原片的好），百大当之无愧。,https://www.zhihu.com/question/438840235/answer/1672129735
天天卡牌,综合知识/泛科普,6332,1,1,0,1,0,0,天天卡牌：炉石区彻底被B站抛弃了，唉。 神奇的老皮：老皮应该是跟特效小哥重了才没进百大的吧。多鼓励鼓励新人也算是好人，虽然老皮值得一个百大。 长歌与小见见：他们跟是大腿一个情况，就不多赘述了。 神秘店长a：店长今年鸽了好几个月，没入选意料之内。,https://www.zhihu.com/question/438840235/answer/1672129735
奇闻观察室,综合知识/泛科普,6332,1,1,0,1,0,0,奇闻观察室：长风对案件的讲解不限于案件本身，每次都恰到好处的升华是他视频的精髓，再配上那超级肝的更新频率。百大不给说不过去啊 枪弹轨迹：鬼畜区现役第一人，必须给 上海滩许van强：鬼畜up转型的代表性人物，说真的，她的鬼套路比罗某人现在的好看多了。百大实至名归。 沈逸老师：怎么说呢，我觉得沈逸老师是和观察者网挂钩的，虽说实力上当得起百大，但把他评上百大感觉有点欺负人了。,https://www.zhihu.com/question/438840235/answer/1672129735
女胖胖,综合知识/泛科普,6332,1,1,0,1,0,0,女胖胖：毫无个人特色，没有敬汉卿您能进百大吗？当然我觉得她现在的视频质量比敬汉卿还能高点。 哦呼w：非常有才华的鬼畜up主，今年一部《敢杀我的马》风靡B站。百大实至名归 帕梅拉：健身区最有干货的姐了，比周六野是强多了。不过她主站貌似是在油管吧，虽然她值得百大，但B站给她真的好吗？,https://www.zhihu.com/question/438840235/answer/1672129735
奶糕成精档案社,综合知识/泛科普,6332,1,1,0,1,0,0,奶糕成精档案社：萌宠区的新起之秀，视频总量不多，我看的也不多，不过他的视频质量很高，百大没问题。 努力的lorre：因为疫情原因，今年超级英雄电影遭到了巨大的打击，lorre也伤的不轻。但好在他调整了过来，通过解说超英漫画积攒了许多人气，百大当之无愧。 女胖胖：毫无个人特色，没有敬汉卿您能进百大吗？当然我觉得她现在的视频质量比敬汉卿还能高点。,https://www.zhihu.com/question/438840235/answer/1672129735
守护茶茶,综合知识/泛科普,6332,1,1,0,1,0,0,守护茶茶：断更了那么久，百大肯定没他的事了。 kei和marin：他们与很多位生活区up主一样，没有入选不是你不好，而是你给B站吸的流量不够。 ilem：教主今年一共更了那么点视频，再进不太好了。但他没进百大，也就代表着B站放弃了自己起家的音乐文化，有点唏嘘。,https://www.zhihu.com/question/438840235/answer/1672129735
小可儿,综合知识/泛科普,6332,1,1,0,0,1,0,小可儿：挂人、网暴、拉黑粉丝。他去年就不该进百大，没想到还是给了。 倒悬的橘子：橘子今年更了那么多视频，播放量数据都够了吧，就是不怎么涨粉，但他进百大不比把推背兔强按进百大强吗？不懂啊。 水一大魔王：跟许多游戏区up一样，流量不行。但王者区今年没一个百大我是没想到的。,https://www.zhihu.com/question/438840235/answer/1672129735
小潮院长,综合知识/泛科普,6332,1,1,0,0,1,0,小潮院长：我不是很喜欢他，可能是我太严肃了，感觉他们的视频过于神经了。。。不过他进百大毫无争议，我也赞同。 小片片说大片：影视区最能肝的男人，虽然我觉得他水平不如那几位（经常解说错内容），但就这一份敬业，便值得一个百大。 欣小萌：第四个震惊到我的。B站护犊子护过头了吧，不等到风头过了再给吗？欣小萌的瓜详见 https://www. zhihu.com/question/4298 08348,https://www.zhihu.com/question/438840235/answer/1672129735
小艾大叔,综合知识/泛科普,6332,1,1,0,0,1,0,小艾大叔：我经常在首页刷到他的视频，但始终没关注他。感觉他给我们看的豪宅再多，对我们而言也没什么用。当然他进百大实至名归。 小潮院长：我不是很喜欢他，可能是我太严肃了，感觉他们的视频过于神经了。。。不过他进百大毫无争议，我也赞同。 小片片说大片：影视区最能肝的男人，虽然我觉得他水平不如那几位（经常解说错内容），但就这一份敬业，便值得一个百大。,https://www.zhihu.com/question/438840235/answer/1672129735
尕天堂,综合知识/泛科普,6332,1,1,0,1,0,0,尕天堂：动画区人才越来越少了，天堂又没什么流量。不过今年瓶子能替代他进百大也还可以。 十音：因为汉服事件？反正十音今年数据也一般。反倒是她男朋友lks表现很好，但不知怎么还是落选了百大，唉。 吃货明：跟波桑一个情况。 小可儿：挂人、网暴、拉黑粉丝。他去年就不该进百大，没想到还是给了。,https://www.zhihu.com/question/438840235/answer/1672129735
