rank,pic_id,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,mention_post_count,source_note_count,label,label_notes,media_owner_user_id,media_owner_nickname,media_owner_verified_type,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,image_name
11,9dc56626ly1g2yhb1d352j21281k0qfa,98,98,0,1,0,1,1,person,real person photo,2646959654,邦邦吃椰糕,0,1376,2016,https://wx1.sinaimg.cn/mw2000/9dc56626ly1g2yhb1d352j21281k0qfa.jpg,https://wx1.sinaimg.cn/orj360/9dc56626ly1g2yhb1d352j21281k0qfa.jpg,https://m.weibo.cn/detail/4371120151219003,黄婷婷 时之卷@SNH48-黄婷婷 海报 今日美貌摄入（1/1）太好看啦,,[strict_single_image_post 98 explicit_image+aesthetic_or_memory] 黄婷婷 时之卷@SNH48-黄婷婷 海报 今日美貌摄入（1/1）太好看啦 https://m.weibo.cn/detail/4371120151219003,top11_9dc56626ly1g2yhb1d352j21281k0qfa.jpg
12,006PClEXgy1g7weycrc8cj33402c0000,97,97,0,1,0,1,1,person,real person group photo,6259529855,塌皮Eeyore,-1,2048,1536,https://wx3.sinaimg.cn/mw2000/006PClEXgy1g7weycrc8cj33402c0000.jpg,https://wx3.sinaimg.cn/orj360/006PClEXgy1g7weycrc8cj33402c0000.jpg,https://m.weibo.cn/detail/4426895279612457,黄婷婷 带着我的鸭鸭和阿黄合照 啦啦啦,,[strict_single_image_post 97 strong_image_keyword] 黄婷婷 带着我的鸭鸭和阿黄合照 啦啦啦 https://m.weibo.cn/detail/4426895279612457,top12_006PClEXgy1g7weycrc8cj33402c0000.jpg
13,005IlEDLly1fcs3t7b3tmj30ku112783,96,96,0,1,0,1,1,person,phone wallpaper with real person,5235984057,九三不是怪阿姨,-1,750,1334,https://wx2.sinaimg.cn/mw2000/005IlEDLly1fcs3t7b3tmj30ku112783.jpg,https://wx2.sinaimg.cn/orj360/005IlEDLly1fcs3t7b3tmj30ku112783.jpg,https://m.weibo.cn/detail/4075726359477035,#黄婷婷# 我就想看看你们的壁纸都是什么样子的，没有碰到心仪的，我短期内就不换壁纸了,,[strict_single_image_post 96 strong_image_keyword] #黄婷婷# 我就想看看你们的壁纸都是什么样子的，没有碰到心仪的，我短期内就不换壁纸了 https://m.weibo.cn/detail/4075726359477035,top13_005IlEDLly1fcs3t7b3tmj30ku112783.jpg
14,006oRmXOly1gebpkkbyzjj30h10gbaf6,94,94,0,1,0,1,1,person,real person close-up,5864148716,今天也想当妈了,-1,613,587,https://wx1.sinaimg.cn/mw2000/006oRmXOly1gebpkkbyzjj30h10gbaf6.jpg,https://wx1.sinaimg.cn/orj360/006oRmXOly1gebpkkbyzjj30h10gbaf6.jpg,https://m.weibo.cn/detail/4499395812712027,黄婷婷 看到自拍杆了,,[strict_single_image_post 94 strong_image_keyword] 黄婷婷 看到自拍杆了 https://m.weibo.cn/detail/4499395812712027,top14_006oRmXOly1gebpkkbyzjj30h10gbaf6.jpg
15,005BYwDdgy1gbo4zjcbz4j30rs1auncg,94,94,0,1,0,1,1,person,real person collage,5141813711,奶味小李饲养员,0,1000,1686,https://wx3.sinaimg.cn/mw2000/005BYwDdgy1gbo4zjcbz4j30rs1auncg.jpg,https://wx3.sinaimg.cn/orj360/005BYwDdgy1gbo4zjcbz4j30rs1auncg.jpg,https://m.weibo.cn/detail/4469438411188311,黄婷婷 魔鬼手速截了图就出来了 姐这套好好看大家快去看我是歌手 姐好久不见@titi黄_,,[strict_single_image_post 94 explicit_image+aesthetic_or_memory] 黄婷婷 魔鬼手速截了图就出来了 姐这套好好看大家快去看我是歌手 姐好久不见@titi黄_ https://m.weibo.cn/detail/4469438411188311,top15_005BYwDdgy1gbo4zjcbz4j30rs1auncg.jpg
16,008aCRUdgy1ibejxahyv2j32bu2wthdx,91,91,0,4,0,4,4,person,real person photo card,7486089697,那就先叫我小傅吧,-1,2048,2560,https://wx3.sinaimg.cn/mw2000/008aCRUdgy1ibejxahyv2j32bu2wthdx.jpg,https://wx3.sinaimg.cn/orj360/008aCRUdgy1ibejxahyv2j32bu2wthdx.jpg,https://m.weibo.cn/detail/5278913413780321,黄婷婷#黄婷婷# 自印了一张TiTi的拍立得～,,[strict_single_image_post 83 strong_image_keyword] 黄婷婷#黄婷婷# 自印了一张TiTi的拍立得～ https://m.weibo.cn/detail/5278913413780321 || [strict_single_image_post 4 strong_image_keyword] 黄婷婷 黄婷婷#黄婷婷# 自印了一张TiTi的拍立得～ https://m.weibo.cn/detail/5279057257175460 || [strict_single_image_post 2 strong_image_keyword] 黄婷婷 黄婷婷#黄婷婷# 自印了一张TiTi的拍立得～ https://m.weibo.cn/detail/5279209766260736 || [strict_single_image_post 2 strong_image_keyword] 黄婷婷#黄婷婷# 黄婷婷#黄婷婷# 自印了一张TiTi的拍立得～ https://m.weibo.cn/detail/5279048458831318,top16_008aCRUdgy1ibejxahyv2j32bu2wthdx.jpg
17,005URZvXgy1g5h8p7zpsrj33fu2ake82,90,90,0,1,0,1,1,person,real person performance photo,5421006825,RYOHEY-09,-1,2048,1365,https://wx1.sinaimg.cn/mw2000/005URZvXgy1g5h8p7zpsrj33fu2ake82.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1g5h8p7zpsrj33fu2ake82.jpg,https://m.weibo.cn/detail/4399569670452618,黄婷婷 190727 演唱会 返图2 #SNH48年度总决选##黄婷婷#,,[strict_post_ref_p2 90 strong_image_keyword] 黄婷婷 190727 演唱会 返图2 #SNH48年度总决选##黄婷婷# https://m.weibo.cn/detail/4399569670452618,top17_005URZvXgy1g5h8p7zpsrj33fu2ake82.jpg
18,9dc56626ly1g7vk9t2yjuj22c0340kjl,89,89,0,1,0,1,1,person,real person photo,2646959654,邦邦吃椰糕,0,2048,2730,https://wx2.sinaimg.cn/mw2000/9dc56626ly1g7vk9t2yjuj22c0340kjl.jpg,https://wx2.sinaimg.cn/orj360/9dc56626ly1g7vk9t2yjuj22c0340kjl.jpg,https://m.weibo.cn/detail/4426628584730715,黄婷婷 一天的车程变成了一张加油包 & @SNH48-黄婷婷 的合照 @Mamonde梦妆 大丸百货打卡 柜姐也聊了一会儿 安利了一波后 柜姐说：我觉得她肯定是可爱 邻家少女型的 不然不会有那么多女孩子喜欢她 昨天到现在来的 基本全都是女孩子 （ 当然也有男孩子哒,,[strict_post_ref_p1 89 strong_image_keyword] 黄婷婷 一天的车程变成了一张加油包 & @SNH48-黄婷婷 的合照 @Mamonde梦妆 大丸百货打卡 柜姐也聊了一会儿 安利了一波后 柜姐说：我觉得她肯定是可爱 邻家少女型的 不然不会有那么多女孩子喜欢她 昨天到现在来的 基本全都是女孩子 （ 当然也有男孩子哒 https://m.weibo.cn/detail/4426628584730715,top18_9dc56626ly1g7vk9t2yjuj22c0340kjl.jpg
19,006mNFGKgy1i8wu3sl5v0j30po1gujus,88,88,0,2,0,2,2,person,real person partial/lockscreen,5833714710,喝水大王-咩咩,-1,924,1902,https://wx4.sinaimg.cn/mw2000/006mNFGKgy1i8wu3sl5v0j30po1gujus.jpg,https://wx4.sinaimg.cn/orj360/006mNFGKgy1i8wu3sl5v0j30po1gujus.jpg,https://m.weibo.cn/detail/5250790895653933,黄婷婷#黄婷婷被隐匿的真相# 很适合当壁纸其实已经用上,,[strict_single_image_post 86 strong_image_keyword] 黄婷婷#黄婷婷被隐匿的真相# 很适合当壁纸其实已经用上 https://m.weibo.cn/detail/5250790895653933 || [strict_single_image_post 2 strong_image_keyword] 黄婷婷 姐感好重 黄婷婷#黄婷婷被隐匿的真相# 很适合当壁纸其实已经用上 https://m.weibo.cn/detail/5252567765621262,top19_006mNFGKgy1i8wu3sl5v0j30po1gujus.jpg
20,006cqKL3gy1fubea8t9q2j30u01t01kx,86,86,0,1,0,1,1,person,real person wallpaper,5680489293,偷月亮的瞌睡猪,-1,1080,2340,https://wx3.sinaimg.cn/mw2000/006cqKL3gy1fubea8t9q2j30u01t01kx.jpg,https://wx3.sinaimg.cn/orj360/006cqKL3gy1fubea8t9q2j30u01t01kx.jpg,https://m.weibo.cn/detail/4273608769983895,#黄婷婷0908生日快乐# #节奏大师黄小推# 【今日MC】【分享一张壁纸】 当然是舞台上跳着限定季发光的崽了,,[strict_single_image_post 86 strong_image_keyword] #黄婷婷0908生日快乐# #节奏大师黄小推# 【今日MC】【分享一张壁纸】 当然是舞台上跳着限定季发光的崽了 https://m.weibo.cn/detail/4273608769983895,top20_006cqKL3gy1fubea8t9q2j30u01t01kx.jpg
21,005LXSWply1g2p53dw74pj30ku1121kx,78,78,0,1,0,1,1,person,real person card/photo,5289424501,不对自己投降,-1,750,1334,https://wx2.sinaimg.cn/mw2000/005LXSWply1g2p53dw74pj30ku1121kx.jpg,https://wx2.sinaimg.cn/orj360/005LXSWply1g2p53dw74pj30ku1121kx.jpg,https://m.weibo.cn/detail/4368192547690293,黄婷婷htt#黄婷婷我家那小子# 拿着四个口味让婷选一个 然后指着图三说要这个 太好看了！！！@SNH48-黄婷婷,,[strict_post_ref_p3 78 explicit_image+aesthetic_or_memory] 黄婷婷htt#黄婷婷我家那小子# 拿着四个口味让婷选一个 然后指着图三说要这个 太好看了！！！@SNH48-黄婷婷 https://m.weibo.cn/detail/4368192547690293,top21_005LXSWply1g2p53dw74pj30ku1121kx.jpg
22,005URZvXgy1g28a85ehnnj32i13r24qq,78,78,0,1,0,1,1,person,real person event photo,5421006825,RYOHEY-09,-1,2048,3072,https://wx4.sinaimg.cn/mw2000/005URZvXgy1g28a85ehnnj32i13r24qq.jpg,https://wx4.sinaimg.cn/orj360/005URZvXgy1g28a85ehnnj32i13r24qq.jpg,https://m.weibo.cn/detail/4362909875978444,190413 偶像运动会 返图2 @SNH48-黄婷婷 #SNH48偶像运动会#,,[strict_post_ref_p2 78 strong_image_keyword] 190413 偶像运动会 返图2 @SNH48-黄婷婷 #SNH48偶像运动会# https://m.weibo.cn/detail/4362909875978444,top22_005URZvXgy1g28a85ehnnj32i13r24qq.jpg
23,008FUc5mly1ia63usb3dmj30u01f4qdv,77,77,0,2,0,2,2,person,real person photo with child,7948285260,爱吃踢踢-,-1,1080,1840,https://wx2.sinaimg.cn/mw2000/008FUc5mly1ia63usb3dmj30u01f4qdv.jpg,https://wx2.sinaimg.cn/orj360/008FUc5mly1ia63usb3dmj30u01f4qdv.jpg,https://m.weibo.cn/detail/5264981457371984,黄婷婷 大小以沫都可爱捏（图源自小演员妈妈抖音）,,[strict_single_image_post 73 strong_image_keyword] 黄婷婷 大小以沫都可爱捏（图源自小演员妈妈抖音） https://m.weibo.cn/detail/5264981457371984 || [strict_single_image_post 4 strong_image_keyword] 黄婷婷好🉑🉑🉑爱💛💛💛💛#黄婷婷# 黄婷婷 大小以沫都可爱捏（图源自小演员妈妈抖音） https://m.weibo.cn/detail/5265593365174281,top23_008FUc5mly1ia63usb3dmj30u01f4qdv.jpg
24,62201833gy1h0uessilphj20u0140n0z,77,77,0,1,0,1,1,person,real person polaroid,1646270515,护花花,-1,1080,1440,https://wx4.sinaimg.cn/mw2000/62201833gy1h0uessilphj20u0140n0z.jpg,https://wx4.sinaimg.cn/orj360/62201833gy1h0uessilphj20u0140n0z.jpg,https://m.weibo.cn/detail/4753515568434668,黄婷婷 收到拍立得了，谢谢谢谢 ！@着录SOLO @黄婷婷 小踢好漂亮吖,,[strict_single_image_post 77 explicit_image+aesthetic_or_memory] 黄婷婷 收到拍立得了，谢谢谢谢 ！@着录SOLO @黄婷婷 小踢好漂亮吖 https://m.weibo.cn/detail/4753515568434668,top24_62201833gy1h0uessilphj20u0140n0z.jpg
25,006m3Yy2jw1f8xpb01pjpj31kw11xgua,75,75,0,1,0,1,1,person,real person phone wallpaper,5822824118,YETTOW,-1,2048,1365,https://ww4.sinaimg.cn/mw2000/006m3Yy2jw1f8xpb01pjpj31kw11xgua.jpg,https://ww4.sinaimg.cn/orj360/006m3Yy2jw1f8xpb01pjpj31kw11xgua.jpg,https://m.weibo.cn/detail/4032344732658130,#黄婷婷 壁纸# Share a picture .,,[strict_single_image_post 75 strong_image_keyword] #黄婷婷 壁纸# Share a picture . https://m.weibo.cn/detail/4032344732658130,top25_006m3Yy2jw1f8xpb01pjpj31kw11xgua.jpg
26,006w24jhgy1g83sgwgdgfj31b80zftc1,71,71,0,1,0,1,1,person,real person portrait/screenshot,5970132971,HTT0908_黄婷婷,0,1700,1275,https://wx2.sinaimg.cn/mw2000/006w24jhgy1g83sgwgdgfj31b80zftc1.jpg,https://wx2.sinaimg.cn/orj360/006w24jhgy1g83sgwgdgfj31b80zftc1.jpg,https://m.weibo.cn/detail/4429214570648362,黄婷婷🐰#初心不改黄婷婷# 她生而清婉，只看幼年照片，也能感觉到，在她身上，萦绕着父母的温馨与浪漫糅合出的皂角的香气。 一个人的精神气是最难伪装的，从环绕在他周围的气场可以看出他所处的环境。 骑着小马是许多人都有的童年，服饰也并不多么精致，但可以看的出这个小孩是习惯了开心， ...全文,,[strict_single_image_post 71 explicit_image+aesthetic_or_memory] 黄婷婷🐰#初心不改黄婷婷# 她生而清婉，只看幼年照片，也能感觉到，在她身上，萦绕着父母的温馨与浪漫糅合出的皂角的香气。 一个人的精神气是最难伪装的，从环绕在他周围的气场可以看出他所处的环境。 骑着小马是许多人都有的童年，服饰也并不多么精致，但可以看的出这个小孩是习惯了开心， ...全文 https://m.weibo.cn/detail/4429214570648362,top26_006w24jhgy1g83sgwgdgfj31b80zftc1.jpg
27,005URZvXgy1g2bqspi7plj32tc480kjm,69,69,0,1,0,1,1,person,real person event photo,5421006825,RYOHEY-09,-1,2048,3072,https://wx3.sinaimg.cn/mw2000/005URZvXgy1g2bqspi7plj32tc480kjm.jpg,https://wx3.sinaimg.cn/orj360/005URZvXgy1g2bqspi7plj32tc480kjm.jpg,https://m.weibo.cn/detail/4363993621376534,190413 偶像运动会 返图4 @SNH48-黄婷婷 #SNH48偶像运动会#,,[strict_post_ref_p4 69 strong_image_keyword] 190413 偶像运动会 返图4 @SNH48-黄婷婷 #SNH48偶像运动会# https://m.weibo.cn/detail/4363993621376534,top27_005URZvXgy1g2bqspi7plj32tc480kjm.jpg
28,009ZxebOgy1ic6h7gvchbj30u00h7wh8,68,68,0,1,0,1,1,person,real person portrait,9154471356,爱你也说不出口,-1,1080,619,https://wx4.sinaimg.cn/mw2000/009ZxebOgy1ic6h7gvchbj30u00h7wh8.jpg,https://wx4.sinaimg.cn/orj360/009ZxebOgy1ic6h7gvchbj30u00h7wh8.jpg,https://m.weibo.cn/detail/5287666434183937,黄婷婷 求求姐的这个头像原图好漂亮美疯了,,[strict_single_image_post 68 explicit_image+aesthetic_or_memory] 黄婷婷 求求姐的这个头像原图好漂亮美疯了 https://m.weibo.cn/detail/5287666434183937,top28_009ZxebOgy1ic6h7gvchbj30u00h7wh8.jpg
29,009cmdyEly1ia6an7k442j31jk2224as,68,68,0,1,0,1,1,person,real person portrait,8427806856,蓝浸浸,-1,2000,2666,https://wx1.sinaimg.cn/mw2000/009cmdyEly1ia6an7k442j31jk2224as.jpg,https://wx1.sinaimg.cn/orj360/009cmdyEly1ia6an7k442j31jk2224as.jpg,https://m.weibo.cn/detail/5265040529686641,黄婷婷 这张好美，有种人妻感（我是人，她是我妻子😋）,,[strict_single_image_post 68 explicit_image+aesthetic_or_memory] 黄婷婷 这张好美，有种人妻感（我是人，她是我妻子😋） https://m.weibo.cn/detail/5265040529686641,top29_009cmdyEly1ia6an7k442j31jk2224as.jpg
30,df1bc43agy1fwoyl4nkxrj20qo1kaqan,68,68,0,1,0,1,1,person,real person lockscreen,3743138874,卷毛太复杂了,-1,960,2026,https://wx1.sinaimg.cn/mw2000/df1bc43agy1fwoyl4nkxrj20qo1kaqan.jpg,https://wx1.sinaimg.cn/orj360/df1bc43agy1fwoyl4nkxrj20qo1kaqan.jpg,https://m.weibo.cn/detail/4300429233765877,黄婷婷 各位黄小推能给我一点锁屏壁纸吗？我的手机是这样的,,[strict_single_image_post 68 strong_image_keyword] 黄婷婷 各位黄小推能给我一点锁屏壁纸吗？我的手机是这样的 https://m.weibo.cn/detail/4300429233765877,top30_df1bc43agy1fwoyl4nkxrj20qo1kaqan.jpg
31,006FAtPjgy1g649a76h87j313y0u0jyy,68,68,0,1,0,1,1,person,real person portrait/photo,6111321233,zccc灿,-1,1438,1080,https://wx3.sinaimg.cn/mw2000/006FAtPjgy1g649a76h87j313y0u0jyy.jpg,https://wx3.sinaimg.cn/orj360/006FAtPjgy1g649a76h87j313y0u0jyy.jpg,https://m.weibo.cn/detail/4406784175802722,黄婷婷 四舍五入晃婷发自拍了？,,[strict_single_image_post 68 strong_image_keyword] 黄婷婷 四舍五入晃婷发自拍了？ https://m.weibo.cn/detail/4406784175802722,top31_006FAtPjgy1g649a76h87j313y0u0jyy.jpg
32,8715f019ly1iazb9k41e8j20xc1yk4hv,65,65,0,1,0,1,1,person,real person nostalgic photo,2266361881,一只夕丐丶,-1,1200,2540,https://wx4.sinaimg.cn/mw2000/8715f019ly1iazb9k41e8j20xc1yk4hv.jpg,https://wx4.sinaimg.cn/orj360/8715f019ly1iazb9k41e8j20xc1yk4hv.jpg,https://m.weibo.cn/detail/5274147946498890,黄婷婷 婷婷你好@黄婷婷 ，今天是喜欢你的第十年。 记得初见是在朋友的推荐下看了公演，你穿着红紫色的灾难裙子，因为连续跳舞流汗你的头发紧贴着脸没有什么妆造，可我还是一眼就注意到了你。那时候我对你什么都不了解，却莫名地有好感，就截图去问了朋友你是谁。 后来因为黄奉贤，一下就喜欢 ...全文,,[strict_single_image_post 65 explicit_image+aesthetic_or_memory] 黄婷婷 婷婷你好@黄婷婷 ，今天是喜欢你的第十年。 记得初见是在朋友的推荐下看了公演，你穿着红紫色的灾难裙子，因为连续跳舞流汗你的头发紧贴着脸没有什么妆造，可我还是一眼就注意到了你。那时候我对你什么都不了解，却莫名地有好感，就截图去问了朋友你是谁。 后来因为黄奉贤，一下就喜欢 ...全文 https://m.weibo.cn/detail/5274147946498890,top32_8715f019ly1iazb9k41e8j20xc1yk4hv.jpg
33,005LXSWply1i6f6vsivi7j32dc35s7wi,64,64,0,1,0,1,1,person,real person polaroids,5289424501,不对自己投降,-1,2048,2730,https://wx2.sinaimg.cn/mw2000/005LXSWply1i6f6vsivi7j32dc35s7wi.jpg,https://wx2.sinaimg.cn/orj360/005LXSWply1i6f6vsivi7j32dc35s7wi.jpg,https://m.weibo.cn/detail/5222691440952926,黄婷婷 htt#黄婷婷折月亮# 整理了一下拍立得，不是炫耀的意思爱你宝宝@黄婷婷,,[strict_single_image_post 64 strong_image_keyword] 黄婷婷 htt#黄婷婷折月亮# 整理了一下拍立得，不是炫耀的意思爱你宝宝@黄婷婷 https://m.weibo.cn/detail/5222691440952926,top33_005LXSWply1i6f6vsivi7j32dc35s7wi.jpg
