sampleId,sourcePlatform,keyword,title,audience,scenario,categories,motives,likedCount,collectedCount,commentCount,sharedCount,engagementScore,hasDetail,descExcerpt,commentNeedSignals,suspectedCommercial,capturedAt
xhs_96a239d3f7,小红书,开学礼物 学生,🧺开学必备｜准大一要买些什么,大学生,开学/返校,宿舍生活,平价性价比|实用刚需,969,378,5,76,1584,yes,还有什么需要准备的呢[萌萌哒R] #开学带这些[话题]# #大学宿舍好物[话题]# #开学好物[话题]# #生活必需用品[话题]# #学生党好物分享[话题]# #大学生好物[话题]# #好物分享[话题]# #宿舍必备[话题]# #宿舍平价好物[话题]# #新生开学[话题]#,那个床帘可以的，挺不错 | 都能用的上 | 都很实用哇😯 | 都是必备品,unknown,2026-06-12
xhs_7b9e990de7,小红书,开学礼物 学生,大一新生报道前必看！电子产品带哪些！,大学生,开学/返校,其他礼物/综合,未显式,480,230,34,23,881,no,,,unknown,2026-06-12
xhs_04afd66df7,小红书,开学礼物 学生,外甥女高考完要上大学了，送点什么好呢？,大学生,开学/返校,其他礼物/综合,未显式,7,2,61,0,131,no,,,unknown,2026-06-12
xhs_c49d15e15c,小红书,开学礼物 学生,长期主义｜考研党必备好物分享！🧸,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|饰品配件|服饰鞋包,平价性价比|实用刚需|仪式感/情绪价值,1403,475,7,54,2115,yes,本期是考研好物分享第二弹！ 看看有没有宝宝们需要的好物吧 #学生党平价好物[话题]# #翻包记[话题]# #考研[话题]# #考研好物[话题]# #学生党好物分享[话题]# #笔记本[话题]##大学生爱用[话题]# #年度幸福感好物[话题]# #护腰坐垫[话题]# #可调节腰靠[话题]#,托特包包和平板多少钱？ | 插排在哪买啊 识图没搜到[抽泣R] | 小风扇是充电款还是插电款 | 他们说到处评论评论就会有流量,unknown,2026-06-12
xhs_1a4c1c7af6,小红书,开学礼物 学生,教培老师送学生小礼物推荐！第二弹来咯,泛学生/同学,开学/返校,其他礼物/综合,未显式,62,25,6,8,118,no,,,yes,2026-06-12
xhs_036b9f7cde,小红书,开学礼物 学生,,泛学生/同学,开学/返校,其他礼物/综合,未显式,0,0,0,0,0,no,,,unknown,2026-06-12
xhs_57d0d969d9,小红书,开学礼物 学生,小学生自用好物清单🧾,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,64,23,0,2,96,no,,,unknown,2026-06-12
xhs_3df13ee4b1,小红书,开学礼物 学生,9岁女孩儿童节求推荐,边缘低龄/教师奖励,开学/返校,服饰鞋包,仪式感/情绪价值|颜值/可爱,356,132,84,46,764,yes,精致不肉疼的儿童节礼物，很需要！ 六一儿童节马上就快到了。倒计时20天精致仪式感必须到位。#小女孩生日礼物[话题]# #儿童节礼物[话题]# #小学生礼物[话题]# 但是送什么礼物呢？选了很多，还是纠结，不知道送什么。 姐妹们，你们都给宝宝选了什么礼物呢？ 发出来给我参考一下。,儿童喜不喜欢不知道。30➕的老阿姨可喜欢了[笑哭R] | 这个，没有小朋友不喜欢汪汪队！ | 想的脑壳疼，望远镜，labubu，化妆类首饰盒估计也会很爱 | 买个无人机或者平衡车,yes,2026-06-12
xhs_3041308823,小红书,开学礼物 学生,分享一些适合送给朋友的生日礼物78.0🎁,泛学生/同学,开学/返校,其他礼物/综合,平价性价比|仪式感/情绪价值|颜值/可爱,927,344,4,38,1439,yes,#平价生日礼物[话题]# #女生生日礼物[话题]# #可爱好物[话题]# #小众礼物[话题]# #高颜值礼物[话题]# #提升幸福感的小物[话题]# #创意礼物[话题]# #闺蜜礼物[话题]# #礼物送女生[话题]# #家中好物真心话小会[话题]#,我也在给闺闺找礼物，姐妹们有推荐的可以发我评论区吗[害羞R][害羞R] | 谁懂啊，把自己的经历写成歌，做成相框扫码就能听，每一句都很戳.心 5[飞吻R] | 我给我孩子买了这个手表，他真的很喜欢,yes,2026-06-12
xhs_10a7d672f1,小红书,入学礼物,准一年级小学生入学清单🧾精简必备版✅,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,123,83,23,8,288,no,,,unknown,2026-06-12
xhs_a4d111f57a,小红书,入学礼物,家有幼升小的宝贝看过来啦~,泛礼物/朋友,开学/返校,其他礼物/综合,未显式,264,293,1,55,728,no,,,unknown,2026-06-12
xhs_8e440017bb,小红书,入学礼物,实用好物｜送娃超体面的开学礼，仪式感拉满！,泛礼物/朋友,开学/返校,其他礼物/综合,实用刚需|仪式感/情绪价值|社交体面,206,63,16,28,361,no,,,unknown,2026-06-12
xhs_885ab65780,小红书,入学礼物,一年级新生近期收到的入学礼物🎁仪式感拉满,边缘低龄/教师奖励,开学/返校,其他礼物/综合,仪式感/情绪价值,19,5,6,2,40,no,,,unknown,2026-06-12
xhs_7c93013f1c,小红书,入学礼物,一年级新生爱用品,边缘低龄/教师奖励,开学/返校,其他礼物/综合,未显式,374,232,17,12,727,no,,,unknown,2026-06-12
xhs_c861da0c91,小红书,入学礼物,二年级每天在用的卷娃好物，便携好用,边缘低龄/教师奖励,开学/返校,3C数码/配件|文具手账,实用刚需,848,491,23,99,1680,yes,坐标北京，小学二年级，弟弟中班，今天给大家分享一下自用的学习好物！ 1.听力熊 2.AI拍学机 3.相机 4.录音机麦克风 5.口算宝 6.词典笔 7.单词机 8.耳麦 9.自律打卡机 #娃的兴趣养成记[话题]# #小学生礼物[话题]# #送给孩子的礼物[话题]# #激励孩子学习的动力[话题]# #儿童生日礼物[话题]# #适合小学生[话题]# #家有小学生[话题]# #便携[话题]# #省妈神器[话题]# #小红书校园日记[话题]#,词典笔什么牌子的 | 无限耳机什么牌子的哈 | 小相机是哪个牌子 | 这个ai拍学机是谁家的呀,unknown,2026-06-12
xhs_0c482a5dbb,小红书,入学礼物,,泛礼物/朋友,开学/返校,其他礼物/综合,未显式,0,0,0,0,0,no,,,unknown,2026-06-12
xhs_8635adebfb,小红书,入学礼物,男孩送礼就选它！智能又暖心,边缘低龄/教师奖励,开学/返校,文具手账|IP潮玩/玩具,实用刚需|颜值/可爱,768,386,30,81,1450,yes,生活在十八线城市真的太难了 给孩子体验的项目太少 玩乐的地方更少😮‍💨 在家看电视📺出门又吵着要玩手机，不给就闹脾气 给了不仅伤👁️ 而且还容易上瘾 直到刷到这个汤姆猫随身AI，才发现带娃能这么省心！给哥哥买了一个 不仅能陪玩聊天 还可以英语口语跟练 里面有“魔力英语”和“魔力翻译官”的功能 给孩子训练口语能力简直是太好了 安排上之后，我们大宝真的不会偷偷看电视了 现在出门遛弯走哪儿挂哪儿，恨不得去学校也带着 已经成为了它形影不离的小伙,好想要呀 | 这个可以和爸妈联系吗？能爸妈说话吗 | 我家小典是个小话唠，真的需要一个汤姆猫ai来替我分担 哈哈 | 这个很好用，十万个为什么升级版,yes,2026-06-12
xhs_fcfbef2801,小红书,入学礼物,幼儿园宝宝开学礼物，这6件好有意义呀！,边缘低龄/教师奖励,开学/返校,其他礼物/综合,未显式,175,137,7,18,394,no,,,unknown,2026-06-12
xhs_9085ec259a,小红书,入学礼物,一年级开学礼物大礼包🎁太值啦,边缘低龄/教师奖励,开学/返校,服饰鞋包,未显式,47,10,1,16,86,no,,,unknown,2026-06-12
xhs_67686746b6,小红书,入学礼物,一年级小男生最想要什么礼物呢？,边缘低龄/教师奖励,开学/返校,其他礼物/综合,未显式,65,38,41,13,215,no,,,unknown,2026-06-12
xhs_e2a46ae7d5,小红书,入学礼物,超详细的一年级入学好物清单！,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,179,157,25,4,439,no,,,unknown,2026-06-12
xhs_80be5156d8,小红书,入学礼物,小学生入学清单🧾｜学姐不踩雷分享,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,250,145,56,4,556,no,,,unknown,2026-06-12
xhs_16a80fa278,小红书,入学礼物,亲戚家小宝要上幼儿园了，我送啥🎁好一点,边缘低龄/教师奖励,开学/返校,其他礼物/综合,未显式,24,8,23,3,84,no,,,unknown,2026-06-12
xhs_98e4d4333c,小红书,入学礼物,儿童挑礼物，实用性价比两手抓,边缘低龄/教师奖励,开学/返校,3C数码/配件|IP潮玩/玩具|定制纪念,平价性价比|实用刚需|定制纪念,3846,1132,189,423,6329,yes,给0 - 15岁孩子选礼物可太难了，便宜的怕质量不行，贵的又肉疼，挑来选去，选择困难症都要犯了。选对礼物，不仅能让孩子开心，还能助力成长。要是选错，钱花了不说，孩子不喜欢，放家里还占地方。 别愁啦！今天就给大家分享那些性价比超高的礼物，绝对实用又不贵，不玩虚的，直接上干货，闭眼抄作业就行👇 #儿童节礼物[话题]# #儿童礼物[话题]# #618小红书买买节[话题]# #宝宝礼物[话题]# #益智玩具[话题]# #育儿经验分享[话题]# ,虽然我12岁，但是这里提供的10到15岁的礼物我都不喜欢[捂脸R] | 7岁不知道买什么了，0-15岁的礼物，除了头戴式耳机，另外全买过了[笑哭R]，怎么办，不知道送什么了[笑哭R] | 我想知道12岁女孩喜欢什么，小学毕业礼送什么好 | 显微镜是鸡肋吗,yes,2026-06-12
xhs_6178be39ab,小红书,入学礼物,一年级学习好物,边缘低龄/教师奖励,开学/返校,文具手账|宿舍生活,实用刚需|仪式感/情绪价值,692,595,45,30,1600,yes,每件都实用！给孩子满满的仪式感！#每秒都值得记录[话题]# #一年级[话题]# #好物分享[话题]# #学习好物[话题]#,请问图五和倾听者搭配的是什么教材啊？系统自带资源吗 | 请问图10的分层收纳有链接吗 | 13的阅读架是什么？ | 华容道适合多大孩子,yes,2026-06-12
xhs_0c482a5dbb,小红书,入学礼物,,泛礼物/朋友,开学/返校,其他礼物/综合,未显式,0,0,0,0,0,no,,,unknown,2026-06-12
xhs_364c2ed794,小红书,入学礼物,幼升小一年级入学清单，实用到朋友让甩🔗,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,64,43,1,7,131,no,,,unknown,2026-06-12
xhs_3df13ee4b1,小红书,入学礼物,9岁女孩儿童节求推荐,边缘低龄/教师奖励,开学/返校,服饰鞋包,仪式感/情绪价值|颜值/可爱,356,132,84,46,764,yes,精致不肉疼的儿童节礼物，很需要！ 六一儿童节马上就快到了。倒计时20天精致仪式感必须到位。#小女孩生日礼物[话题]# #儿童节礼物[话题]# #小学生礼物[话题]# 但是送什么礼物呢？选了很多，还是纠结，不知道送什么。 姐妹们，你们都给宝宝选了什么礼物呢？ 发出来给我参考一下。,儿童喜不喜欢不知道。30➕的老阿姨可喜欢了[笑哭R] | 这个，没有小朋友不喜欢汪汪队！ | 想的脑壳疼，望远镜，labubu，化妆类首饰盒估计也会很爱 | 买个无人机或者平衡车,yes,2026-06-12
xhs_4c9560063f,小红书,入学礼物,幼升小一年级入学清单👇妈妈们准备好了吗～,边缘低龄/教师奖励,开学/返校,文具手账|宿舍生活|服饰鞋包,实用刚需,1367,1191,46,201,3308,yes,一年级入学清单｜精简实用‼️快来抄作业。 女儿马上就上一年级，今天分享一些我给她准备 的刚需实用的幼升小开学好物，快来一起来看- 下吧❗️ 大部分都是幼小衔接这一年一直在用的 性欲价很高，很实用不踩雷❗ 选品原则： 🔅学习用品选择“不花哨”款，以免分心 🔅生活用品选择“实用”款，方便孩子收纳 书包:小学的书本低年级要带的还不是很多，所以选择轻便护脊的就行，不需要太大。 笔袋:简单轻便即可，太花会影响上课注意力 铅笔:选择粗三角或者六棱笔,一年级要这么多东西？！我家大宝9月份一年级。我除了书包铅笔橡皮一类的，别的都没准备[抓狂R] | 真的好齐全啊！ | 准备的真齐全[点赞R][玫瑰R] | 很实用,yes,2026-06-12
xhs_c6f56dc71f,小红书,返校好物 大学生,🎒大学生开学防忘带清单（完整版）,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|个护香氛|饰品配件|定制纪念|服饰鞋包,实用刚需|定制纪念,8757,5465,146,900,17503,yes,1.证件文件：身份证、学生证、钱包、复印件、社会实践报告、其他证件材料（全部放一个文件袋） 2.出发检查：车票（车站/时间）、宿舍钥匙/门卡（放随手拿得到的地方）、电动车/自行车钥匙、校园卡、电卡、水卡、饭卡、快递地址修改、教材 3.电子设备：电脑、电脑电源线、鼠标、键盘、鼠标垫、平板、电容笔、耳机（检查耳机仓）、备用机、U盘、充电宝、随身WiFi、各类设备充电器、手环、电动牙刷 4.日用消耗品：纸巾、湿巾、湿厕纸、洗脸巾、卫生巾、牙刷,开学焦虑熬通宵没睡着[哭惹R][哭惹R] | [害羞R][哇R]有没有同样是大一的同学一起，大学真的不能太摆烂，真的要学点真东西不至于毕业即失业[失望R]。本人07大一想找个同级（大一大二）的搭子一起相互督 | 好实用啊 姐妹 | 我身份证都放学校忘带回来了[doge],unknown,2026-06-12
xhs_7b9e990de7,小红书,返校好物 大学生,大一新生报道前必看！电子产品带哪些！,大学生,开学/返校,其他礼物/综合,未显式,480,230,34,23,881,no,,,unknown,2026-06-12
xhs_dba3067ed6,小红书,返校好物 大学生,女大寒假返校行李清单list,大学生,开学/返校,其他礼物/综合,实用刚需,257,138,16,13,487,no,,,unknown,2026-06-12
xhs_3903c9e021,小红书,返校好物 大学生,j人行李收纳｜又是一天返校日🏫🎒✨,大学生,开学/返校,3C数码/配件|宿舍生活|服饰鞋包,未显式,187049,32044,584,1199,231672,yes,看看我的带了些什么吧～ #行李收纳[话题]# #收纳[话题]# #沉浸式收纳[话题]# #返校大学生[话题]# #特种兵大学生[话题]# #j人[话题]# #cece[话题]# #行李箱[话题]# #cece行李箱[话题]#,不是，你电脑放行李箱不止，还放在底下，上面还有东西压着，是真猛阿[捂脸R] | j人是什么人啊？ | 你在大学不用穿衣服的吗？一件衣服都没带[笑哭R] | 不带书？,yes,2026-06-12
xhs_ad441bd07d,小红书,返校好物 大学生,大学生返校行李清单（超全版）,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|个护香氛|饰品配件|食品零食|服饰鞋包,实用刚需,1119,705,6,113,2216,yes,📦 返校行李清单#开学带这些[话题]# ❗最重要:宿舍/家里 钥匙、改网购收货地址、卫生巾应急 1️⃣证件🪪 身份证:实在忘记带了用支付宝电子身份证也可以乘高铁 学生证:高铁查学生票 校园卡 银行卡 + 少量现金:应急 2️⃣数码设备🖥️ 手机机器充电器 笔记本电脑及其充电器 平板及其充电器 蓝牙耳机 电脑鼠标（外设） 充电宝:高铁飞机需符合携带规定 3️⃣个护美妆🧊 洗面奶 + 洗脸巾 牙刷 + 牙膏 沐浴露 + 洗发露 洗衣液 爽肤,[惊恐R]我刚刚也列了个清单，总觉得少一项但想不起来是啥，看到你的笔记发现是证件 | 电脑！！我放着柜子差点忘记了！谢谢你！ | 到校了就推 | ❗❗❗最重要:宿舍/家里 钥匙、改网购收货地址、卫生巾应急,unknown,2026-06-12
xhs_fc72cfd269,小红书,返校好物 大学生,📚研二学姐的开学好物分享🎒,大学生,开学/返校,其他礼物/综合,未显式,450,139,19,12,686,no,,,unknown,2026-06-12
xhs_02a1eaa8c6,小红书,返校好物 大学生,大学生开学清单,大学生,开学/返校,宿舍生活|个护香氛,实用刚需,688,368,701,27,2608,yes,求拔草or推荐#大学生好物[话题]# #大学生必备[话题]# #好物推荐[话题]# #好物种草[话题]# #大学宿舍好物[话题]# #必买清单[话题]##购物清单[话题]# #开学季必备[话题]# #大学生的日常[话题]# #拔草种草[话题]#,有无好用的持久留香的东西呀，除了洗发水护发素[萌萌哒R] | 除螨喷雾要不要买啊[哭惹R] | 可以买粘毛器粘床上的头发什么的，然后配合除螨喷雾用。其实我不知道那个除螨喷雾究竟有没有用但是香香的有一个心灵安慰的作用 | 除了洗发水有没有可以让自己一天都香香的还很自然的好物[哭惹R],yes,2026-06-12
xhs_3c9094f382,小红书,返校好物 大学生,2026大一新生开学必备清单（超全女生版）,大学生,开学/返校,其他礼物/综合,实用刚需,80,62,7,5,181,no,,,unknown,2026-06-12
xhs_814a735294,小红书,返校好物 大学生,一篇说清26年大学生寒假返校必备清单‼️,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|个护香氛|定制纪念|食品零食|服饰鞋包,实用刚需|定制纪念,1237,948,20,154,2740,yes,2026寒假返校必备清单｜照着收拾，开学不慌！ 🎒 第一部分：返程随身包（路上必备） 这些物品单独装一个小包，放在手边，过安检、取用都方便。 🔹 证件类 身份证 学生证 + 校园卡 银行卡（带一张常用卡） 驾驶证（有的话带上，租车/备用证件） 🔹 电子设备 手机 + 充电线（备一根短的） 充电宝（充满电） 无线耳机 笔记本电脑 + 充电器（如果不放心托运） 🔹 随身物品 口罩（一包） 纸巾/湿巾 雨伞（折叠款，放包侧袋） 晕车药（如果需,更多大学生规划干货（竞赛，保研，考研，实习，就业），关注博主主页，干货多多[哇R] | [害羞R][哇R]有没有同样是大一的同学一起，大学真的不能太摆烂，真的要学点真东西不至于毕业即失业[失望R]。本人07大一想找个同级（大一大二）的搭子一起相互督 | 搓澡巾 | 好全，差点忘带腰带了[哭惹R],unknown,2026-06-12
xhs_d3c3c2f1bd,小红书,返校好物 大学生,大学生返校行李清单码住！文字版简介自取,大学生,开学/返校,其他礼物/综合,实用刚需,327,170,1,31,596,no,,,unknown,2026-06-12
xhs_735ba44247,小红书,返校好物 大学生,女大开学行李清单（超全直接照抄版）❗,大学生,开学/返校,其他礼物/综合,实用刚需,180,86,1,7,303,no,,,unknown,2026-06-12
xhs_9ab4d2fb38,小红书,返校好物 大学生,万物皆可howto丨大一新生入学前必购清单❗,大学生,开学/返校,其他礼物/综合,实用刚需,11,17,0,5,40,no,,,unknown,2026-06-12
xhs_9b36fef874,小红书,返校好物 大学生,🫧一期大学生必备的好物分享❗️附🔗版,大学生,开学/返校,3C数码/配件|宿舍生活,平价性价比|实用刚需,1336,599,64,21,2273,yes,感觉每一个东西都是咱们大学生几乎都会用到的，都是已经自己已经用了很久的东西了！#大学生必备[话题]# #开学好物[话题]##我的平价好物[话题]# #好用物分享[话题]# #宝藏好物[话题]# #无广告纯分享[话题]#,充电宝可以充几次电 | 耳机会漏音嘛宝宝[害羞R] | 行李箱怎么看着这么小啊[笑哭R] | 9.9的耳机现在卖完了[doge],yes,2026-06-12
xhs_ec8f61b07f,小红书,返校好物 大学生,🧸07女大丨在校提升幸福感好物,大学生,开学/返校,其他礼物/综合,仪式感/情绪价值,9,5,0,0,15,no,,,unknown,2026-06-12
xhs_3e2414d557,小红书,返校好物 大学生,大二｜返校下铺💕东西不一定要多 但要实用！,大学生,开学/返校,其他礼物/综合,实用刚需,237,34,5,5,298,no,,,unknown,2026-06-12
xhs_9400cb4933,小红书,返校好物 大学生,大学生返校必带清单！极简版！,大学生,开学/返校,其他礼物/综合,实用刚需,26,9,0,0,37,no,,,unknown,2026-06-12
xhs_8c7d071322,小红书,返校好物 大学生,大学生返校物品必备清单,大学生,开学/返校,其他礼物/综合,实用刚需,1,0,2,4,11,no,,,unknown,2026-06-12
xhs_3b87742eff,小红书,宿舍好物 大学生,大一开学了｜看看你还需要买些什么🧺,大学生,开学/返校,宿舍生活,实用刚需|颜值/可爱,2286,1240,21,105,4097,yes,看看还有没有要补充的生活用品呀#好物分享[话题]# #开学带这些[话题]# #大学生必备[话题]# #学生党好物分享[话题]# #开学好物[话题]# #宿舍必备[话题]# #大学生好物[话题]# #开学必备[话题]# #宿舍收纳好物[话题]# #大学宿舍好物[话题]#,都被种草了 | 这么多，学生党，没钱买 | 种草了 | 学生党有福了,yes,2026-06-12
xhs_273a61b874,小红书,宿舍好物 大学生,准大一码住！开学宿舍好物分享🛍️全员实用！！,大学生,开学/返校,3C数码/配件|宿舍生活|个护香氛,实用刚需,1446,571,32,25,2289,yes,来啦，考虑到好多宝宝饿快开学了，后面这个系列我也会给大家多测评多更新滴 1.小板凳 2.日抛隐形眼镜 3.💊箱 4.护肤品收纳 5.泡面碗 6.小风扇 7.洗脸巾 8.烧水壶 9.水杯 苏械广审(文)第300330-13363号 请仔细阅读产品说明书或在医务人员的指导下购买和使用，禁忌内容或者注意事项详见说明书，配戴本产品，应由眼视光专业人士进行验配 #好物分享[话题]# #宿舍好物[话题]# #大学生好物[话题]# #开学必备[话题],桌面收纳盒我也有！！！ | 卡皮巴拉也是送的吗[黄金薯R] | 这个凳子对气血不足的大学生来说刚刚好[斜眼R] | 小风扇很实用啊,yes,2026-06-12
xhs_0c68acce8f,小红书,宿舍好物 大学生,开学好物分享 真体验真反馈！,大学生,开学/返校,宿舍生活|服饰鞋包,平价性价比|实用刚需,3082,1221,59,89,4920,yes,#开学好物[话题]# #大学生好物分享[话题]# #宿舍必备[话题]# #好物安利[话题]# #无广告纯分享[话题]#,更新：冬天这个保温壶效果没那么好了 大家可以再看看别的 脏衣篓也是一直塌塌的 可以买个有支撑的[哭惹R] | 主包同款三件套，但是是在dy杏芙里买的[石化R]二百[石化R] | 结贴 学校不让按床帘，本人想把桌子和柜子的收纳空间改一下，变大且整齐一点[暗中观察R]，柜子本人目前打算买隔板隔开，桌子上还没有想法，桌子和后面墙也是有一定距离 | 三件套链接,yes,2026-06-12
xhs_7b9e990de7,小红书,宿舍好物 大学生,大一新生报道前必看！电子产品带哪些！,大学生,开学/返校,宿舍生活,未显式,480,230,34,23,881,no,,,unknown,2026-06-12
xhs_ec8e8af2c9,小红书,宿舍好物 大学生,高考后入学前必购清单！入学物品备忘录,大学生,开学/返校,宿舍生活|定制纪念,实用刚需|定制纪念,1258,1210,14,71,2965,yes,大一开学物品清单整理好了📦 从证件材料到床上用品，从学习工具到日常生活，再到军训必备，一次性帮你理清楚该带什么、怎么带。🧳 不用临时翻来翻去，也不用担心遗漏重要东西，照着准备就能直接出发🏫 开学行李按这份来整理，宿舍生活会顺很多，也更省心一点✨ #开学必备的清单[话题]# #高考不是结束而是新的开始[话题]# #开学季必备[话题]# #开学季好物[话题]# #准大学生必看[话题]# #开学带这些[话题]# #开学季[话题]# #开学轻装,盆子为什么要3个 | 有高考完准备学英语的吗[害羞R] | 收藏一波 | 已收藏,unknown,2026-06-12
xhs_fc72cfd269,小红书,宿舍好物 大学生,📚研二学姐的开学好物分享🎒,大学生,开学/返校,宿舍生活,未显式,450,139,19,12,686,no,,,unknown,2026-06-12
